champion_name,champion_id
Nautilus,1
Lee Sin,2
Syndra,3
Jhin,4
Karma,5
Maokai,6
Rengar,7
Ryze,8
Varus,9
Nami,10
Swain,11
Rek Sai,12
Jayce,13
Ezreal,14
Shen,15
Nocturne,16
Ashe,17
Malzahar,18
Orianna,19
Braum,20
Poppy,21
Kha zix,22
Camille,23
Rumble,24
LeBlanc,25
Thresh,26
Olaf,27
Fiora,28
Fizz,29
Sivir,30
Caitlyn,31
Zyra,32
Cassiopeia,33
Kennen,34
Corki,35
Trundle,36
Elise,37
Ekko,38
Kled,39
Darius,40
Draven,41
Leona,42
Taliyah,43
Katarina,44
Ivern,45
Ahri,46
Kassadin,47
Twitch,48
Taric,49
Yasuo,50
Bard,51
Miss Fortune,52
Kog Maw,53
Lucian,54
Vel koz,55
Dr. Mundo,56
Quinn,57
Zed,58
Blitzcrank,59
Aatrox,60
Xin Zhao,61
Mordekaiser,62
Warwick,63
Lissandra,64
Vayne,65
Irelia,66
Teemo,67
Brand,68
Hecarim,69
Shaco,70
Aurelion Sol,71
Nidalee,72
Tahm Kench,73
Graves,74
Morgana,75
Singed,76
Viktor,77
Jax,78
Gnar,79
Kayle,80
Alistar,81
Ziggs,82
Sion,83
Twisted Fate,84
Kalista,85
Shyvana,86
Azir,87
Illaoi,88
Lulu,89
Anivia,90
Vi,91
Gangplank,92
Zac,93
Xerath,94
Akali,95
Zilean,96
Kindred,97
Rammus,98
Evelynn,99
Renekton,100
Riven,101
Karthus,102
Gragas,103
Soraka,104
Janna,105
Malphite,106
Yorick,107
Udyr,108
Tryndamere,109
Talon,110
Jarvan IV,111
Sejuani,112
Urgot,113
Vladimir,114
Tristana,115
Jinx,116
Pantheon,117
Wukong,118
Skarner,119
Heimerdinger,120
Nunu & Willump,121
Diana,122
Sona,123
Fiddlesticks,124
Lux,125
Nasus,126
Galio,127
Annie,128
Xayah,129
Rakan,130
Cho gath,131
Kayn,132
Veigar,133
Amumu,134
Master Yi,135
Garen,136
Ornn,137
Zoe,138
Volibear,139
Kai sa,140
Pyke,141
Neeko,142
Sylas,143
Yuumi,144
Qiyana,145
Senna,146
Aphelios,147
Sett,148
Lillia,149
