league_name,league_country,league_division
LCK,Korea,1
LPL,China,1
LEC,Europe,1
LCS,North America,1
BL,Belgium,2
BRCC,Brazil,2
CBLOL,Brazil,1
Challengers Korea,Korea,2
CIS_CL,Commonwealth Independent States,2
DL,Dutch,2
ECS,Taiwas,2
EM,Europe,2
LCL,Commonwealth Independent States,1
LCS_a,North America,2
LDL,China,2
LJL,Japan,1
LLA,Latin America,1
LMS,Tawian,1
LPLOL,Portugal,2
OCS,Oceania,2
OPL,Oceania,1
PCS,Taiwan/HongKong/Macau,1
PGN,Italy,2
TCL,Turkey,1
TPL_a,Turkey,2
VCS,Vietnam,1
KeSPA,Korea,0
WCS,Worlds,0
MSI,Worlds,0
