team_name,team_id
Echo Zulu,1
Fenerbahce Academy,2
Immortals,3
CJ Entus,4
Ever8,5
Afro Beast,6
Aston eSports,7
HK Attitude Mage,8
Rogue Warriors Shark,9
SinoDragon Prince,10
Misfits Academy,11
Galatasaray,12
WLGaming Esports,13
VP Game,14
IG,15
Fnatic Academy,16
Team WE,17
LG Red,18
JingNetGame,19
Bursaspor,20
Excel Esports,21
LowLandLions,22
Unicorns Of Love,23
Vici Gaming Potential,24
Vipers Inc,25
I Gaming Star,26
IDM Pirata,27
Newbee,28
Golden Guardians,29
ONE SEVEN EIGHT,30
Paris Saint-Germain,31
SCARZ,32
1907 Fenerbahce,33
Rogue,34
Besiktas Academy,35
Kabum,36
Team Regicide,37
Intergalaxy Tigers,38
CR4ZY,39
Evil Geniuses Academy,40
Legend Esport Gaming,41
Tectonic,42
RED Canids,43
LGD,44
e.Hub United,45
Winners,46
Outlaws,47
All Combo,48
Liyab Esports,49
K1CK Neosurf,50
Mysterious Monkeys,51
Clutch Gaming,52
MVP,53
Mkers,54
P3P eSports,55
Sin Gaming,56
All Knights,57
OFFSET,58
Kenty,59
bbq,60
YDN,61
Red Bulls,62
QG Reapers,63
For The Win,64
MAD Lions E.C.,65
Asura,66
Team Noxide,67
Azules Esports,68
FC Schalke,69
AHQ,70
LNG Academy,71
Royal Youth,72
Could Be Better,73
Awesome Spear,74
eStar Young,75
SuperEsports,76
Cherry Esports,77
Unlimited Potential,78
Corvidae,79
MAD,80
Sandbox,81
Team WE Academy,82
Royal Club,83
Moss Seven Club,84
INTZ,85
Suning S,86
GTZ,87
QTV Gaming,88
Tainted Minds Blue,89
Team Ascent,90
PlaPro.c58,91
Rogue Warriors,92
FTV Esports,93
EVOS Esports,94
Chiefs Esports,95
Optical Spectrum E-sport,96
TSM,97
Triumphant Song Gaming,98
Infinity Esports,99
Dire Wolves,100
Machi Esports,101
Game Talents,102
17 Academy,103
EDG,104
Enclave Gaming,105
Immortals Academy,106
Legacy Genesis,107
Talon Esports,108
Victory Five,109
CNB,110
Alpha Sydney,111
OpTic Gaming Academy,112
Echo Fox,113
Seorabeol Gaming,114
Virtus.pro,115
Estoril Praia eSports,116
Giants Gaming,117
hyFresh Blade,118
Afreeca,119
Rascal Jester,120
JDG,121
AVANGAR,122
CrowCrowd,123
Spain5,124
Snake WuDu,125
H2k Gaming,126
Ares Gaming,127
Splyce,128
IG Young,129
Gama Dream,130
Saint Gaming,131
eSuba,132
Legacy Esports,133
Sky Gaming Daklak,134
HWA Gaming,135
Cyber Gaming,136
Prodigy,137
7more7 Pompa,138
F-Soul Esports,139
Cougar E-Sport,140
V3 Esports,141
ProGaming Esports,142
