date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,2-3,3-0
2020-08-27,LPL,2020.0,summer,TES,JDG,betjoe,2020-08-27 11:00:00,-192,+142,+378,-625,+129,-172,-455,+295,-2000,+775,+780,+490,,+283,+347,-357,+247,+143,-196,,
2020-08-29,LPL,2020.0,summer,IG,FPX,betjoe,2020-08-27 11:00:00,-169,+123,+376,-625,+136,-185,-385,+257,-1667,+660,+660,+460,,+305,+365,-333,+228,+164,-227,,
2020-08-28,LCK,2020.0,summer,GenG,Afreeca,betjoe,2020-08-27 11:00:00,-1429,+616,+1600,-139,-370,+251,-3333,+896,,,+2100,+1800,,+210,+460,-128,-105,+314,-500,,
2020-08-29,LEC,2020.0,summer,FC Schalke,MAD,betjoe,2020-08-27 11:00:00,+103,-139,+642,-1667,+225,-333,-213,+152,-769,+429,+430,+360,,+400,+400,-323,+219,+167,-233,+430,+600
2020-08-30,LEC,2020.0,summer,Fnatic,G2,betjoe,2020-08-27 11:00:00,+198,-286,,,+413,-714,-115,-116,-417,+273,+270,+250,,+680,+550,-278,+196,+186,-263,+370,+1100
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,betjoe,2020-08-27 11:00:00,+236,-345,+798,-2500,+450,-833,+100,-135,-333,+229,+228,+238,,+750,+590,-238,+171,+196,-278,+370,+1000
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-27 11:00:00,-294,+205,+264,-400,-114,-118,-625,+373,-3333,+905,+880,+660,,+250,+362,,,+182,-256,+540,+265
2020-08-29,VCS,2020.0,summer,GAM Esports,Team Flash,betjoe,2020-08-27 11:00:00,-250,+173,+279,-435,-108,-128,-625,+355,-2500,+742,+830,+580,,+260,+347,-294,+201,+174,-250,,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,betjoe,2020-08-27 11:00:00,+124,-172,+674,-2000,+258,-400,-192,+137,-714,+387,+380,+295,,+450,+410,-333,+222,+154,-217,,
2020-08-28,PCS,2020.0,summer,Machi Esports,Talon Esports,betjoe,2020-08-27 11:00:00,-111,-123,+498,-1000,+184,-270,-244,+170,-909,+447,+450,+358,,+368,+388,-333,+223,+165,-238,,
2020-08-28,European Masters,2020.0,summer,Morning Stars,S04E,betjoe,2020-08-27 11:00:00,+327,-526,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,LDLC,K1CK Neosurf,betjoe,2020-08-27 11:00:00,-189,+136,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,WLGaming,Giants Gaming,betjoe,2020-08-27 11:00:00,+274,-417,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Pompa,Misfits Premier,betjoe,2020-08-27 11:00:00,+248,-370,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Movistar Riders,SuppUp eSports,betjoe,2020-08-27 11:00:00,-417,+274,,,,,,,,,,,,,,,,,,,
2020-08-28,European Masters,2020.0,summer,Team GamerLegion,AGO ROGUE,betjoe,2020-08-27 11:00:00,+163,-227,,,,,,,,,,,,,,,,,,,
2020-08-27,Challengers Korea,2020.0,summer,Awesome Spear,OZ Gaming,betjoe,2020-08-27 11:00:00,-250,+176,+306,-476,+102,-137,-588,+359,,,+850,+590,,,,-294,+202,+172,-244,+490,+297
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-27 11:00:00,-1000,+498,+1400,-185,-286,+195,-2500,+714,,,+1400,+1300,,+200,+395,-167,+120,+254,-400,,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-27 11:00:00,-556,+328,+187,-270,-172,+124,-1250,+536,-10000,+991,+1000,+830,,+225,+350,-217,+153,+203,-303,,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-27 11:00:00,-250,+173,+302,-500,+100,-139,-588,+345,,,+780,+540,,,,-294,+199,+166,-238,+450,+297
2020-08-28,OPL,2020.0,summer,Legacy Esports,ORDER,betjoe,2020-08-27 11:00:00,-370,+242,+226,-345,-141,+102,-909,+464,-3333,+794,+900,+730,,+228,+355,-244,+170,+199,-294,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-27 11:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,+1200,+850,-208,+147,,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-27 11:00:00,+116,-161,+624,-1667,+241,-370,-204,+144,-714,+397,+390,+300,,+430,+390,-345,+228,+153,-217,,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-27 11:00:00,-625,+359,+149,-208,-233,+162,-2000,+674,-10000,+991,+1300,+1100,,+210,+400,-179,+128,+253,-385,,
