date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,
2020-08-30,LCK,2020.0,summer,DragonX,GenG,betjoe,2020-08-29 23:00:00,-104,-128,+573,-1111,+211,-294,-769,+444,+440,+352,+388,+580,+390,+400,-345,+238,+164,-222,,,
2020-08-30,LEC,2020.0,summer,Fnatic,G2,betjoe,2020-08-29 23:00:00,+256,-370,,,+503,-909,-333,+230,+240,+230,+400,+1200,+730,+580,-250,+180,+211,-294,+113,-149,
2020-08-30,LCS,2020.0,summer,TSM,Cloud9,betjoe,2020-08-29 23:00:00,+239,-333,+802,-2500,+503,-909,-303,+213,+218,+233,+370,+1100,+780,+610,-227,+165,,,+111,-147,
2020-08-31,LCS,2020.0,summer,TL,FlyQuest,betjoe,2020-08-29 23:00:00,-294,+205,+265,-400,-114,-118,-3333,+896,+880,+660,+540,+265,+250,+362,,,+182,-256,-625,+369,
2020-08-30,VCS,2020.0,summer,Team Secret,EVOS Esports,betjoe,2020-08-29 23:00:00,+129,-175,+695,-2000,+265,-400,-667,+380,+380,+295,,,+460,+410,-323,+220,+155,-217,-185,+134,
2020-08-31,Challengers Korea,2020.0,summer,Jin Air,Awesome Spear,betjoe,2020-08-29 23:00:00,-192,+137,+352,-625,+126,-175,-2000,+698,+700,+500,,,+275,+333,,,+147,-208,-476,+295,
2020-09-01,LVP SuperLiga,2020.0,summer,Movistar Riders,Cream Real Betis,betjoe,2020-08-29 23:00:00,-1000,+498,+1400,-185,-286,+195,,,+1600,+1300,,,+205,+400,-167,+120,+254,-400,-3333,+794,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,betjoe,2020-08-29 23:00:00,-556,+328,+196,-286,-172,+124,-10000,+991,+1100,+860,,,+220,+360,-227,+161,+200,-294,-1250,+545,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-08-29 23:00:00,-238,+166,+310,-500,+104,-143,,,+780,+540,+440,+302,,,-303,+203,+167,-238,-556,+336,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-08-29 23:00:00,+352,-625,+1196,,+698,-2000,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,+162,-233,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-08-29 23:00:00,+116,-161,+624,-1667,+241,-370,-714,+394,+390,+300,,,+430,+390,-333,+222,+154,-217,-204,+144,
2020-08-30,LCL,2020.0,summer,Unicorns Of Love,Gambit,betjoe,2020-08-29 23:00:00,-625,+359,+146,-208,-233,+164,-10000,+991,+1300,+1100,,,+210,+400,-179,+128,+256,-400,-2000,+683,
2020-08-30,LLA,2020.0,summer,All Knights,Rainbow7,betjoe,2020-08-29 23:00:00,-159,+117,+401,-714,+146,-200,-1667,+645,+630,+430,,,+310,+347,-333,+226,+154,-213,-370,+244,
2020-09-01,LFL,2020.0,summer,Team MCES,Solary,betjoe,2020-08-29 23:00:00,+147,-208,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,IziDream,GameWard,betjoe,2020-08-29 23:00:00,+110,-152,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,LDLC OL,Vitality Bee,betjoe,2020-08-29 23:00:00,-175,+126,,,,,,,,,,,,,,,,,,,
2020-09-01,LFL,2020.0,summer,Misfits Premier,GamersOrigin,betjoe,2020-08-29 23:00:00,-125,-110,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,IziDream,Team MCES,betjoe,2020-08-29 23:00:00,-192,+137,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,LDLC OL,Solary,betjoe,2020-08-29 23:00:00,-435,+272,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Misfits Premier,GameWard,betjoe,2020-08-29 23:00:00,-250,+174,,,,,,,,,,,,,,,,,,,
2020-09-02,LFL,2020.0,summer,Vitality Bee,GamersOrigin,betjoe,2020-08-29 23:00:00,+137,-192,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-08-29 23:00:00,-233,+162,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-08-29 23:00:00,-556,+328,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-08-29 23:00:00,-333,+219,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-08-29 23:00:00,+162,-233,,,,,,,,,,,,,,,,,,,
