date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,betjoe,2020-09-02 11:00:00,-476,+307,+197,-286,-182,+131,-1250,+579,-5000,+986,+1200,+1000,+750,+193,+210,+375,-227,+163,+211,-303,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-02 11:00:00,-208,+147,+326,-556,+102,-141,-588,+352,-3333,+878,+803,+524,+463,+288,+271,+384,-286,+200,+182,-256,
2020-09-06,LEC,2020.0,summer,G2,Rogue,betjoe,2020-09-02 11:00:00,-370,+244,+234,-345,-143,+106,-1000,+492,,,+1300,+750,+600,+240,+240,+370,-250,+179,+191,-270,
2020-09-06,LCS,2020.0,summer,TL,TSM,betjoe,2020-09-02 11:00:00,-213,+154,+349,-588,+116,-156,-500,+314,-2500,+780,+780,+530,,,+280,+342,-323,+224,+164,-227,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,betjoe,2020-09-02 11:00:00,-476,+292,+199,-294,-175,+126,-1250,+553,-10000,+991,+1100,+880,,,+220,+347,-233,+163,+205,-303,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-09-02 11:00:00,-244,+169,+310,-500,+101,-139,-588,+342,,,+800,+550,+460,+307,,,-303,+203,+169,-244,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-09-02 11:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-09-02 11:00:00,+107,-149,+607,-1429,+232,-357,-213,+150,-769,+403,+420,+317,,,+400,+378,-333,+222,+154,-217,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-09-02 11:00:00,-227,+163,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-09-02 11:00:00,-526,+330,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-09-02 11:00:00,-286,+199,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-09-02 11:00:00,+199,-286,,,,,,,,,,,,,,,,,,,
2020-09-02,LDL,2020.0,summer,FunPlus Phoenix Blaze,SDX Gaming,betjoe,2020-09-02 11:00:00,-244,+164,,,,,,,,,,,,,,,,,,,
