date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,2-3,3-0,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,betjoe,2020-09-02 23:00:00,-435,+280,+211,-303,-172,+123,-1111,+531,-3333,+896,+1200,+900,+700,+205,+215,+375,-238,+171,+213,-312,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,betjoe,2020-09-02 23:00:00,-208,+147,+329,-556,+102,-141,-588,+359,-5000,+996,+945,+572,+482,+308,+281,+394,-286,+200,+182,-256,
2020-09-06,LEC,2020.0,summer,G2,Rogue,betjoe,2020-09-02 23:00:00,-370,+244,+234,-345,-143,+106,-1000,+492,,,+1300,+750,+600,+240,+240,+370,-250,+179,+189,-270,
2020-09-06,LCS,2020.0,summer,TL,TSM,betjoe,2020-09-02 23:00:00,-222,+160,+342,-556,+116,-156,-500,+319,-2500,+798,+780,+530,+480,+352,+280,+342,-323,+224,+164,-227,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,betjoe,2020-09-02 23:00:00,-455,+294,+200,-286,-172,+127,-1250,+561,-5000,+996,+1100,+880,,,+220,+347,-227,+164,+207,-303,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,betjoe,2020-09-02 23:00:00,-244,+169,+310,-500,+101,-139,-588,+342,,,+800,+550,+460,+307,,,-303,+203,+169,-244,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,betjoe,2020-09-02 23:00:00,+352,-625,+1196,,+698,-2000,+162,-233,-233,+162,+163,+188,,,+1200,+850,-208,+147,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,betjoe,2020-09-02 23:00:00,+107,-149,+607,-1429,+232,-357,-213,+150,-769,+407,+420,+317,,,+400,+378,-333,+222,+154,-217,
2020-09-03,LFL,2020.0,summer,LDLC OL,IziDream,betjoe,2020-09-02 23:00:00,-227,+163,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Misfits Premier,Team MCES,betjoe,2020-09-02 23:00:00,-526,+330,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,Vitality Bee,Solary,betjoe,2020-09-02 23:00:00,-286,+199,,,,,,,,,,,,,,,,,,,
2020-09-03,LFL,2020.0,summer,GameWard,GamersOrigin,betjoe,2020-09-02 23:00:00,+199,-286,,,,,,,,,,,,,,,,,,,
