date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,,3-1,3-2,over_under:total_sets:4.5:over,over_under:total_sets:4.5:under
2020-09-21,European Masters,2020.0,summer,Team GamerLegion,AGO ROGUE,betjoe,2020-09-20 11:00:00,+127,-172,+602,-1429,+248,-370,-189,+138,-588,+354,+350,+300,,+450,+450,+163,-227
2020-09-23,LFL,2020.0,summer,GameWard,Vitality Bee,betjoe,2020-09-20 11:00:00,-110,-125,,,,,,,,,,,,,,,
2020-09-23,LFL,2020.0,summer,Solary,Misfits Premier,betjoe,2020-09-20 11:00:00,+174,-250,,,,,,,,,,,,,,,
2020-09-23,LFL,2020.0,summer,Team MCES,LDLC OL,betjoe,2020-09-20 11:00:00,+352,-625,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Solary,GameWard,betjoe,2020-09-20 11:00:00,+137,-192,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,Team MCES,Vitality Bee,betjoe,2020-09-20 11:00:00,+272,-435,,,,,,,,,,,,,,,
2020-09-24,LFL,2020.0,summer,LDLC OL,GamersOrigin,betjoe,2020-09-20 11:00:00,-110,-125,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-20 11:00:00,-1111,+548,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-20 11:00:00,-141,+105,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-20 11:00:00,-182,+133,,,,,,,,,,,,,,,
