date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-24 11:00:00,-909,+471
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-24 11:00:00,-156,+116
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-24 11:00:00,-167,+123
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-24 11:00:00,-154,+114
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-24 11:00:00,-500,+314
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-24 11:00:00,-286,+201
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-24 11:00:00,-714,+399
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-24 11:00:00,-333,+228
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-24 11:00:00,-238,+171
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-24 11:00:00,-556,+334
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-24 11:00:00,-370,+244
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-24 11:00:00,-175,+128
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,INTZ,betjoe,2020-09-24 11:00:00,-526,+321
2020-09-25,World Championship 2020 Play-In,2020.0,summer,Talon Esports,Rainbow7,betjoe,2020-09-24 11:00:00,-143,+103
2020-09-25,World Championship 2020 Play-In,2020.0,summer,INTZ,Legacy Esports,betjoe,2020-09-24 11:00:00,-169,+121
2020-09-25,World Championship 2020 Play-In,2020.0,summer,LGD,Talon Esports,betjoe,2020-09-24 11:00:00,-909,+460
2020-09-25,World Championship 2020 Play-In,2020.0,summer,MAD,TL,betjoe,2020-09-24 11:00:00,-159,+115
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Rainbow7,V3 Esports,betjoe,2020-09-24 11:00:00,-135,-102
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,INTZ,betjoe,2020-09-24 11:00:00,-200,+142
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,V3 Esports,betjoe,2020-09-24 11:00:00,-370,+241
2020-09-26,World Championship 2020 Play-In,2020.0,summer,LGD,Rainbow7,betjoe,2020-09-24 11:00:00,-1250,+545
2020-09-26,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Talon Esports,betjoe,2020-09-24 11:00:00,-238,+164
2020-09-26,World Championship 2020 Play-In,2020.0,summer,MAD,Papara SuperMassive,betjoe,2020-09-24 11:00:00,-294,+200
2020-09-26,World Championship 2020 Play-In,2020.0,summer,TL,Legacy Esports,betjoe,2020-09-24 11:00:00,-556,+329
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,V3 Esports,betjoe,2020-09-24 11:00:00,-1667,+624
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Unicorns Of Love,Rainbow7,betjoe,2020-09-24 11:00:00,-323,+217
2020-09-27,World Championship 2020 Play-In,2020.0,summer,Talon Esports,V3 Esports,betjoe,2020-09-24 11:00:00,-208,+148
2020-09-27,World Championship 2020 Play-In,2020.0,summer,LGD,Unicorns Of Love,betjoe,2020-09-24 11:00:00,-476,+280
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,Papara SuperMassive,betjoe,2020-09-24 11:00:00,-278,+184
2020-09-28,World Championship 2020 Play-In,2020.0,summer,MAD,Legacy Esports,betjoe,2020-09-24 11:00:00,-667,+369
2020-09-28,World Championship 2020 Play-In,2020.0,summer,TL,INTZ,betjoe,2020-09-24 11:00:00,-476,+292
2020-09-28,World Championship 2020 Play-In,2020.0,summer,Papara SuperMassive,Legacy Esports,betjoe,2020-09-24 11:00:00,-256,+177
