date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away,handicap:set_handicap:-2.5:home,handicap:set_handicap:+2.5:away,handicap:set_handicap:-1.5:home,handicap:set_handicap:+1.5:away,handicap:set_handicap:+1.5:home,handicap:set_handicap:-1.5:away,handicap:set_handicap:+2.5:home,handicap:set_handicap:-2.5:away,0-3,1-3,,3-1,3-2,over_under:total_sets:3.5:over,over_under:total_sets:3.5:under
2020-09-29,LFL,2020.0,summer,IziDream,LDLC OL,betjoe,2020-09-25 23:00:00,+328,-556,+991,-10000,+598,-1429,+137,-192,-294,+198,+200,+200,,+1000,+750,-233,+162
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,betjoe,2020-09-25 23:00:00,-909,+471,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-09-25 23:00:00,-161,+119,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-09-25 23:00:00,-167,+123,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-09-25 23:00:00,-154,+114,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-09-25 23:00:00,-526,+325,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-09-25 23:00:00,-286,+201,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-09-25 23:00:00,-667,+395,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-09-25 23:00:00,-333,+228,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-09-25 23:00:00,-238,+171,,,,,,,,,,,,,,,
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-09-25 23:00:00,-526,+331,,,,,,,,,,,,,,,
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-09-25 23:00:00,-357,+242,,,,,,,,,,,,,,,
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-09-25 23:00:00,-175,+128,,,,,,,,,,,,,,,
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,Suning,betjoe,2020-09-25 23:00:00,+401,-714,,,,,,,,,,,,,,,
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,G2,betjoe,2020-09-25 23:00:00,+450,-833,,,,,,,,,,,,,,,
2020-10-08,World Championship 2020,2020.0,summer,Suning,G2,betjoe,2020-09-25 23:00:00,+120,-164,,,,,,,,,,,,,,,
2020-10-09,World Championship 2020,2020.0,summer,Rogue,JDG,betjoe,2020-09-25 23:00:00,+274,-417,,,,,,,,,,,,,,,
2020-10-09,World Championship 2020,2020.0,summer,Rogue,Damwon,betjoe,2020-09-25 23:00:00,+330,-526,,,,,,,,,,,,,,,
2020-10-09,World Championship 2020,2020.0,summer,JDG,Damwon,betjoe,2020-09-25 23:00:00,+111,-149,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,TSM,Fnatic,betjoe,2020-09-25 23:00:00,+138,-189,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,betjoe,2020-09-25 23:00:00,+199,-286,,,,,,,,,,,,,,,
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,betjoe,2020-09-25 23:00:00,+127,-172,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,betjoe,2020-09-25 23:00:00,+274,-417,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,betjoe,2020-09-25 23:00:00,+548,-1111,,,,,,,,,,,,,,,
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,betjoe,2020-09-25 23:00:00,+199,-286,,,,,,,,,,,,,,,
