date,league_name,year,season,team_1,team_2,betting_site,saved_time,special:game_win:home,special:game_win:away
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,betjoe,2020-10-03 23:00:00,-161,+133
2020-10-03,World Championship 2020,2020.0,summer,GenG,LGD,betjoe,2020-10-03 23:00:00,-222,+174
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,betjoe,2020-10-03 23:00:00,-130,+106
2020-10-04,World Championship 2020,2020.0,summer,Machi Esports,TL,betjoe,2020-10-03 23:00:00,+143,-172
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,betjoe,2020-10-03 23:00:00,-133,+113
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,betjoe,2020-10-03 23:00:00,-385,+301
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,betjoe,2020-10-03 23:00:00,-417,+321
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,betjoe,2020-10-03 23:00:00,-244,+200
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,betjoe,2020-10-03 23:00:00,-137,+113
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,betjoe,2020-10-03 23:00:00,-417,+317
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,betjoe,2020-10-03 23:00:00,-208,+170
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,betjoe,2020-10-03 23:00:00,-667,+466
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,betjoe,2020-10-03 23:00:00,-278,+225
2020-10-05,World Championship 2020,2020.0,summer,FlyQuest,Unicorns Of Love,betjoe,2020-10-03 23:00:00,-116,-103
2020-10-05,World Championship 2020,2020.0,summer,TES,DragonX,betjoe,2020-10-03 23:00:00,-222,+182
2020-10-06,World Championship 2020,2020.0,summer,G2,TL,betjoe,2020-10-03 23:00:00,-227,+184
2020-10-06,World Championship 2020,2020.0,summer,Suning,Machi Esports,betjoe,2020-10-03 23:00:00,-333,+265
2020-10-06,World Championship 2020,2020.0,summer,DragonX,FlyQuest,betjoe,2020-10-03 23:00:00,-303,+239
2020-10-06,World Championship 2020,2020.0,summer,TES,Unicorns Of Love,betjoe,2020-10-03 23:00:00,-769,+539
2020-10-06,World Championship 2020,2020.0,summer,GenG,Fnatic,betjoe,2020-10-03 23:00:00,-169,+140
2020-10-06,World Championship 2020,2020.0,summer,LGD,TSM,betjoe,2020-10-03 23:00:00,-110,-110
2020-10-08,World Championship 2020,2020.0,summer,TL,G2,betjoe,2020-10-03 23:00:00,+184,-227
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,Suning,betjoe,2020-10-03 23:00:00,+246,-312
2020-10-08,World Championship 2020,2020.0,summer,Machi Esports,G2,betjoe,2020-10-03 23:00:00,+309,-400
2020-10-08,World Championship 2020,2020.0,summer,TL,Suning,betjoe,2020-10-03 23:00:00,+170,-208
2020-10-08,World Championship 2020,2020.0,summer,TL,Machi Esports,betjoe,2020-10-03 23:00:00,-189,+156
2020-10-08,World Championship 2020,2020.0,summer,Suning,G2,betjoe,2020-10-03 23:00:00,+126,-152
2020-10-09,World Championship 2020,2020.0,summer,Talon Esports,Damwon,betjoe,2020-10-03 23:00:00,+466,-667
2020-10-09,World Championship 2020,2020.0,summer,Rogue,JDG,betjoe,2020-10-03 23:00:00,+246,-312
2020-10-09,World Championship 2020,2020.0,summer,Rogue,Damwon,betjoe,2020-10-03 23:00:00,+342,-455
2020-10-09,World Championship 2020,2020.0,summer,JDG,Talon Esports,betjoe,2020-10-03 23:00:00,-455,+342
2020-10-09,World Championship 2020,2020.0,summer,Talon Esports,Rogue,betjoe,2020-10-03 23:00:00,+128,-154
2020-10-09,World Championship 2020,2020.0,summer,JDG,Damwon,betjoe,2020-10-03 23:00:00,+117,-141
2020-10-10,World Championship 2020,2020.0,summer,TSM,Fnatic,betjoe,2020-10-03 23:00:00,+126,-152
2020-10-10,World Championship 2020,2020.0,summer,LGD,GenG,betjoe,2020-10-03 23:00:00,+208,-256
2020-10-10,World Championship 2020,2020.0,summer,TSM,GenG,betjoe,2020-10-03 23:00:00,+208,-256
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,LGD,betjoe,2020-10-03 23:00:00,-145,+121
2020-10-10,World Championship 2020,2020.0,summer,LGD,TSM,betjoe,2020-10-03 23:00:00,-110,-110
2020-10-10,World Championship 2020,2020.0,summer,Fnatic,GenG,betjoe,2020-10-03 23:00:00,+145,-175
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,DragonX,betjoe,2020-10-03 23:00:00,+284,-370
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,TES,betjoe,2020-10-03 23:00:00,+566,-833
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,DragonX,betjoe,2020-10-03 23:00:00,+284,-370
2020-10-11,World Championship 2020,2020.0,summer,FlyQuest,TES,betjoe,2020-10-03 23:00:00,+566,-833
2020-10-11,World Championship 2020,2020.0,summer,Unicorns Of Love,FlyQuest,betjoe,2020-10-03 23:00:00,-103,-116
2020-10-11,World Championship 2020,2020.0,summer,DragonX,TES,betjoe,2020-10-03 23:00:00,+208,-256
