date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:set_win:home,special:set_win:away,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,over_under:total_kill:28.5:over,over_under:total_kill:28.5:under,over_under:game_time:32:over,over_under:game_time:32:under,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,special:first_dragon:home,special:first_dragon:away,over_under:total_dragon:4.5:over,over_under:total_dragon:4.5:under,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,special:first_tower:home,special:first_tower:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-0.5:home,handicap:total_kill_handicap:+0.5:away,over_under:total_kill:21.5:over,over_under:total_kill:21.5:under,handicap:total_kill_handicap:+0.5:home,handicap:total_kill_handicap:-0.5:away,handicap:total_kill_handicap:+1.5:home,handicap:total_kill_handicap:-1.5:away,handicap:total_kill_handicap:+2.5:home,handicap:total_kill_handicap:-2.5:away,handicap:total_kill_handicap:+3.5:home,handicap:total_kill_handicap:-3.5:away
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,1.0,betjoe,2020-09-01 23:00:00,-227,+164,-135,+100,-179,+130,-196,+142,-200,+145,-164,+121,-133,-101,-119,-112,+108,-147,+128,-175,+151,-208,+100,-135,+131,-179,+111,-149,-114,-118,-130,-103,-154,+114,-182,+132,-196,+141,-135,-103,-189,+131,-204,+140,+173,-238,-156,+113,-222,+149,,,,,,,,,,,,,,,,,,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,2.0,betjoe,2020-09-01 23:00:00,-238,+168,-137,+101,-179,+130,-196,+142,-200,+145,-164,+120,-133,-101,-116,-115,+108,-145,+129,-175,+152,-213,+100,-135,+131,-179,+109,-149,-112,-119,-130,-103,-154,+114,-179,+130,-192,+139,-135,-102,-182,+127,-208,+145,+170,-238,-156,+113,-233,+155,,,,,,,,,,,,,,,,,,
2020-09-05,LCK,2020.0,summer,Damwon,DragonX,3.0,betjoe,2020-09-01 23:00:00,-200,+146,-130,-103,-179,+130,-196,+142,-185,+135,-152,+112,-125,-109,-114,-119,+116,-156,+137,-189,+162,-227,-101,-135,+139,-192,+127,-172,-105,-125,-114,-118,-135,+100,-159,+117,-172,+125,-143,+101,-167,+117,-182,+127,+163,-227,-156,+113,-196,+133,-192,+130,-182,+133,,,,,,,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,1.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,2.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,3.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,LEC,2020.0,summer,G2,Rogue,1.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,LEC,2020.0,summer,G2,Rogue,2.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,LEC,2020.0,summer,G2,Rogue,3.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,1.0,betjoe,2020-09-01 23:00:00,,,-154,+107,-172,+119,-208,+142,,,,,,,,,,,,,,,-137,-105,+121,-175,+103,-149,-116,-123,-141,-102,-164,+114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,2.0,betjoe,2020-09-01 23:00:00,,,-154,+107,-172,+119,-208,+142,,,,,,,,,,,,,,,-137,-105,+118,-169,+120,-175,+102,-147,-118,-122,-139,-103,-164,+113,,,,,,,,,,,,,,,,,,,-105,-137,,,,,,,,,,,,
2020-09-03,VCS,2020.0,summer,GAM Esports,EVOS Esports,3.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,1.0,betjoe,2020-09-01 23:00:00,,,-127,-110,-175,+126,-196,+138,,,,,,,,,,,,,,,,,+135,-189,+108,-149,-118,-118,-141,+102,-172,+123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,2.0,betjoe,2020-09-01 23:00:00,,,-127,-110,-154,+111,-169,+121,,,,,,,,,,,,,,,,,+135,-189,+125,-175,+103,-143,-119,-115,-145,+105,-175,+126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,LVP SuperLiga,2020.0,summer,Giants Gaming,G2 Arctic,3.0,betjoe,2020-09-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,1.0,betjoe,2020-09-01 23:00:00,-185,+132,-143,+100,-132,-109,-143,+100,,,,,,,,,-123,-116,,,,,,,,,,,,,+103,-149,-116,-123,-141,-102,-152,+105,,,,,,,,,,,,,,,-164,+113,,,,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,2.0,betjoe,2020-09-01 23:00:00,-185,+132,-143,+100,-132,-109,-143,+100,,,,,,,,,-120,-119,,,,,,,,,,,,,+105,-152,-115,-125,-139,-103,-152,+105,,,,,,,,,,,,,,,-164,+113,,,,,,,,,,,,,,
2020-09-06,CBLOL,2020.0,summer,PAIN,INTZ,3.0,betjoe,2020-09-01 23:00:00,-167,+119,-130,-110,-132,-109,-143,+100,,,,,,,,,-125,-115,,,,,,,,,,,,,+110,-159,-102,-141,-123,-116,-133,-108,,,,,,,,,,,,,,,-145,+101,,,-159,+109,,,,,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,1.0,betjoe,2020-09-01 23:00:00,,,+102,-147,+137,-200,+152,-227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,2.0,betjoe,2020-09-01 23:00:00,,,+102,-147,+142,-208,+152,-227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,TCL,2020.0,summer,5 Ronin,Papara SuperMassive,3.0,betjoe,2020-09-01 23:00:00,+193,-286,+102,-147,+137,-200,+152,-227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,LJL,2020.0,summer,Sengoku Gaming,Detonation FocusMe,1.0,betjoe,2020-09-01 23:00:00,,,+107,-154,-120,-120,-120,-120,-123,-116,-109,-133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+104,-149,-145,+101,-105,-137,-114,-127,-123,-116,-133,-108
