date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:set_win:home,special:set_win:away,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:21.5:over,over_under:total_kill:21.5:under,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,over_under:total_dragon:4.5:over,over_under:total_dragon:4.5:under,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,over_under:total_kill:20.5:over,over_under:total_kill:20.5:under
2020-09-07,LCK,2020.0,summer,Afreeca,KT,1.0,betjoe,2020-09-07 11:00:00,-189,+138,-128,-101,-139,+107,-152,+116,-185,+141,-152,+116,-125,-104,-104,-125,+113,-147,+138,-182,+167,-222,-111,-118,+138,-182,+113,-147,-109,-120,-130,+100,-156,+119,-169,+129,-185,+141,-132,-101,+127,-185,-179,+130,-182,+133,+190,-263,-152,+112,-192,+140,,
2020-09-07,LCK,2020.0,summer,Afreeca,KT,2.0,betjoe,2020-09-07 11:00:00,-182,+137,-127,-102,-141,+108,-152,+116,-182,+139,-147,+113,-123,-105,-103,-127,+116,-152,+142,-185,,,-111,-118,+133,-175,+107,-139,-114,-114,-137,+105,-164,+125,-179,+136,-196,+148,-130,-104,+120,-175,-175,+129,-175,+128,+188,-256,-135,+100,-185,+136,-222,+165
2020-09-07,LCK,2020.0,summer,Afreeca,KT,3.0,betjoe,2020-09-07 11:00:00,-169,+125,-123,-105,-141,+108,-152,+116,-182,+138,-147,+113,-125,-104,-102,-128,+116,-152,+141,-185,,,-111,-118,+144,-192,+116,-152,-105,-123,-127,-103,-154,+118,-167,+127,-182,+138,-128,-105,+123,-175,-182,+134,-159,+117,+180,-244,-147,+108,-167,+121,-222,+166
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,1.0,betjoe,2020-09-07 11:00:00,,,-106,-135,-104,-139,+104,-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,Movistar Riders,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,1.0,betjoe,2020-09-07 11:00:00,,,-120,-120,-120,-120,-120,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Movistar Riders,AGO ROGUE,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,1.0,betjoe,2020-09-07 11:00:00,,,-159,+109,-250,+165,-294,+189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,Team GamerLegion,SuppUp eSports,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,1.0,betjoe,2020-09-07 11:00:00,,,+135,-200,+210,-333,+235,-385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,SuppUp eSports,Movistar Riders,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,1.0,betjoe,2020-09-07 11:00:00,,,-132,-110,-152,+104,-172,+119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,European Masters,2020.0,summer,AGO ROGUE,Team GamerLegion,3.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,1.0,betjoe,2020-09-07 11:00:00,,,-122,-116,-120,-120,-110,-132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,European Masters,2020.0,summer,LDLC OL,S04E,2.0,betjoe,2020-09-07 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
