date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,1.0,betjoe,2020-09-11 11:00:00,+135,-200,+210,-333,+250,-417
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,WLGaming,Misfits Premier,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,1.0,betjoe,2020-09-11 11:00:00,+100,-143,+165,-250,+189,-294
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,Giants Gaming,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,1.0,betjoe,2020-09-11 11:00:00,-159,+109,-143,+100,-159,+109
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Giants Gaming,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,1.0,betjoe,2020-09-11 11:00:00,-143,+100,-120,-120,-120,-120
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Pompa,WLGaming,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,1.0,betjoe,2020-09-11 11:00:00,-159,+109,-294,+189,-370,+228
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Misfits Premier,Pompa,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,1.0,betjoe,2020-09-11 11:00:00,-172,+120,-278,+181,-333,+210
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-12,European Masters,2020.0,summer,Giants Gaming,WLGaming,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,1.0,betjoe,2020-09-11 11:00:00,-120,-120,-120,-120,-132,-110
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,GamersOrigin,Fnatic Rising,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,1.0,betjoe,2020-09-11 11:00:00,-189,+129,-385,+235,-500,+286
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,Intrepid Fox,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,1.0,betjoe,2020-09-11 11:00:00,-130,-111,-120,-120,-132,-109
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,GamersOrigin,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,1.0,betjoe,2020-09-11 11:00:00,+129,-189,+210,-333,+250,-417
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,Fnatic Rising,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,1.0,betjoe,2020-09-11 11:00:00,+120,-175,+210,-333,+250,-417
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,Intrepid Fox,GamersOrigin,3.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,mousesports,1.0,betjoe,2020-09-11 11:00:00,-120,-120,+100,-143,+109,-159
2020-09-13,European Masters,2020.0,summer,mousesports,mousesports,2.0,betjoe,2020-09-11 11:00:00,,,,,,
2020-09-13,European Masters,2020.0,summer,mousesports,mousesports,3.0,betjoe,2020-09-11 11:00:00,,,,,,
