date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:set_win:home,special:set_win:away,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away
2020-09-16,European Masters,2020.0,summer,Giants Gaming,Team GamerLegion,1.0,betjoe,2020-09-14 23:00:00,-189,+134,-127,-112,-147,+102,-167,+115
2020-09-16,European Masters,2020.0,summer,Giants Gaming,Team GamerLegion,2.0,betjoe,2020-09-14 23:00:00,-192,+137,-127,-112,-147,+102,-167,+115
2020-09-16,European Masters,2020.0,summer,Giants Gaming,Team GamerLegion,3.0,betjoe,2020-09-14 23:00:00,-196,+139,-127,-112,-147,+102,-167,+115
2020-09-16,European Masters,2020.0,summer,LDLC OL,GamersOrigin,1.0,betjoe,2020-09-14 23:00:00,+126,-175,-118,-122,-104,-137,+105,-152
2020-09-16,European Masters,2020.0,summer,LDLC OL,GamersOrigin,2.0,betjoe,2020-09-14 23:00:00,+126,-175,-118,-122,-104,-137,+105,-152
2020-09-16,European Masters,2020.0,summer,LDLC OL,GamersOrigin,3.0,betjoe,2020-09-14 23:00:00,+123,-172,-118,-122,-104,-137,+105,-152
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,1.0,betjoe,2020-09-14 23:00:00,-175,+126,-125,-114,-139,-103,-149,+104
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,2.0,betjoe,2020-09-14 23:00:00,-175,+126,-125,-114,-139,-103,-149,+104
2020-09-17,European Masters,2020.0,summer,AGO ROGUE,Misfits Premier,3.0,betjoe,2020-09-14 23:00:00,-169,+121,-125,-114,-139,-103,-149,+104
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,1.0,betjoe,2020-09-14 23:00:00,-208,+147,-127,-112,-147,+102,-172,+119
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,2.0,betjoe,2020-09-14 23:00:00,-208,+147,-127,-112,-147,+102,-172,+119
2020-09-17,European Masters,2020.0,summer,mousesports,K1CK Neosurf,3.0,betjoe,2020-09-14 23:00:00,-200,+141,-127,-112,-147,+102,-172,+119
