date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,special:first_inhib:home,special:first_inhib:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,1.0,betjoe,2020-09-18 11:00:00,-164,+120,-116,-116,-256,+173,-233,+160,-385,+245,-833,+452,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,1.0,betjoe,2020-09-18 11:00:00,-116,-116,,,-127,-111,-119,-119,-127,-111,-135,+102,-116,-116,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,1.0,betjoe,2020-09-18 11:00:00,-123,-109,,,-154,+109,-139,-101,-154,+109,-185,+139,,,-116,-116,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Fnatic,TSM,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,1.0,betjoe,2020-09-18 11:00:00,-123,-109,,,-139,-101,-127,-111,-139,-101,-161,+121,,,+101,-137,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,1.0,betjoe,2020-09-18 11:00:00,-149,+111,,,-233,+160,-196,+136,-256,+173,-417,+275,,,,,-116,-116,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,1.0,betjoe,2020-09-18 11:00:00,-137,+101,,,-179,+125,-167,+118,-196,+136,-244,+177,,,,,,,-116,-116,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-333,+227,-400,+264,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,Machi Esports,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-147,+108,-161,+118,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,2.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Fnatic,TSM,3.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Suning,1.0,betjoe,2020-09-18 11:00:00,,,,,,,,,,,,,,,,,,,,,-135,+100,-143,+105,,,,,,
