date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,over_under:total_kill:28.5:over,over_under:total_kill:28.5:under,handicap:total_kill_handicap:-13.5:home,handicap:total_kill_handicap:+13.5:away,handicap:total_kill_handicap:-12.5:home,handicap:total_kill_handicap:+12.5:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,over_under:total_kill:29.5:over,over_under:total_kill:29.5:under,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,handicap:total_kill_handicap:-0.5:home,handicap:total_kill_handicap:+0.5:away,over_under:total_kill:30.5:over,over_under:total_kill:30.5:under,over_under:total_kill:31.5:over,over_under:total_kill:31.5:under,handicap:total_kill_handicap:+0.5:home,handicap:total_kill_handicap:-0.5:away,over_under:total_kill:21.5:over,over_under:total_kill:21.5:under,over_under:total_kill:20.5:over,over_under:total_kill:20.5:under
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,1.0,betjoe,2020-10-03 11:00:00,-147,+112,-357,+250,-455,+306,-204,+154,-169,+129,-143,+109,-120,-109,-102,-127,+114,-149,+139,-182,+174,-233,+139,-182,+108,-141,-114,-115,-141,+108,-175,+134,-213,+160,-217,+157,-182,+132,-385,+258,+251,-370,-204,+147,-667,+383,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,2.0,betjoe,2020-10-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,TES,FlyQuest,3.0,betjoe,2020-10-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,DragonX,Unicorns Of Love,1.0,betjoe,2020-10-03 11:00:00,-147,+113,-244,+180,-278,+202,,,-196,+148,-161,+123,-137,+105,-114,-114,+105,-137,+125,-164,,,,,,,+165,-222,+134,-175,+106,-139,-114,-115,-179,+131,-169,+123,-244,+175,,,-192,+140,-333,+228,+147,-192,-137,+105,-164,+125,-192,+146,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,DragonX,Unicorns Of Love,2.0,betjoe,2020-10-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,DragonX,Unicorns Of Love,3.0,betjoe,2020-10-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Rogue,Talon Esports,1.0,betjoe,2020-10-03 11:00:00,-133,+102,-145,+112,-152,+117,,,-192,+144,-154,+118,-128,-101,-109,-120,+111,-145,+131,-172,,,,,,,,,,,+141,-185,+114,-149,-164,+120,-145,+108,-175,+128,+149,-196,-125,-109,-200,+146,+154,-204,-104,-125,-123,-105,-149,+115,-179,+136,-192,+146,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Rogue,Talon Esports,2.0,betjoe,2020-10-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Rogue,Talon Esports,3.0,betjoe,2020-10-03 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,World Championship 2020,2020.0,summer,Damwon,JDG,1.0,betjoe,2020-10-03 11:00:00,-125,-104,-122,-106,-130,+100,,,-189,+143,-161,+123,-139,+106,-116,-112,+102,-133,+125,-164,,,,,,,,,,,,,,,-143,+106,-114,-119,-145,+108,+148,-204,-143,+105,-159,+117,+147,-196,+129,-169,+106,-139,-111,-118,-135,+104,-147,+113,-156,+120,-167,+128,,,,,,,,,,
