date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,handicap:total_kill_handicap:+4.5:home,handicap:total_kill_handicap:-4.5:away,handicap:total_kill_handicap:+5.5:home,handicap:total_kill_handicap:-5.5:away,handicap:total_kill_handicap:+6.5:home,handicap:total_kill_handicap:-6.5:away,handicap:total_kill_handicap:+7.5:home,handicap:total_kill_handicap:-7.5:away,handicap:total_kill_handicap:+8.5:home,handicap:total_kill_handicap:-8.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,over_under:total_kill:28.5:over,over_under:total_kill:28.5:under,over_under:total_kill:29.5:over,over_under:total_kill:29.5:under,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,over_under:game_time:32:over,over_under:game_time:32:under,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-0.5:home,handicap:total_kill_handicap:+0.5:away,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under
2020-10-04,World Championship 2020,2020.0,summer,Machi Esports,TL,1.0,betjoe,2020-10-04 11:00:00,+102,-133,+117,-152,+133,-175,-132,+101,-109,-120,+111,-145,+142,-185,+121,-159,+100,-130,-122,-108,-161,+123,+127,-172,+114,-156,+136,-185,+155,-208,-102,-130,+162,-222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Machi Esports,TL,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Machi Esports,TL,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,1.0,betjoe,2020-10-04 11:00:00,-133,+102,-119,-110,-125,-103,,,,,,,,,,,,,,,,,-149,+111,-145,+106,-145,+106,+137,-185,-125,-105,-156,+117,-147,+113,-125,-103,-108,-122,+111,-145,-109,-119,-128,-102,-135,+104,-143,+110,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,G2,Suning,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,1.0,betjoe,2020-10-04 11:00:00,-149,+116,-286,+207,-333,+237,-116,-112,+100,-130,,,,,,,,,,,,,-250,+181,-179,+129,-345,+235,+195,-278,-189,+140,-500,+319,,,,,,,,,,,,,,,,,+149,-196,-135,+104,+141,-185,+110,-143,-115,-114,-147,+113,-179,+136,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,1.0,betjoe,2020-10-04 11:00:00,-154,+118,-312,+224,-370,+258,-143,+109,-120,-109,-102,-128,,,,,,,,,,,-217,+157,-213,+154,-333,+227,+183,-250,-196,+146,-476,+315,,,,,,,,,,,,,,,,,,,,,+125,-164,-104,-125,-135,+104,-167,+127,-204,+154,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,1.0,betjoe,2020-10-04 11:00:00,-147,+111,-192,+147,-217,+162,-114,-114,+106,-139,,,,,,,,,,,,,-196,+143,-179,+131,-227,+164,+165,-222,-172,+129,-294,+211,,,,,,,-172,+131,,,,,,,,,-127,-103,-133,+103,,,,,+129,-169,+106,-139,-119,-110,-143,+110,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,1.0,betjoe,2020-10-04 11:00:00,-119,-110,-132,+102,-135,+104,,,-143,+109,-119,-110,,,,,,,,,,,-123,-109,-128,-104,-133,-102,+138,-189,-123,-108,-141,+105,+102,-133,,,,,+118,-154,-104,-125,-123,-105,-133,+102,-145,+111,,,,,,,,,,,,,,,,,-114,-114,,,,
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,1.0,betjoe,2020-10-04 11:00:00,-156,+114,-278,+195,-333,+227,,,-152,+111,-128,-106,,,,,,,,,,,-233,+160,-189,+131,-286,+189,+184,-263,-213,+152,-455,+285,-105,-128,,,,,,,,,,,,,,,-119,-112,,,+138,-189,+114,-154,-108,-125,-132,-103,-161,+118,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,1.0,betjoe,2020-10-04 11:00:00,-137,+101,-154,+113,-182,+133,-141,+103,-116,-116,+105,-141,,,,,,,,,,,-179,+125,-167,+118,-179,+125,,,-118,-118,-233,+162,,,,,,,-111,-120,-133,-101,-161,+118,-175,+128,,,,,,,,,,,,,,,,,+111,-149,-135,-101,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,1.0,betjoe,2020-10-04 11:00:00,-172,+127,-435,+280,-556,+338,-112,-119,+105,-141,,,,,,,,,,,,,-294,+196,-256,+173,-435,+270,,,-256,+176,-909,+447,,,,,,,,,,,,,,,,,,,-135,+100,+133,-182,+108,-147,-115,-116,-145,+106,-175,+129,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,1.0,betjoe,2020-10-04 11:00:00,-145,+107,-238,+170,-270,+190,,,,,-128,-105,,,,,,,,,,,-179,+125,-164,+116,-233,+159,+157,-217,-172,+123,-303,+205,-110,-122,+106,-145,,,-143,+105,-169,+125,,,,,,,,,,,,,,,,,+125,-172,+103,-141,-118,-114,-116,-115,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,FlyQuest,Unicorns Of Love,1.0,betjoe,2020-10-04 11:00:00,-118,-114,-116,-116,-116,-116,,,,,-137,+101,,,,,,,,,,,-127,-111,-119,-119,-119,-119,,,-118,-118,-119,-115,-111,-120,+105,-141,,,,,+108,-145,-111,-120,-120,-111,-130,-103,,,,,,,,,,,,,,,,,,,-141,+105,,
2020-10-05,World Championship 2020,2020.0,summer,FlyQuest,Unicorns Of Love,2.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,FlyQuest,Unicorns Of Love,3.0,betjoe,2020-10-04 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,DragonX,DragonX,1.0,betjoe,2020-10-04 11:00:00,-143,+105,-182,+132,-200,+145,,,,,-152,+111,,,,,,,,,,,-175,+124,-179,+125,-189,+132,+147,-200,-189,+136,-238,+165,-128,-105,-105,-128,,,-118,-114,-141,+105,-169,+123,,,,,,,,,,,,,,,,,+123,-169,+102,-139,,,,,,
