date,league_name,year,season,team_1,team_2,set_number,betting_site,saved_time,special:first_blood:home,special:first_blood:away,special:first_5kill:home,special:first_5kill:away,special:first_10kill:home,special:first_10kill:away,over_under:total_kill:23.5:over,over_under:total_kill:23.5:under,over_under:total_kill:24.5:over,over_under:total_kill:24.5:under,over_under:total_kill:25.5:over,over_under:total_kill:25.5:under,over_under:game_time:33:over,over_under:game_time:33:under,handicap:total_kill_handicap:-12.5:home,handicap:total_kill_handicap:+12.5:away,handicap:total_kill_handicap:-11.5:home,handicap:total_kill_handicap:+11.5:away,handicap:total_kill_handicap:-10.5:home,handicap:total_kill_handicap:+10.5:away,handicap:total_kill_handicap:-9.5:home,handicap:total_kill_handicap:+9.5:away,handicap:total_kill_handicap:-8.5:home,handicap:total_kill_handicap:+8.5:away,special:first_tower:home,special:first_tower:away,special:first_dragon:home,special:first_dragon:away,special:first_baron:home,special:first_baron:away,over_under:total_baron:1.5:over,over_under:total_baron:1.5:under,special:first_rift:home,special:first_rift:away,special:first_inhib:home,special:first_inhib:away,over_under:game_time:32:over,over_under:game_time:32:under,handicap:total_kill_handicap:-7.5:home,handicap:total_kill_handicap:+7.5:away,handicap:total_kill_handicap:-6.5:home,handicap:total_kill_handicap:+6.5:away,handicap:total_kill_handicap:-5.5:home,handicap:total_kill_handicap:+5.5:away,over_under:total_kill:26.5:over,over_under:total_kill:26.5:under,over_under:total_kill:27.5:over,over_under:total_kill:27.5:under,handicap:total_kill_handicap:-4.5:home,handicap:total_kill_handicap:+4.5:away,handicap:total_kill_handicap:-3.5:home,handicap:total_kill_handicap:+3.5:away,handicap:total_kill_handicap:-2.5:home,handicap:total_kill_handicap:+2.5:away,handicap:total_kill_handicap:-1.5:home,handicap:total_kill_handicap:+1.5:away,handicap:total_kill_handicap:-0.5:home,handicap:total_kill_handicap:+0.5:away,over_under:total_kill:28.5:over,over_under:total_kill:28.5:under,over_under:total_kill:22.5:over,over_under:total_kill:22.5:under
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,1.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Damwon,Rogue,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,1.0,betjoe,2020-10-04 23:00:00,-159,+121,-312,+224,-370,+258,-149,+114,-123,-105,-103,-127,+129,-169,+149,-196,+118,-154,-110,-119,-145,+111,-182,+138,-250,+176,-217,+155,-357,+241,+186,-263,-143,+108,-500,+322,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,JDG,Talon Esports,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,1.0,betjoe,2020-10-04 23:00:00,-161,+119,-192,+147,-217,+162,-147,+113,-125,-104,-103,-127,,,,,,,,,+133,-175,+107,-139,-204,+148,-179,+131,-238,+171,+165,-222,-200,+148,-312,+218,-133,+102,-116,-112,-143,+109,-169,+129,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,GenG,TSM,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,1.0,betjoe,2020-10-04 23:00:00,-119,-110,-132,+102,-135,+104,,,,,-135,+104,-133,+102,,,,,,,,,,,-115,-116,-132,-102,-133,-102,+138,-189,-106,-125,-141,+105,,,,,,,,,-114,-114,+106,-139,+105,-137,-111,-118,-119,-110,-128,-102,-137,+105,,,,
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,World Championship 2020,2020.0,summer,Fnatic,LGD,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,1.0,betjoe,2020-10-04 23:00:00,-152,+116,-270,+198,-323,+230,,,,,-143,+110,,,,,,,+120,-156,-101,-128,-123,-105,-227,+163,-182,+133,-270,+192,+184,-263,-208,+154,-435,+289,-154,+118,-149,+114,-179,+136,,,-125,-104,-103,-127,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,G2,Machi Esports,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,1.0,betjoe,2020-10-04 23:00:00,-133,+103,-149,+115,-179,+135,,,-137,+105,-114,-114,-132,+101,,,,,,,,,,,-189,+138,-164,+120,-189,+138,,,-115,-115,-278,+200,,,+123,-161,-102,-128,-123,-105,+106,-139,,,-149,+114,-175,+134,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Suning,TL,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,1.0,betjoe,2020-10-04 23:00:00,-169,+129,-417,+284,-526,+342,-137,+105,-114,-114,+103,-133,,,+146,-192,+120,-156,-104,-125,-132,+101,-161,+123,-286,+199,-250,+176,-417,+274,,,-244,+178,-833,+452,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,Damwon,Talon Esports,3.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,1.0,betjoe,2020-10-04 23:00:00,-145,+107,-238,+170,-270,+190,,,,,-139,+102,-116,-115,,,,,,,,,+125,-172,-179,+125,-164,+116,-233,+159,+157,-217,-172,+123,-303,+205,,,+103,-141,-118,-114,-143,+105,-116,-116,+102,-139,-169,+125,,,,,,,,,,,,
2020-10-05,World Championship 2020,2020.0,summer,JDG,Rogue,2.0,betjoe,2020-10-04 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
