year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,BL,1,2020-06-02,S1,BG,1-0
2020.0,summer,BL,1,2020-06-02,RSCA,KVM,1-0
2020.0,summer,BL,1,2020-06-02,S1,ATR,1-0
2020.0,summer,BL,1,2020-06-02,RSCA,7AM,1-0
2020.0,summer,BL,2,2020-06-09,KVM,ATR,1-0
2020.0,summer,BL,2,2020-06-09,BG,7AM,0-1
2020.0,summer,BL,2,2020-06-09,KVM,S1,0-1
2020.0,summer,BL,2,2020-06-09,BG,RSCA,1-0
2020.0,summer,BL,3,2020-06-16,ATR,RSCA,1-0
2020.0,summer,BL,3,2020-06-16,7AM,S1,0-1
2020.0,summer,BL,3,2020-06-16,ATR,BG,0-1
2020.0,summer,BL,3,2020-06-16,7AM,KVM,0-1
2020.0,summer,BL,4,2020-06-23,S1,RSCA,1-0
2020.0,summer,BL,4,2020-06-23,ATR,7AM,1-0
2020.0,summer,BL,4,2020-06-23,BG,KVM,0-1
2020.0,summer,BL,5,2020-06-30,RSCA,7AM,0-1
2020.0,summer,BL,5,2020-06-30,S1,ATR,0-1
2020.0,summer,BL,5,2020-06-30,RSCA,KVM,0-1
2020.0,summer,BL,5,2020-06-30,S1,BG,1-0
2020.0,summer,BL,6,2020-07-07,BG,7AM,0-1
2020.0,summer,BL,6,2020-07-07,KVM,S1,0-1
2020.0,summer,BL,6,2020-07-07,BG,RSCA,0-1
2020.0,summer,BL,6,2020-07-07,KVM,ATR,1-0
2020.0,summer,BL,7,2020-07-14,7AM,KVM,0-1
2020.0,summer,BL,7,2020-07-14,ATR,BG,1-0
2020.0,summer,BL,7,2020-07-14,7AM,S1,1-0
2020.0,summer,BL,7,2020-07-14,ATR,RSCA,1-0
2020.0,summer,BL,8,2020-07-21,BG,KVM,0-1
2020.0,summer,BL,8,2020-07-21,ATR,7AM,1-0
2020.0,summer,BL,8,2020-07-21,S1,RSCA,1-0
