year,season,league_name,week,date,team_1,team_2,result
2018.0,spring,BRCC,1,2018-02-20,FLA,IDM,2-0
2018.0,spring,BRCC,1,2018-02-21,OPK,5Fox,2-0
2018.0,spring,BRCC,1,2018-02-21,TShow,HKS,2-0
2018.0,spring,BRCC,2,2018-02-27,HKS,OPK,0-2
2018.0,spring,BRCC,2,2018-02-28,5Fox,IDM,1-1
2018.0,spring,BRCC,2,2018-02-28,TShow,FLA,0-2
2018.0,spring,BRCC,3,2018-03-06,5Fox,TShow,0-2
2018.0,spring,BRCC,3,2018-03-07,FLA,HKS,1-1
2018.0,spring,BRCC,3,2018-03-07,IDM,OPK,0-2
2018.0,spring,BRCC,4,2018-03-13,OPK,FLA,1-1
2018.0,spring,BRCC,4,2018-03-14,IDM,TShow,0-2
2018.0,spring,BRCC,4,2018-03-14,HKS,5Fox,1-1
2018.0,spring,BRCC,5,2018-03-20,IDM,HKS,2-0
2018.0,spring,BRCC,5,2018-03-21,OPK,TShow,1-1
2018.0,spring,BRCC,5,2018-03-21,FLA,5Fox,2-0
