year,season,league_name,week,date,team_1,team_2,result
2018.0,summer,BRCC,1,2018-07-17,PNG,ONE,1-1
2018.0,summer,BRCC,1,2018-07-18,OPK,WP,2-0
2018.0,summer,BRCC,1,2018-07-18,RDP,SUB,2-0
2018.0,summer,BRCC,2,2018-07-24,SUB,OPK,0-2
2018.0,summer,BRCC,2,2018-07-25,WP,ONE,0-2
2018.0,summer,BRCC,2,2018-07-25,RDP,PNG,1-1
2018.0,summer,BRCC,3,2018-07-31,WP,RDP,0-2
2018.0,summer,BRCC,3,2018-08-01,PNG,SUB,2-0
2018.0,summer,BRCC,3,2018-08-01,ONE,OPK,1-1
2018.0,summer,BRCC,4,2018-08-07,OPK,PNG,1-1
2018.0,summer,BRCC,4,2018-08-08,ONE,RDP,2-0
2018.0,summer,BRCC,4,2018-08-08,SUB,WP,2-0
2018.0,summer,BRCC,5,2018-08-14,ONE,SUB,1-1
2018.0,summer,BRCC,5,2018-08-15,OPK,RDP,1-1
2018.0,summer,BRCC,5,2018-08-15,PNG,WP,2-0
