year,season,league_name,week,date,team_1,team_2,result
2019.0,spring,CBLOL,1,2019-01-13,FLA,KBM,1-0
2019.0,spring,CBLOL,1,2019-01-13,VK,UP,0-1
2019.0,spring,CBLOL,1,2019-01-13,PRG,RDP,0-1
2019.0,spring,CBLOL,1,2019-01-13,ITZ,CNB,1-0
2019.0,spring,CBLOL,1,2019-01-14,UP,KBM,1-0
2019.0,spring,CBLOL,1,2019-01-14,VK,CNB,0-1
2019.0,spring,CBLOL,1,2019-01-14,RDP,ITZ,1-0
2019.0,spring,CBLOL,1,2019-01-14,FLA,PRG,1-0
2019.0,spring,CBLOL,2,2019-01-20,RDP,CNB,1-0
2019.0,spring,CBLOL,2,2019-01-20,ITZ,PRG,1-0
2019.0,spring,CBLOL,2,2019-01-20,UP,FLA,0-1
2019.0,spring,CBLOL,2,2019-01-20,VK,KBM,1-0
2019.0,spring,CBLOL,2,2019-01-21,UP,PRG,1-0
2019.0,spring,CBLOL,2,2019-01-21,RDP,FLA,0-1
2019.0,spring,CBLOL,2,2019-01-21,CNB,KBM,1-0
2019.0,spring,CBLOL,2,2019-01-21,VK,ITZ,1-0
2019.0,spring,CBLOL,3,2019-01-27,VK,PRG,1-0
2019.0,spring,CBLOL,3,2019-01-27,RDP,KBM,1-0
2019.0,spring,CBLOL,3,2019-01-27,FLA,ITZ,1-0
2019.0,spring,CBLOL,3,2019-01-27,CNB,UP,0-1
2019.0,spring,CBLOL,3,2019-01-28,ITZ,KBM,1-0
2019.0,spring,CBLOL,3,2019-01-28,CNB,PRG,0-1
2019.0,spring,CBLOL,3,2019-01-28,FLA,VK,1-0
2019.0,spring,CBLOL,3,2019-01-28,RDP,UP,0-1
2019.0,spring,CBLOL,4,2019-02-03,FLA,CNB,1-0
2019.0,spring,CBLOL,4,2019-02-03,ITZ,UP,0-1
2019.0,spring,CBLOL,4,2019-02-03,PRG,KBM,0-1
2019.0,spring,CBLOL,4,2019-02-03,RDP,VK,1-0
2019.0,spring,CBLOL,4,2019-02-04,KBM,FLA,1-0
2019.0,spring,CBLOL,4,2019-02-04,RDP,PRG,1-0
