year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,CBLOL,1,2020-06-07,PNG,FLA,1-0
2020.0,summer,CBLOL,1,2020-06-07,FUR,ITZ,0-1
2020.0,summer,CBLOL,1,2020-06-07,SAN,VK,1-0
2020.0,summer,CBLOL,1,2020-06-07,PRG,KBM,0-1
2020.0,summer,CBLOL,1,2020-06-08,FLA,ITZ,0-1
2020.0,summer,CBLOL,1,2020-06-08,FUR,PRG,0-1
2020.0,summer,CBLOL,1,2020-06-08,VK,KBM,0-1
2020.0,summer,CBLOL,1,2020-06-08,SAN,PNG,1-0
2020.0,summer,CBLOL,2,2020-06-14,VK,PRG,1-0
2020.0,summer,CBLOL,2,2020-06-14,KBM,SAN,0-1
2020.0,summer,CBLOL,2,2020-06-14,ITZ,PNG,0-1
2020.0,summer,CBLOL,2,2020-06-14,FLA,FUR,0-1
2020.0,summer,CBLOL,2,2020-06-15,ITZ,SAN,0-1
2020.0,summer,CBLOL,2,2020-06-15,PNG,VK,1-0
2020.0,summer,CBLOL,2,2020-06-15,PRG,FLA,0-1
2020.0,summer,CBLOL,2,2020-06-15,FUR,KBM,0-1
2020.0,summer,CBLOL,3,2020-06-21,SAN,FUR,0-1
2020.0,summer,CBLOL,3,2020-06-21,FLA,VK,1-0
2020.0,summer,CBLOL,3,2020-06-21,KBM,PNG,0-1
2020.0,summer,CBLOL,3,2020-06-21,ITZ,PRG,1-0
2020.0,summer,CBLOL,3,2020-06-22,KBM,FLA,0-1
2020.0,summer,CBLOL,3,2020-06-22,PRG,SAN,0-1
2020.0,summer,CBLOL,3,2020-06-22,PNG,FUR,1-0
2020.0,summer,CBLOL,3,2020-06-22,VK,ITZ,1-0
2020.0,summer,CBLOL,4,2020-06-28,PNG,PRG,1-0
2020.0,summer,CBLOL,4,2020-06-28,ITZ,KBM,1-0
2020.0,summer,CBLOL,4,2020-06-28,FLA,SAN,1-0
2020.0,summer,CBLOL,4,2020-06-28,FUR,VK,1-0
2020.0,summer,CBLOL,4,2020-06-29,FLA,PNG,0-1
2020.0,summer,CBLOL,4,2020-06-29,VK,SAN,0-1
2020.0,summer,CBLOL,4,2020-06-29,ITZ,FUR,1-0
