year,season,league_name,week,date,team_1,team_2,result
2018.0,spring,CIS_CL,1,2018-02-16,DA.A,DOL,0-1
2018.0,spring,CIS_CL,1,2018-02-16,CMCE,Aston,1-0
2018.0,spring,CIS_CL,1,2018-02-16,J.ICE,Salary,0-1
2018.0,spring,CIS_CL,1,2018-02-17,Aston,J.ICE,0-1
2018.0,spring,CIS_CL,1,2018-02-17,Salary,DA.A,1-0
2018.0,spring,CIS_CL,1,2018-02-17,DOL,CMCE,1-0
2018.0,spring,CIS_CL,2,2018-02-23,Salary,Aston,1-0
2018.0,spring,CIS_CL,2,2018-02-23,J.ICE,DOL,0-1
2018.0,spring,CIS_CL,2,2018-02-23,DA.A,CMCE,0-1
2018.0,spring,CIS_CL,2,2018-02-24,CMCE,J.ICE,1-0
2018.0,spring,CIS_CL,2,2018-02-24,DOL,Salary,1-0
2018.0,spring,CIS_CL,2,2018-02-24,Aston,DA.A,0-1
2018.0,spring,CIS_CL,3,2018-03-02,Salary,CMCE,1-0
2018.0,spring,CIS_CL,3,2018-03-02,DA.A,J.ICE,1-0
2018.0,spring,CIS_CL,3,2018-03-02,Aston,DOL,1-0
2018.0,spring,CIS_CL,3,2018-03-03,DOL,DA.A,1-0
2018.0,spring,CIS_CL,3,2018-03-03,Aston,CMCE,0-1
2018.0,spring,CIS_CL,3,2018-03-03,Salary,J.ICE,1-0
2018.0,spring,CIS_CL,4,2018-03-09,J.ICE,Aston,1-0
2018.0,spring,CIS_CL,4,2018-03-09,DA.A,Salary,0-1
2018.0,spring,CIS_CL,4,2018-03-09,CMCE,DOL,0-1
2018.0,spring,CIS_CL,4,2018-03-10,Aston,Salary,0-1
2018.0,spring,CIS_CL,4,2018-03-10,DOL,J.ICE,0-1
2018.0,spring,CIS_CL,4,2018-03-10,CMCE,DA.A,1-0
2018.0,spring,CIS_CL,5,2018-03-16,J.ICE,CMCE,0-1
2018.0,spring,CIS_CL,5,2018-03-16,Salary,DOL,0-1
2018.0,spring,CIS_CL,5,2018-03-16,DA.A,Aston,1-0
2018.0,spring,CIS_CL,5,2018-03-17,CMCE,Salary,0-1
2018.0,spring,CIS_CL,5,2018-03-17,J.ICE,DA.A,1-0
2018.0,spring,CIS_CL,5,2018-03-17,DOL,Aston,1-0
