year,season,league_name,week,date,team_1,team_2,result
2018.0,summer,CIS_CL,1,2018-07-20,J.ICE,MNL,0-1
2018.0,summer,CIS_CL,1,2018-07-20,CC,SEAD,1-0
2018.0,summer,CIS_CL,1,2018-07-20,AVN,PPC58,1-0
2018.0,summer,CIS_CL,1,2018-07-21,SEAD,AVN,0-1
2018.0,summer,CIS_CL,1,2018-07-21,PPC58,J.ICE,1-0
2018.0,summer,CIS_CL,1,2018-07-21,MNL,CC,0-1
2018.0,summer,CIS_CL,2,2018-07-27,PPC58,SEAD,1-0
2018.0,summer,CIS_CL,2,2018-07-27,AVN,MNL,1-0
2018.0,summer,CIS_CL,2,2018-07-27,J.ICE,CC,0-1
2018.0,summer,CIS_CL,2,2018-07-28,CC,AVN,1-0
2018.0,summer,CIS_CL,2,2018-07-28,MNL,PPC58,0-1
2018.0,summer,CIS_CL,2,2018-07-28,SEAD,J.ICE,1-0
2018.0,summer,CIS_CL,3,2018-08-03,PPC58,CC,1-0
2018.0,summer,CIS_CL,3,2018-08-03,J.ICE,AVN,0-1
2018.0,summer,CIS_CL,3,2018-08-03,SEAD,MNL,0-1
2018.0,summer,CIS_CL,3,2018-08-04,MNL,J.ICE,1-0
2018.0,summer,CIS_CL,3,2018-08-04,SEAD,CC,0-1
2018.0,summer,CIS_CL,3,2018-08-04,PPC58,AVN,0-1
2018.0,summer,CIS_CL,4,2018-08-09,AVN,SEAD,1-0
2018.0,summer,CIS_CL,4,2018-08-09,J.ICE,PPC58,0-1
2018.0,summer,CIS_CL,4,2018-08-09,CC,MNL,1-0
2018.0,summer,CIS_CL,4,2018-08-10,SEAD,PPC58,0-1
2018.0,summer,CIS_CL,4,2018-08-10,MNL,AVN,0-1
2018.0,summer,CIS_CL,4,2018-08-10,CC,J.ICE,1-0
2018.0,summer,CIS_CL,5,2018-08-17,AVN,CC,0-1
2018.0,summer,CIS_CL,5,2018-08-17,PPC58,MNL,1-0
2018.0,summer,CIS_CL,5,2018-08-17,J.ICE,SEAD,0-1
2018.0,summer,CIS_CL,5,2018-08-18,CC,PPC58,0-1
2018.0,summer,CIS_CL,5,2018-08-18,AVN,J.ICE,0-1
2018.0,summer,CIS_CL,5,2018-08-18,MNL,SEAD,1-0
