year,season,league_name,week,date,team_1,team_2,result
2017.0,summer,Challengers Korea,1,2017-06-02,RSG,GRF,0-2
2017.0,summer,Challengers Korea,1,2017-06-02,KDM,BtC,2-1
2017.0,summer,Challengers Korea,1,2017-06-04,IGS,CJ,0-2
2017.0,summer,Challengers Korea,1,2017-06-04,APK,GRF,2-0
2017.0,summer,Challengers Korea,2,2017-06-05,BtC,DWG,1-2
2017.0,summer,Challengers Korea,2,2017-06-05,KDM,RSG,2-0
2017.0,summer,Challengers Korea,2,2017-06-09,DWG,IGS,2-0
2017.0,summer,Challengers Korea,2,2017-06-09,GRF,KDM,1-2
2017.0,summer,Challengers Korea,2,2017-06-11,RSG,IGS,2-0
2017.0,summer,Challengers Korea,2,2017-06-11,CJ,BtC,2-0
2017.0,summer,Challengers Korea,3,2017-06-12,DWG,GRF,2-1
2017.0,summer,Challengers Korea,3,2017-06-12,KDM,APK,2-0
2017.0,summer,Challengers Korea,3,2017-06-16,DWG,RSG,2-1
2017.0,summer,Challengers Korea,3,2017-06-16,APK,CJ,0-2
2017.0,summer,Challengers Korea,3,2017-06-18,BtC,RSG,2-1
2017.0,summer,Challengers Korea,3,2017-06-18,GRF,IGS,2-0
2017.0,summer,Challengers Korea,4,2017-06-19,CJ,KDM,2-0
2017.0,summer,Challengers Korea,4,2017-06-19,APK,DWG,0-2
2017.0,summer,Challengers Korea,4,2017-06-23,IGS,KDM,0-2
2017.0,summer,Challengers Korea,4,2017-06-23,APK,BtC,2-0
2017.0,summer,Challengers Korea,4,2017-06-25,KDM,DWG,2-0
2017.0,summer,Challengers Korea,4,2017-06-25,CJ,GRF,2-0
2017.0,summer,Challengers Korea,5,2017-06-26,RSG,APK,0-2
2017.0,summer,Challengers Korea,5,2017-06-26,BtC,IGS,0-2
2017.0,summer,Challengers Korea,5,2017-06-30,IGS,APK,0-2
2017.0,summer,Challengers Korea,5,2017-06-30,DWG,CJ,0-2
2017.0,summer,Challengers Korea,5,2017-07-02,GRF,BtC,2-1
2017.0,summer,Challengers Korea,5,2017-07-02,CJ,RSG,2-0
2017.0,summer,Challengers Korea,6,2017-07-10,DWG,BtC,1-2
2017.0,summer,Challengers Korea,6,2017-07-10,APK,KDM,2-1
2017.0,summer,Challengers Korea,6,2017-07-14,APK,RSG,2-0
2017.0,summer,Challengers Korea,6,2017-07-14,GRF,DWG,1-2
2017.0,summer,Challengers Korea,6,2017-07-16,APK,IGS,2-0
2017.0,summer,Challengers Korea,6,2017-07-16,DWG,KDM,0-2
2017.0,summer,Challengers Korea,7,2017-07-17,RSG,CJ,0-2
2017.0,summer,Challengers Korea,7,2017-07-17,BtC,GRF,1-2
2017.0,summer,Challengers Korea,7,2017-07-21,GRF,RSG,2-1
2017.0,summer,Challengers Korea,7,2017-07-21,IGS,BtC,0-2
2017.0,summer,Challengers Korea,7,2017-07-23,KDM,CJ,0-2
2017.0,summer,Challengers Korea,7,2017-07-23,DWG,APK,2-1
2017.0,summer,Challengers Korea,8,2017-07-24,RSG,BtC,0-2
2017.0,summer,Challengers Korea,8,2017-07-24,IGS,GRF,0-2
2017.0,summer,Challengers Korea,8,2017-07-28,BtC,KDM,1-2
2017.0,summer,Challengers Korea,8,2017-07-28,GRF,CJ,0-2
2017.0,summer,Challengers Korea,8,2017-07-30,RSG,DWG,2-1
2017.0,summer,Challengers Korea,8,2017-07-30,BtC,APK,0-2
2017.0,summer,Challengers Korea,9,2017-07-31,KDM,GRF,1-2
2017.0,summer,Challengers Korea,9,2017-07-31,CJ,IGS,2-0
2017.0,summer,Challengers Korea,9,2017-08-06,GRF,APK,2-0
2017.0,summer,Challengers Korea,9,2017-08-06,RSG,KDM,0-2
2017.0,summer,Challengers Korea,10,2017-08-07,BtC,CJ,2-0
2017.0,summer,Challengers Korea,10,2017-08-07,IGS,DWG,2-1
2017.0,summer,Challengers Korea,10,2017-08-11,CJ,APK,2-0
2017.0,summer,Challengers Korea,10,2017-08-11,IGS,RSG,1-2
2017.0,summer,Challengers Korea,11,2017-08-14,KDM,IGS,2-0
2017.0,summer,Challengers Korea,11,2017-08-14,CJ,DWG,2-0
2017.0,summer,Challengers Korea,Tiebreakers,2017-08-14,APK,GRF,0-1
