year,season,league_name,week,date,team_1,team_2,result
2019.0,spring,Challengers Korea,1,2019-01-21,ESS,MVP,2-0
2019.0,spring,Challengers Korea,1,2019-01-21,APK,VSG,0-2
2019.0,spring,Challengers Korea,1,2019-01-24,ASR,VSG,0-2
2019.0,spring,Challengers Korea,1,2019-01-24,MVP,BRB,1-2
2019.0,spring,Challengers Korea,1,2019-01-25,APK,WNS,2-0
2019.0,spring,Challengers Korea,1,2019-01-25,bbq,ESS,0-2
2019.0,spring,Challengers Korea,2,2019-01-28,BRB,bbq,W-F
2019.0,spring,Challengers Korea,2,2019-01-28,WNS,ASR,1-2
2019.0,spring,Challengers Korea,2,2019-01-31,VSG,BRB,0-2
2019.0,spring,Challengers Korea,2,2019-01-31,MVP,ASR,2-1
2019.0,spring,Challengers Korea,2,2019-02-01,ESS,WNS,2-0
2019.0,spring,Challengers Korea,2,2019-02-01,bbq,APK,2-1
2019.0,spring,Challengers Korea,3,2019-02-11,WNS,bbq,2-1
2019.0,spring,Challengers Korea,3,2019-02-11,ESS,APK,1-2
2019.0,spring,Challengers Korea,3,2019-02-14,bbq,MVP,1-2
2019.0,spring,Challengers Korea,3,2019-02-14,VSG,WNS,2-0
2019.0,spring,Challengers Korea,3,2019-02-15,APK,ASR,2-0
2019.0,spring,Challengers Korea,3,2019-02-15,BRB,ESS,1-2
2019.0,spring,Challengers Korea,4,2019-02-18,ASR,BRB,0-2
2019.0,spring,Challengers Korea,4,2019-02-18,MVP,VSG,2-0
2019.0,spring,Challengers Korea,4,2019-02-21,WNS,MVP,2-0
2019.0,spring,Challengers Korea,4,2019-02-21,VSG,bbq,0-2
2019.0,spring,Challengers Korea,4,2019-02-22,BRB,APK,0-2
2019.0,spring,Challengers Korea,4,2019-02-22,ASR,ESS,0-2
2019.0,spring,Challengers Korea,5,2019-02-25,APK,MVP,2-0
2019.0,spring,Challengers Korea,5,2019-02-25,ESS,VSG,2-0
2019.0,spring,Challengers Korea,5,2019-02-28,BRB,WNS,2-1
2019.0,spring,Challengers Korea,5,2019-02-28,bbq,ASR,2-1
2019.0,spring,Challengers Korea,5,2019-03-01,VSG,ESS,2-0
2019.0,spring,Challengers Korea,5,2019-03-01,MVP,APK,0-2
2019.0,spring,Challengers Korea,6,2019-03-04,ASR,bbq,2-1
2019.0,spring,Challengers Korea,6,2019-03-04,WNS,BRB,1-2
2019.0,spring,Challengers Korea,6,2019-03-07,VSG,APK,0-2
2019.0,spring,Challengers Korea,6,2019-03-07,MVP,ESS,1-2
2019.0,spring,Challengers Korea,6,2019-03-08,bbq,BRB,2-0
2019.0,spring,Challengers Korea,6,2019-03-08,ASR,WNS,0-2
2019.0,spring,Challengers Korea,7,2019-03-11,VSG,MVP,2-0
2019.0,spring,Challengers Korea,7,2019-03-11,BRB,ASR,1-2
2019.0,spring,Challengers Korea,7,2019-03-14,ESS,bbq,2-1
2019.0,spring,Challengers Korea,7,2019-03-14,WNS,APK,0-2
2019.0,spring,Challengers Korea,7,2019-03-15,VSG,ASR,2-0
2019.0,spring,Challengers Korea,7,2019-03-15,BRB,MVP,2-0
2019.0,spring,Challengers Korea,8,2019-03-18,WNS,ESS,1-2
2019.0,spring,Challengers Korea,8,2019-03-18,APK,bbq,2-0
2019.0,spring,Challengers Korea,8,2019-03-21,ASR,APK,0-2
2019.0,spring,Challengers Korea,8,2019-03-21,ESS,BRB,2-1
2019.0,spring,Challengers Korea,8,2019-03-22,MVP,bbq,0-2
2019.0,spring,Challengers Korea,8,2019-03-22,WNS,VSG,0-2
2019.0,spring,Challengers Korea,9,2019-03-25,BRB,VSG,1-2
2019.0,spring,Challengers Korea,9,2019-03-25,ASR,MVP,2-0
2019.0,spring,Challengers Korea,9,2019-03-28,ESS,ASR,2-0
2019.0,spring,Challengers Korea,9,2019-03-28,APK,BRB,2-1
2019.0,spring,Challengers Korea,9,2019-03-29,MVP,WNS,2-0
2019.0,spring,Challengers Korea,9,2019-03-29,bbq,VSG,1-2
2019.0,spring,Challengers Korea,10,2019-04-01,APK,ESS,1-2
2019.0,spring,Challengers Korea,10,2019-04-01,bbq,WNS,2-0
