year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,DL,1,2020-01-22,MCN,EZ,1-0
2020.0,spring,DL,1,2020-01-22,TRL,PSV,0-1
2020.0,spring,DL,1,2020-01-22,MCN,DYN,1-0
2020.0,spring,DL,1,2020-01-22,TRL,DK,0-1
2020.0,spring,DL,2,2020-01-29,PSV,DYN,1-0
2020.0,spring,DL,2,2020-01-29,EZ,DK,0-1
2020.0,spring,DL,2,2020-01-29,PSV,MCN,1-0
2020.0,spring,DL,2,2020-01-29,EZ,TRL,1-0
2020.0,spring,DL,3,2020-02-05,DYN,TRL,1-0
2020.0,spring,DL,3,2020-02-05,DK,MCN,1-0
2020.0,spring,DL,3,2020-02-05,DYN,EZ,1-0
2020.0,spring,DL,3,2020-02-05,DK,PSV,0-1
2020.0,spring,DL,4,2020-02-12,MCN,TRL,0-1
2020.0,spring,DL,4,2020-02-12,DYN,DK,1-0
2020.0,spring,DL,4,2020-03-11,EZ,PSV,0-1
2020.0,spring,DL,5,2020-02-19,TRL,DK,1-0
2020.0,spring,DL,5,2020-02-19,MCN,DYN,0-1
2020.0,spring,DL,5,2020-02-19,TRL,PSV,0-1
2020.0,spring,DL,5,2020-02-19,MCN,EZ,1-0
2020.0,spring,DL,6,2020-02-26,EZ,TRL,0-1
2020.0,spring,DL,6,2020-02-26,PSV,MCN,1-0
2020.0,spring,DL,6,2020-02-26,EZ,DK,0-1
2020.0,spring,DL,6,2020-02-26,PSV,DYN,1-0
2020.0,spring,DL,7,2020-03-04,DK,PSV,1-0
2020.0,spring,DL,7,2020-03-04,DYN,EZ,1-0
2020.0,spring,DL,7,2020-03-04,DK,MCN,1-0
2020.0,spring,DL,7,2020-03-04,DYN,TRL,0-1
2020.0,spring,DL,8,2020-03-11,DYN,DK,0-1
2020.0,spring,DL,8,2020-03-11,EZ,PSV,0-1
2020.0,spring,DL,8,2020-03-11,MCN,TRL,0-1
