year,season,league_name,week,date,team_1,team_2,result
2018.0,spring,ECS,1,2018-01-16,AG,JII,1-1
2018.0,spring,ECS,1,2018-01-16,AFB,17A,2-0
2018.0,spring,ECS,1,2018-01-17,17A,JII,2-0
2018.0,spring,ECS,1,2018-01-17,AF,178,2-0
2018.0,spring,ECS,1,2018-01-18,KE,KSF,1-1
2018.0,spring,ECS,1,2018-01-18,AFB,AG,2-0
2018.0,spring,ECS,2,2018-01-23,178,KSF,0-2
2018.0,spring,ECS,2,2018-01-23,AF,KE,0-2
2018.0,spring,ECS,2,2018-01-24,AG,17A,0-2
2018.0,spring,ECS,2,2018-01-24,JII,AFB,1-1
2018.0,spring,ECS,2,2018-01-25,KE,178,2-0
2018.0,spring,ECS,2,2018-01-25,KSF,AF,2-0
2018.0,spring,ECS,3,2018-01-30,KSF,JII,2-0
2018.0,spring,ECS,3,2018-01-30,KE,AG,1-1
2018.0,spring,ECS,3,2018-01-31,178,17A,0-2
2018.0,spring,ECS,3,2018-01-31,AF,AFB,0-2
2018.0,spring,ECS,3,2018-02-01,AG,KSF,0-2
2018.0,spring,ECS,3,2018-02-01,JII,KE,0-2
2018.0,spring,ECS,4,2018-02-06,AFB,178,2-0
2018.0,spring,ECS,4,2018-02-06,17A,AF,1-1
2018.0,spring,ECS,4,2018-02-07,AF,JII,1-1
2018.0,spring,ECS,4,2018-02-07,178,AG,0-2
2018.0,spring,ECS,4,2018-02-08,KE,17A,0-2
2018.0,spring,ECS,4,2018-02-08,KSF,AFB,0-2
2018.0,spring,ECS,5,2018-02-21,AG,AF,0-2
2018.0,spring,ECS,5,2018-02-21,JII,178,2-0
2018.0,spring,ECS,5,2018-02-22,AFB,KE,2-0
2018.0,spring,ECS,5,2018-02-22,17A,KSF,2-0
2018.0,spring,ECS,6,2018-02-27,17A,AFB,1-1
2018.0,spring,ECS,6,2018-02-27,JII,AG,1-1
2018.0,spring,ECS,6,2018-03-01,178,AF,F-F
2018.0,spring,ECS,6,2018-03-01,KSF,KE,1-1
2018.0,spring,ECS,7,2018-03-06,AG,AFB,0-2
2018.0,spring,ECS,7,2018-03-06,JII,17A,0-2
2018.0,spring,ECS,7,2018-03-07,KE,AF,2-0
2018.0,spring,ECS,7,2018-03-07,KSF,178,W-F
2018.0,spring,ECS,7,2018-03-08,AFB,JII,2-0
2018.0,spring,ECS,7,2018-03-08,17A,AG,2-0
2018.0,spring,ECS,8,2018-03-13,AF,KSF,2-0
2018.0,spring,ECS,8,2018-03-13,178,KE,F-F
2018.0,spring,ECS,8,2018-03-14,AG,KE,1-1
2018.0,spring,ECS,8,2018-03-14,JII,KSF,1-1
2018.0,spring,ECS,8,2018-03-15,AFB,AF,1-1
2018.0,spring,ECS,8,2018-03-15,17A,178,W-F
2018.0,spring,ECS,9,2018-03-20,KE,JII,0-2
2018.0,spring,ECS,9,2018-03-20,KSF,AG,1-1
2018.0,spring,ECS,9,2018-03-21,AF,17A,0-2
2018.0,spring,ECS,9,2018-03-21,178,AFB,F-F
2018.0,spring,ECS,9,2018-03-22,AG,178,W-F
2018.0,spring,ECS,9,2018-03-22,JII,AF,2-0
2018.0,spring,ECS,10,2018-03-27,AFB,KSF,1-1
2018.0,spring,ECS,10,2018-03-27,17A,KE,2-0
2018.0,spring,ECS,10,2018-03-28,178,JII,F-F
2018.0,spring,ECS,10,2018-03-28,AF,AG,0-2
2018.0,spring,ECS,10,2018-03-29,KSF,17A,0-2
2018.0,spring,ECS,10,2018-03-29,KE,AFB,1-1
2018.0,spring,ECS,Tiebreakers,2018-03-30,KSF,KE,0-1
