year,season,league_name,week,date,team_1,team_2,result
2019.0,summer,ECS,1,2019-06-03,MCX,KE,2-0
2019.0,summer,ECS,1,2019-06-03,JII,FH,1-1
2019.0,summer,ECS,1,2019-06-04,SGH,FS,0-2
2019.0,summer,ECS,1,2019-06-04,AF,GRI,1-1
2019.0,summer,ECS,2,2019-06-10,GRI,FH,1-1
2019.0,summer,ECS,2,2019-06-10,AF,SGH,2-0
2019.0,summer,ECS,2,2019-06-11,MCX,JII,0-2
2019.0,summer,ECS,2,2019-06-11,FS,KE,2-0
2019.0,summer,ECS,3,2019-06-17,JII,KE,2-0
2019.0,summer,ECS,3,2019-06-17,MCX,FS,0-2
2019.0,summer,ECS,3,2019-06-18,FH,AF,0-2
2019.0,summer,ECS,3,2019-06-18,SGH,GRI,0-2
2019.0,summer,ECS,4,2019-06-24,AF,MCX,0-2
2019.0,summer,ECS,4,2019-06-24,FS,FH,2-0
2019.0,summer,ECS,4,2019-06-25,GRI,KE,1-1
2019.0,summer,ECS,4,2019-06-25,SGH,JII,0-2
2019.0,summer,ECS,5,2019-07-01,FH,SGH,2-0
2019.0,summer,ECS,5,2019-07-01,KE,AF,0-2
2019.0,summer,ECS,5,2019-07-02,MCX,GRI,1-1
2019.0,summer,ECS,5,2019-07-02,JII,FS,2-0
2019.0,summer,ECS,6,2019-07-08,SGH,MCX,0-2
2019.0,summer,ECS,6,2019-07-09,AF,JII,2-0
2019.0,summer,ECS,6,2019-07-09,KE,FH,0-2
2019.0,summer,ECS,6,2019-07-16,GRI,FS,1-1
2019.0,summer,ECS,7,2019-07-15,FS,AF,0-2
2019.0,summer,ECS,7,2019-07-15,FH,MCX,1-1
2019.0,summer,ECS,7,2019-07-16,KE,SGH,2-0
2019.0,summer,ECS,7,2019-07-16,JII,GRI,1-1
