year,season,league_name,week,date,team_1,team_2,result
2017.0,summer,EM,1,2017-06-18,RB,S04,1-1
2017.0,summer,EM,1,2017-06-19,PSG,OG,0-2
2017.0,summer,EM,1,2017-06-19,GIA,WAR,2-0
2017.0,summer,EM,2,2017-06-25,PSG,GIA,0-2
2017.0,summer,EM,2,2017-06-26,WAR,RB,1-1
2017.0,summer,EM,2,2017-06-26,OG,S04,0-2
2017.0,summer,EM,3,2017-07-02,WAR,S04,1-1
2017.0,summer,EM,3,2017-07-03,PSG,RB,0-2
2017.0,summer,EM,3,2017-07-03,GIA,OG,2-0
2017.0,summer,EM,4,2017-07-09,RB,GIA,0-2
2017.0,summer,EM,4,2017-07-10,WAR,OG,2-0
2017.0,summer,EM,4,2017-07-10,PSG,S04,0-2
2017.0,summer,EM,5,2017-07-16,WAR,PSG,0-2
2017.0,summer,EM,5,2017-07-17,S04,GIA,2-0
2017.0,summer,EM,5,2017-07-17,OG,RB,0-2
