year,season,league_name,week,date,team_1,team_2,result
2018.0,spring,EM,1,2018-04-10,ESB,LDLC,0-1
2018.0,spring,EM,1,2018-04-10,4G,MRS,0-1
2018.0,spring,EM,1,2018-04-10,CBB,Klik,0-1
2018.0,spring,EM,1,2018-04-10,ACT,K1CK,0-1
2018.0,spring,EM,1,2018-04-10,SP5,ESB,0-1
2018.0,spring,EM,1,2018-04-10,PPK,4G,1-0
2018.0,spring,EM,2,2018-04-11,Klik,BIG,1-0
2018.0,spring,EM,2,2018-04-11,K1CK,ENC,1-0
2018.0,spring,EM,2,2018-04-11,LDLC,SP5,1-0
2018.0,spring,EM,2,2018-04-11,MRS,PPK,W-F
2018.0,spring,EM,2,2018-04-11,BIG,CBB,1-0
2018.0,spring,EM,2,2018-04-11,ENC,ACT,1-0
2018.0,spring,EM,Round,2018-04-12,LDLC,ENC,1-0
2018.0,spring,EM,Round,2018-04-12,MRS,BIG,1-0
2018.0,spring,EM,Round,2018-04-12,Klik,PPK,1-0
2018.0,spring,EM,Round,2018-04-12,K1CK,ESB,1-0
2018.0,spring,EM,Qualifiers,2018-04-13,LDLC,MRS,0-2
2018.0,spring,EM,Qualifiers,2018-04-13,Klik,K1CK,2-0
