year,season,league_name,week,date,team_1,team_2,result
2018.0,summer,EM,1,2018-09-11,VGIA,SM,0-1
2018.0,summer,EM,1,2018-09-11,MOUZ,NiP,0-1
2018.0,summer,EM,1,2018-09-11,CZV,Gent,0-1
2018.0,summer,EM,1,2018-09-11,ENC,VGIA,1-0
2018.0,summer,EM,1,2018-09-11,SM,MOUZ,0-1
2018.0,summer,EM,1,2018-09-11,CZV,NiP,0-1
2018.0,summer,EM,2,2018-09-12,Gent,ENC,1-0
2018.0,summer,EM,2,2018-09-12,VGIA,MOUZ,1-0
2018.0,summer,EM,2,2018-09-12,SM,CZV,1-0
2018.0,summer,EM,2,2018-09-12,NiP,ENC,1-0
2018.0,summer,EM,2,2018-09-12,VGIA,CZV,1-0
2018.0,summer,EM,2,2018-09-12,MOUZ,Gent,1-0
2018.0,summer,EM,3,2018-09-13,SM,ENC,1-0
2018.0,summer,EM,3,2018-09-13,Gent,NiP,1-0
2018.0,summer,EM,3,2018-09-13,MOUZ,CZV,0-1
2018.0,summer,EM,3,2018-09-13,VGIA,NiP,1-0
2018.0,summer,EM,3,2018-09-13,SM,Gent,1-0
2018.0,summer,EM,3,2018-09-13,CZV,ENC,0-1
2018.0,summer,EM,4,2018-09-14,NiP,SM,0-1
2018.0,summer,EM,4,2018-09-14,ENC,MOUZ,0-1
2018.0,summer,EM,4,2018-09-14,VGIA,Gent,0-1
2018.0,summer,EM,Stage,2018-09-14,Gent,MOUZ,1-0
2018.0,summer,EM,Stage,2018-09-14,VGIA,NiP,0-1
