year,season,league_name,week,date,team_1,team_2,result
2018.0,summer,LCK,1,2018-06-12,bbq,MVP,0-2
2018.0,summer,LCK,1,2018-06-12,GRF,HLE,2-1
2018.0,summer,LCK,1,2018-06-13,KZ,GEN,1-2
2018.0,summer,LCK,1,2018-06-13,AF,SKT,2-0
2018.0,summer,LCK,1,2018-06-13,KT,JAG,2-0
2018.0,summer,LCK,1,2018-06-14,HLE,bbq,2-0
2018.0,summer,LCK,1,2018-06-14,MVP,GRF,0-2
2018.0,summer,LCK,1,2018-06-15,JAG,KZ,1-2
2018.0,summer,LCK,1,2018-06-15,GEN,SKT,2-0
2018.0,summer,LCK,1,2018-06-16,AF,KT,2-1
2018.0,summer,LCK,1,2018-06-16,bbq,GRF,1-2
2018.0,summer,LCK,1,2018-06-17,MVP,GEN,0-2
2018.0,summer,LCK,1,2018-06-17,JAG,HLE,0-2
2018.0,summer,LCK,2,2018-06-19,KT,KZ,0-2
2018.0,summer,LCK,2,2018-06-19,AF,bbq,2-0
2018.0,summer,LCK,2,2018-06-20,GRF,JAG,2-0
2018.0,summer,LCK,2,2018-06-20,SKT,MVP,1-2
2018.0,summer,LCK,2,2018-06-20,GEN,HLE,2-1
2018.0,summer,LCK,2,2018-06-21,KZ,AF,2-1
2018.0,summer,LCK,2,2018-06-21,bbq,KT,0-2
2018.0,summer,LCK,2,2018-06-22,GRF,SKT,2-0
2018.0,summer,LCK,2,2018-06-22,MVP,JAG,2-0
2018.0,summer,LCK,2,2018-06-23,KT,GEN,2-0
2018.0,summer,LCK,2,2018-06-23,HLE,AF,2-1
2018.0,summer,LCK,2,2018-06-24,SKT,JAG,2-0
2018.0,summer,LCK,2,2018-06-24,bbq,KZ,0-2
2018.0,summer,LCK,3,2018-06-26,SKT,KT,2-1
2018.0,summer,LCK,3,2018-06-26,KZ,GRF,0-2
2018.0,summer,LCK,3,2018-06-27,MVP,HLE,0-2
2018.0,summer,LCK,3,2018-06-27,GEN,bbq,2-1
2018.0,summer,LCK,3,2018-06-27,JAG,AF,1-2
2018.0,summer,LCK,3,2018-06-28,KT,GRF,2-0
2018.0,summer,LCK,3,2018-06-28,KZ,SKT,2-0
2018.0,summer,LCK,3,2018-06-29,AF,MVP,2-0
2018.0,summer,LCK,3,2018-06-29,JAG,GEN,0-2
2018.0,summer,LCK,3,2018-06-30,HLE,KZ,1-2
2018.0,summer,LCK,3,2018-06-30,bbq,SKT,0-2
2018.0,summer,LCK,3,2018-07-01,GEN,AF,0-2
2018.0,summer,LCK,3,2018-07-01,KT,MVP,2-0
2018.0,summer,LCK,4,2018-07-11,GRF,AF,2-0
2018.0,summer,LCK,4,2018-07-11,KT,HLE,0-2
2018.0,summer,LCK,4,2018-07-12,bbq,JAG,0-2
2018.0,summer,LCK,4,2018-07-12,MVP,KZ,0-2
2018.0,summer,LCK,4,2018-07-13,GRF,GEN,2-1
2018.0,summer,LCK,4,2018-07-13,HLE,SKT,2-1
2018.0,summer,LCK,4,2018-07-14,KZ,JAG,1-2
2018.0,summer,LCK,4,2018-07-14,MVP,bbq,2-1
2018.0,summer,LCK,4,2018-07-15,KT,AF,2-1
2018.0,summer,LCK,4,2018-07-15,HLE,GEN,1-2
2018.0,summer,LCK,5,2018-07-17,AF,GRF,2-0
2018.0,summer,LCK,5,2018-07-17,MVP,SKT,1-2
2018.0,summer,LCK,5,2018-07-18,GEN,KZ,2-0
2018.0,summer,LCK,5,2018-07-18,JAG,bbq,1-2
2018.0,summer,LCK,5,2018-07-19,HLE,GRF,0-2
2018.0,summer,LCK,5,2018-07-19,KT,SKT,2-1
2018.0,summer,LCK,5,2018-07-20,JAG,MVP,2-1
2018.0,summer,LCK,5,2018-07-20,bbq,AF,2-1
2018.0,summer,LCK,5,2018-07-21,GRF,KT,1-2
2018.0,summer,LCK,5,2018-07-21,SKT,HLE,2-0
2018.0,summer,LCK,5,2018-07-22,KZ,MVP,2-0
2018.0,summer,LCK,5,2018-07-22,AF,GEN,1-2
2018.0,summer,LCK,6,2018-07-24,GRF,KZ,2-0
2018.0,summer,LCK,6,2018-07-24,GEN,KT,0-2
2018.0,summer,LCK,6,2018-07-25,SKT,bbq,2-1
2018.0,summer,LCK,6,2018-07-25,HLE,JAG,2-1
2018.0,summer,LCK,6,2018-07-25,MVP,AF,1-2
2018.0,summer,LCK,6,2018-07-26,KZ,KT,2-1
2018.0,summer,LCK,6,2018-07-26,GEN,GRF,2-0
2018.0,summer,LCK,6,2018-07-27,bbq,HLE,1-2
2018.0,summer,LCK,6,2018-07-27,JAG,SKT,0-2
2018.0,summer,LCK,6,2018-07-28,AF,KZ,0-2
2018.0,summer,LCK,6,2018-07-28,GRF,MVP,2-0
2018.0,summer,LCK,6,2018-07-29,SKT,GEN,2-1
2018.0,summer,LCK,6,2018-07-29,KT,bbq,2-0
2018.0,summer,LCK,7,2018-07-31,JAG,GRF,2-1
2018.0,summer,LCK,7,2018-07-31,KZ,HLE,2-1
2018.0,summer,LCK,7,2018-08-01,bbq,GEN,0-2
2018.0,summer,LCK,7,2018-08-01,SKT,AF,1-2
2018.0,summer,LCK,7,2018-08-02,HLE,MVP,2-0
2018.0,summer,LCK,7,2018-08-02,JAG,KT,1-2
2018.0,summer,LCK,7,2018-08-04,SKT,GRF,0-2
2018.0,summer,LCK,7,2018-08-04,GEN,JAG,2-1
2018.0,summer,LCK,7,2018-08-05,AF,HLE,1-2
2018.0,summer,LCK,7,2018-08-05,KZ,bbq,2-0
2018.0,summer,LCK,8,2018-08-07,GEN,MVP,2-0
2018.0,summer,LCK,8,2018-08-07,HLE,KT,0-2
2018.0,summer,LCK,8,2018-08-08,AF,JAG,2-0
2018.0,summer,LCK,8,2018-08-08,GRF,bbq,2-0
2018.0,summer,LCK,8,2018-08-09,SKT,KZ,0-2
2018.0,summer,LCK,8,2018-08-09,MVP,KT,0-2
