year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LCK,1,2020-02-05,T1,DWG,2-1
2020.0,spring,LCK,1,2020-02-05,KT,GEN,1-2
2020.0,spring,LCK,1,2020-02-06,SB,APK,2-0
2020.0,spring,LCK,1,2020-02-06,GRF,AF,0-2
2020.0,spring,LCK,1,2020-02-07,HLE,T1,2-1
2020.0,spring,LCK,1,2020-02-07,DRX,KT,2-1
2020.0,spring,LCK,1,2020-02-08,APK,DWG,0-2
2020.0,spring,LCK,1,2020-02-08,GEN,GRF,2-0
2020.0,spring,LCK,1,2020-02-09,SB,DRX,1-2
2020.0,spring,LCK,1,2020-02-09,AF,HLE,2-1
2020.0,spring,LCK,2,2020-02-12,APK,AF,1-2
2020.0,spring,LCK,2,2020-02-12,GRF,SB,2-1
2020.0,spring,LCK,2,2020-02-13,KT,T1,0-2
2020.0,spring,LCK,2,2020-02-13,DRX,HLE,2-0
2020.0,spring,LCK,2,2020-02-14,DWG,GEN,0-2
2020.0,spring,LCK,2,2020-02-14,GRF,APK,2-1
2020.0,spring,LCK,2,2020-02-15,AF,DRX,1-2
2020.0,spring,LCK,2,2020-02-15,HLE,SB,2-0
2020.0,spring,LCK,2,2020-02-16,DWG,KT,2-0
2020.0,spring,LCK,2,2020-02-16,T1,GEN,2-1
2020.0,spring,LCK,3,2020-02-19,GEN,HLE,2-0
2020.0,spring,LCK,3,2020-02-19,DRX,T1,1-2
2020.0,spring,LCK,3,2020-02-20,GRF,DWG,1-2
2020.0,spring,LCK,3,2020-02-20,KT,APK,0-2
2020.0,spring,LCK,3,2020-02-21,SB,AF,1-2
2020.0,spring,LCK,3,2020-02-21,DRX,GEN,1-2
2020.0,spring,LCK,3,2020-02-22,HLE,GRF,2-1
2020.0,spring,LCK,3,2020-02-22,APK,T1,0-2
2020.0,spring,LCK,3,2020-02-23,AF,KT,1-2
2020.0,spring,LCK,3,2020-02-23,SB,DWG,2-0
2020.0,spring,LCK,4,2020-02-26,KT,SB,2-1
2020.0,spring,LCK,4,2020-02-26,T1,GRF,2-0
2020.0,spring,LCK,4,2020-02-27,GEN,AF,2-1
2020.0,spring,LCK,4,2020-02-27,HLE,DWG,1-2
2020.0,spring,LCK,4,2020-02-28,APK,DRX,0-2
2020.0,spring,LCK,4,2020-02-28,T1,SB,2-0
2020.0,spring,LCK,4,2020-02-29,KT,HLE,2-0
2020.0,spring,LCK,4,2020-02-29,DWG,AF,1-2
2020.0,spring,LCK,4,2020-03-01,GEN,APK,2-0
2020.0,spring,LCK,4,2020-03-01,DRX,GRF,2-0
2020.0,spring,LCK,5,2020-03-04,DWG,DRX,0-2
2020.0,spring,LCK,5,2020-03-04,HLE,APK,0-2
2020.0,spring,LCK,5,2020-03-05,SB,GEN,0-2
2020.0,spring,LCK,5,2020-03-05,AF,T1,2-1
2020.0,spring,LCK,5,2020-03-06,GRF,KT,1-2
2020.0,spring,LCK,6,2020-03-25,GEN,GRF,2-0
2020.0,spring,LCK,6,2020-03-25,DWG,KT,1-2
2020.0,spring,LCK,6,2020-03-25,HLE,DRX,2-1
2020.0,spring,LCK,6,2020-03-26,AF,SB,0-2
2020.0,spring,LCK,6,2020-03-26,T1,APK,2-0
2020.0,spring,LCK,6,2020-03-26,GEN,DWG,2-0
2020.0,spring,LCK,6,2020-03-27,HLE,KT,0-2
2020.0,spring,LCK,6,2020-03-27,SB,GRF,2-1
2020.0,spring,LCK,6,2020-03-27,DRX,T1,0-2
2020.0,spring,LCK,6,2020-03-28,DWG,APK,2-0
2020.0,spring,LCK,6,2020-03-28,AF,GEN,0-2
2020.0,spring,LCK,6,2020-03-28,GRF,DRX,0-2
2020.0,spring,LCK,6,2020-03-29,T1,HLE,2-1
2020.0,spring,LCK,6,2020-03-29,APK,SB,2-0
2020.0,spring,LCK,6,2020-03-29,KT,AF,2-1
2020.0,spring,LCK,7,2020-04-01,SB,DRX,1-2
2020.0,spring,LCK,7,2020-04-01,KT,GRF,2-1
2020.0,spring,LCK,7,2020-04-01,GEN,T1,1-2
2020.0,spring,LCK,7,2020-04-02,APK,AF,2-0
2020.0,spring,LCK,7,2020-04-02,HLE,DWG,0-2
2020.0,spring,LCK,7,2020-04-02,KT,DRX,0-2
2020.0,spring,LCK,7,2020-04-03,GEN,SB,2-0
2020.0,spring,LCK,7,2020-04-03,T1,GRF,2-1
2020.0,spring,LCK,7,2020-04-03,AF,DWG,0-2
2020.0,spring,LCK,7,2020-04-04,KT,APK,1-2
2020.0,spring,LCK,7,2020-04-04,SB,HLE,2-1
2020.0,spring,LCK,7,2020-04-04,DRX,GEN,2-0
2020.0,spring,LCK,7,2020-04-05,T1,DWG,0-2
2020.0,spring,LCK,7,2020-04-05,GRF,APK,2-1
2020.0,spring,LCK,7,2020-04-05,AF,HLE,0-2
2020.0,spring,LCK,8,2020-04-08,DWG,GRF,0-2
2020.0,spring,LCK,8,2020-04-08,APK,GEN,1-2
2020.0,spring,LCK,8,2020-04-09,T1,SB,2-0
2020.0,spring,LCK,8,2020-04-09,GRF,AF,0-2
2020.0,spring,LCK,8,2020-04-10,DRX,DWG,2-1
2020.0,spring,LCK,8,2020-04-10,KT,T1,2-0
2020.0,spring,LCK,8,2020-04-11,HLE,APK,1-2
2020.0,spring,LCK,8,2020-04-11,SB,KT,0-2
2020.0,spring,LCK,8,2020-04-12,DRX,AF,2-1
2020.0,spring,LCK,8,2020-04-12,HLE,GEN,2-1
2020.0,spring,LCK,9,2020-04-15,GEN,KT,2-1
2020.0,spring,LCK,9,2020-04-15,AF,T1,0-2
2020.0,spring,LCK,9,2020-04-15,DWG,SB,2-1
2020.0,spring,LCK,9,2020-04-16,GRF,HLE,2-0
2020.0,spring,LCK,9,2020-04-16,APK,DRX,1-2
