year,season,league_name,week,date,team_1,team_2,result
2017.0,spring,LCL,1,2017-01-28,GMB,NV.CIS,0-1
2017.0,spring,LCL,1,2017-01-29,VEG,RoX,1-0
2017.0,spring,LCL,1,2017-01-29,M19,Just A,1-0
2017.0,spring,LCL,1,2017-01-29,VS,VP,F-F
2017.0,spring,LCL,1,2017-01-29,VP,VEG,0-1
2017.0,spring,LCL,1,2017-01-30,GMB,M19,1-0
2017.0,spring,LCL,1,2017-01-30,NV.CIS,VS,0-1
2017.0,spring,LCL,1,2017-01-30,RoX,Just A,0-1
2017.0,spring,LCL,2,2017-02-04,VS,M19,0-1
2017.0,spring,LCL,2,2017-02-05,VP,RoX,1-0
2017.0,spring,LCL,2,2017-02-05,Just A,NV.CIS,1-0
2017.0,spring,LCL,2,2017-02-05,VEG,GMB,1-0
2017.0,spring,LCL,2,2017-02-05,GMB,VS,0-1
2017.0,spring,LCL,2,2017-02-06,RoX,M19,1-0
2017.0,spring,LCL,2,2017-02-06,VEG,NV.CIS,0-1
2017.0,spring,LCL,2,2017-02-06,Just A,VP,0-1
2017.0,spring,LCL,3,2017-02-11,VP,NV.CIS,1-0
2017.0,spring,LCL,3,2017-02-12,RoX,GMB,0-1
2017.0,spring,LCL,3,2017-02-12,VEG,M19,1-0
2017.0,spring,LCL,3,2017-02-12,VS,Just A,1-0
2017.0,spring,LCL,3,2017-02-12,Just A,GMB,1-0
2017.0,spring,LCL,3,2017-02-13,M19,VP,1-0
2017.0,spring,LCL,3,2017-02-13,NV.CIS,RoX,1-0
2017.0,spring,LCL,3,2017-02-13,VS,VEG,1-0
2017.0,spring,LCL,4,2017-02-18,RoX,VS,0-1
2017.0,spring,LCL,4,2017-02-19,Just A,VEG,0-1
2017.0,spring,LCL,4,2017-02-19,GMB,VP,0-1
2017.0,spring,LCL,4,2017-02-19,M19,NV.CIS,1-0
2017.0,spring,LCL,4,2017-02-19,NV.CIS,VP,0-1
2017.0,spring,LCL,4,2017-02-20,Just A,M19,1-0
2017.0,spring,LCL,4,2017-02-20,VS,GMB,1-0
2017.0,spring,LCL,4,2017-02-20,RoX,VEG,0-1
2017.0,spring,LCL,5,2017-03-04,VP,Just A,1-0
2017.0,spring,LCL,5,2017-03-05,GMB,VEG,1-0
2017.0,spring,LCL,5,2017-03-05,VS,RoX,1-0
2017.0,spring,LCL,5,2017-03-05,NV.CIS,M19,0-1
2017.0,spring,LCL,5,2017-03-05,RoX,NV.CIS,1-0
2017.0,spring,LCL,5,2017-03-06,M19,VEG,1-0
2017.0,spring,LCL,5,2017-03-06,VP,VS,0-1
2017.0,spring,LCL,5,2017-03-06,GMB,Just A,1-0
2017.0,spring,LCL,6,2017-03-11,VEG,VS,1-0
2017.0,spring,LCL,6,2017-03-12,VP,GMB,1-0
2017.0,spring,LCL,6,2017-03-12,M19,RoX,1-0
2017.0,spring,LCL,6,2017-03-12,NV.CIS,Just A,0-1
2017.0,spring,LCL,6,2017-03-12,GMB,RoX,1-0
2017.0,spring,LCL,6,2017-03-13,VP,M19,0-1
2017.0,spring,LCL,6,2017-03-13,Just A,VS,1-0
2017.0,spring,LCL,6,2017-03-13,NV.CIS,VEG,0-1
2017.0,spring,LCL,7,2017-03-18,RoX,VP,0-1
2017.0,spring,LCL,7,2017-03-19,M19,GMB,1-0
2017.0,spring,LCL,7,2017-03-19,VEG,Just A,1-0
2017.0,spring,LCL,7,2017-03-19,VS,NV.CIS,1-0
2017.0,spring,LCL,7,2017-03-19,Just A,RoX,1-0
2017.0,spring,LCL,7,2017-03-20,VEG,VP,1-0
2017.0,spring,LCL,7,2017-03-20,M19,VS,1-0
2017.0,spring,LCL,7,2017-03-20,NV.CIS,GMB,0-1
2017.0,spring,LCL,Tiebreakers,2017-03-20,M19,VEG,0-1
