year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,LCL,1,2020-06-20,RoX,UOL,0-1
2020.0,summer,LCL,1,2020-06-20,VEG,OBG,0-1
2020.0,summer,LCL,1,2020-06-21,GMB,CC,1-0
2020.0,summer,LCL,1,2020-06-21,EPG,DA,0-1
2020.0,summer,LCL,1,2020-06-21,CC,UOL,0-1
2020.0,summer,LCL,1,2020-06-21,VEG,EPG,0-1
2020.0,summer,LCL,1,2020-06-22,OBG,DA,1-0
2020.0,summer,LCL,1,2020-06-22,GMB,RoX,1-0
2020.0,summer,LCL,2,2020-06-27,GMB,EPG,1-0
2020.0,summer,LCL,2,2020-06-27,CC,VEG,1-0
2020.0,summer,LCL,2,2020-06-28,DA,UOL,0-1
2020.0,summer,LCL,2,2020-06-28,OBG,RoX,1-0
2020.0,summer,LCL,2,2020-06-28,CC,EPG,1-0
2020.0,summer,LCL,2,2020-06-28,GMB,VEG,1-0
2020.0,summer,LCL,2,2020-06-29,UOL,OBG,1-0
2020.0,summer,LCL,2,2020-06-29,DA,RoX,1-0
2020.0,summer,LCL,3,2020-07-04,CC,DA,1-0
2020.0,summer,LCL,3,2020-07-04,EPG,OBG,0-1
2020.0,summer,LCL,3,2020-07-05,UOL,GMB,1-0
2020.0,summer,LCL,3,2020-07-05,RoX,VEG,1-0
2020.0,summer,LCL,3,2020-07-05,OBG,GMB,0-1
2020.0,summer,LCL,3,2020-07-05,RoX,CC,0-1
2020.0,summer,LCL,3,2020-07-06,UOL,EPG,1-0
2020.0,summer,LCL,3,2020-07-06,VEG,DA,0-1
2020.0,summer,LCL,4,2020-07-11,DA,GMB,0-1
2020.0,summer,LCL,4,2020-07-11,OBG,CC,0-1
2020.0,summer,LCL,4,2020-07-12,EPG,RoX,0-1
2020.0,summer,LCL,4,2020-07-12,UOL,VEG,1-0
2020.0,summer,LCL,4,2020-07-12,CC,GMB,0-1
2020.0,summer,LCL,4,2020-07-12,DA,EPG,1-0
2020.0,summer,LCL,4,2020-07-13,UOL,RoX,1-0
2020.0,summer,LCL,4,2020-07-13,OBG,VEG,1-0
2020.0,summer,LCL,5,2020-07-25,UOL,CC,1-0
2020.0,summer,LCL,5,2020-07-25,DA,OBG,0-1
2020.0,summer,LCL,5,2020-07-26,EPG,VEG,0-1
2020.0,summer,LCL,5,2020-07-26,RoX,GMB,0-1
2020.0,summer,LCL,5,2020-07-26,VEG,CC,0-1
2020.0,summer,LCL,5,2020-07-26,EPG,GMB,0-1
2020.0,summer,LCL,5,2020-07-27,RoX,OBG,0-1
2020.0,summer,LCL,5,2020-07-27,UOL,DA,1-0
2020.0,summer,LCL,6,2020-08-01,OBG,UOL,0-1
2020.0,summer,LCL,6,2020-08-01,EPG,CC,0-1
2020.0,summer,LCL,6,2020-08-02,VEG,GMB,0-1
2020.0,summer,LCL,6,2020-08-02,RoX,DA,0-1
2020.0,summer,LCL,6,2020-08-02,VEG,RoX,0-1
2020.0,summer,LCL,6,2020-08-02,OBG,EPG,1-0
2020.0,summer,LCL,6,2020-08-03,DA,CC,0-1
2020.0,summer,LCL,6,2020-08-03,GMB,UOL,0-1
2020.0,summer,LCL,7,2020-08-08,CC,RoX,1-0
2020.0,summer,LCL,7,2020-08-08,GMB,OBG,1-0
2020.0,summer,LCL,7,2020-08-09,DA,VEG,F-F
2020.0,summer,LCL,7,2020-08-09,EPG,UOL,0-1
2020.0,summer,LCL,7,2020-08-09,CC,OBG,0-1
2020.0,summer,LCL,7,2020-08-09,VEG,UOL,0-1
2020.0,summer,LCL,7,2020-08-10,GMB,DA,1-0
2020.0,summer,LCL,7,2020-08-10,RoX,EPG,0-1
2020.0,summer,LCL,Tiebreakers,2020-08-10,VEG,EPG,0-1
