year,season,league_name,week,date,team_1,team_2,result
2018.0,spring,LCS,1,2018-01-21,TL,TSM,1-0
2018.0,spring,LCS,1,2018-01-21,100,OPT,1-0
2018.0,spring,LCS,1,2018-01-21,CG,GG,1-0
2018.0,spring,LCS,1,2018-01-21,FOX,FLY,1-0
2018.0,spring,LCS,1,2018-01-21,CLG,C9,0-1
2018.0,spring,LCS,1,2018-01-22,OPT,TL,0-1
2018.0,spring,LCS,1,2018-01-22,FLY,TSM,1-0
2018.0,spring,LCS,1,2018-01-22,CLG,100,0-1
2018.0,spring,LCS,1,2018-01-22,GG,C9,0-1
2018.0,spring,LCS,1,2018-01-22,FOX,CG,1-0
2018.0,spring,LCS,2,2018-01-28,CG,CLG,1-0
2018.0,spring,LCS,2,2018-01-28,TSM,OPT,1-0
2018.0,spring,LCS,2,2018-01-28,C9,FOX,0-1
2018.0,spring,LCS,2,2018-01-28,100,TL,1-0
2018.0,spring,LCS,2,2018-01-28,GG,FLY,0-1
2018.0,spring,LCS,2,2018-01-29,FOX,TSM,1-0
2018.0,spring,LCS,2,2018-01-29,C9,100,1-0
2018.0,spring,LCS,2,2018-01-29,OPT,FLY,1-0
2018.0,spring,LCS,2,2018-01-29,GG,CLG,0-1
2018.0,spring,LCS,2,2018-01-29,TL,CG,1-0
2018.0,spring,LCS,3,2018-02-04,CLG,FOX,1-0
2018.0,spring,LCS,3,2018-02-04,C9,OPT,1-0
2018.0,spring,LCS,3,2018-02-04,CG,100,0-1
2018.0,spring,LCS,3,2018-02-04,FLY,TL,0-1
2018.0,spring,LCS,3,2018-02-04,TSM,GG,1-0
2018.0,spring,LCS,3,2018-02-05,FOX,OPT,1-0
2018.0,spring,LCS,3,2018-02-05,TSM,100,1-0
2018.0,spring,LCS,3,2018-02-05,GG,TL,0-1
2018.0,spring,LCS,3,2018-02-05,CG,C9,0-1
2018.0,spring,LCS,3,2018-02-05,CLG,FLY,1-0
2018.0,spring,LCS,4,2018-02-11,TSM,CG,0-1
2018.0,spring,LCS,4,2018-02-11,C9,TL,1-0
2018.0,spring,LCS,4,2018-02-11,OPT,CLG,1-0
2018.0,spring,LCS,4,2018-02-11,100,FLY,0-1
2018.0,spring,LCS,4,2018-02-11,FOX,GG,1-0
2018.0,spring,LCS,4,2018-02-12,FLY,C9,0-1
2018.0,spring,LCS,4,2018-02-12,GG,100,1-0
2018.0,spring,LCS,4,2018-02-12,TSM,CLG,1-0
2018.0,spring,LCS,4,2018-02-12,TL,FOX,0-1
2018.0,spring,LCS,4,2018-02-12,OPT,CG,0-1
2018.0,spring,LCS,5,2018-02-18,CLG,TL,0-1
2018.0,spring,LCS,5,2018-02-18,FOX,100,1-0
2018.0,spring,LCS,5,2018-02-18,C9,TSM,1-0
2018.0,spring,LCS,5,2018-02-18,CG,FLY,1-0
2018.0,spring,LCS,5,2018-02-18,OPT,GG,1-0
2018.0,spring,LCS,5,2018-02-19,CG,TSM,1-0
2018.0,spring,LCS,5,2018-02-19,TL,GG,0-1
2018.0,spring,LCS,5,2018-02-19,FOX,C9,1-0
2018.0,spring,LCS,5,2018-02-19,100,CLG,1-0
2018.0,spring,LCS,5,2018-02-19,FLY,OPT,1-0
2018.0,spring,LCS,6,2018-02-25,100,C9,1-0
2018.0,spring,LCS,6,2018-02-25,CLG,CG,0-1
2018.0,spring,LCS,6,2018-02-25,TSM,FOX,1-0
2018.0,spring,LCS,6,2018-02-25,GG,OPT,0-1
2018.0,spring,LCS,6,2018-02-25,TL,FLY,1-0
2018.0,spring,LCS,6,2018-02-26,OPT,TSM,0-1
2018.0,spring,LCS,6,2018-02-26,FLY,100,0-1
2018.0,spring,LCS,6,2018-02-26,FOX,TL,1-0
2018.0,spring,LCS,6,2018-02-26,CLG,GG,0-1
2018.0,spring,LCS,6,2018-02-26,C9,CG,1-0
2018.0,spring,LCS,7,2018-03-04,TL,100,1-0
2018.0,spring,LCS,7,2018-03-04,TSM,FLY,1-0
2018.0,spring,LCS,7,2018-03-04,CLG,C9,1-0
2018.0,spring,LCS,7,2018-03-04,GG,FOX,1-0
2018.0,spring,LCS,7,2018-03-04,CG,OPT,1-0
2018.0,spring,LCS,7,2018-03-05,CLG,TL,1-0
2018.0,spring,LCS,7,2018-03-05,OPT,FOX,0-1
2018.0,spring,LCS,7,2018-03-05,100,TSM,1-0
2018.0,spring,LCS,7,2018-03-05,C9,GG,1-0
2018.0,spring,LCS,7,2018-03-05,FLY,CG,0-1
2018.0,spring,LCS,8,2018-03-11,CG,FOX,1-0
2018.0,spring,LCS,8,2018-03-11,FLY,CLG,0-1
2018.0,spring,LCS,8,2018-03-11,OPT,C9,0-1
2018.0,spring,LCS,8,2018-03-11,TSM,TL,1-0
2018.0,spring,LCS,8,2018-03-11,100,GG,1-0
2018.0,spring,LCS,8,2018-03-12,FOX,CLG,0-1
2018.0,spring,LCS,8,2018-03-12,FLY,GG,1-0
2018.0,spring,LCS,8,2018-03-12,CG,TL,0-1
2018.0,spring,LCS,8,2018-03-12,C9,TSM,0-1
2018.0,spring,LCS,8,2018-03-12,OPT,100,0-1
2018.0,spring,LCS,9,2018-03-18,100,CG,1-0
2018.0,spring,LCS,9,2018-03-18,FLY,FOX,0-1
2018.0,spring,LCS,9,2018-03-18,TL,C9,1-0
2018.0,spring,LCS,9,2018-03-18,GG,TSM,0-1
2018.0,spring,LCS,9,2018-03-18,CLG,OPT,0-1
2018.0,spring,LCS,9,2018-03-19,C9,FLY,0-1
2018.0,spring,LCS,9,2018-03-19,GG,CG,0-1
2018.0,spring,LCS,9,2018-03-19,CLG,TSM,0-1
2018.0,spring,LCS,9,2018-03-19,100,FOX,1-0
2018.0,spring,LCS,9,2018-03-19,TL,OPT,1-0
2018.0,spring,LCS,Tiebreakers,2018-03-19,100,FOX,1-0
2018.0,spring,LCS,Tiebreakers,2018-03-19,TL,C9,1-0
2018.0,spring,LCS,Tiebreakers,2018-03-19,TSM,CG,1-0
2018.0,spring,LCS,Tiebreakers,2018-03-19,TL,TSM,0-1
2018.0,spring,LCS,Tiebreakers,2018-03-19,C9,CG,1-0
