year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,LCS,1,2020-06-13,100,EG,0-1
2020.0,summer,LCS,1,2020-06-13,FLY,C9,0-1
2020.0,summer,LCS,1,2020-06-14,EG,CLG,1-0
2020.0,summer,LCS,1,2020-06-14,TSM,TL,0-1
2020.0,summer,LCS,1,2020-06-14,IMT,FLY,0-1
2020.0,summer,LCS,1,2020-06-14,GG,DIG,1-0
2020.0,summer,LCS,1,2020-06-15,C9,100,1-0
2020.0,summer,LCS,1,2020-06-15,DIG,TSM,0-1
2020.0,summer,LCS,1,2020-06-15,TL,GG,1-0
2020.0,summer,LCS,1,2020-06-15,CLG,IMT,1-0
2020.0,summer,LCS,2,2020-06-20,GG,CLG,0-1
2020.0,summer,LCS,2,2020-06-20,IMT,TSM,0-1
2020.0,summer,LCS,2,2020-06-21,100,TL,0-1
2020.0,summer,LCS,2,2020-06-21,FLY,TSM,1-0
2020.0,summer,LCS,2,2020-06-21,C9,EG,1-0
2020.0,summer,LCS,2,2020-06-21,CLG,DIG,1-0
2020.0,summer,LCS,2,2020-06-22,TL,EG,0-1
2020.0,summer,LCS,2,2020-06-22,FLY,DIG,1-0
2020.0,summer,LCS,2,2020-06-22,GG,C9,0-1
2020.0,summer,LCS,2,2020-06-22,100,IMT,1-0
2020.0,summer,LCS,3,2020-06-27,FLY,CLG,1-0
2020.0,summer,LCS,3,2020-06-27,TL,C9,0-1
2020.0,summer,LCS,3,2020-06-28,100,CLG,0-1
2020.0,summer,LCS,3,2020-06-28,TSM,EG,1-0
2020.0,summer,LCS,3,2020-06-28,TL,DIG,1-0
2020.0,summer,LCS,3,2020-06-28,GG,IMT,0-1
2020.0,summer,LCS,3,2020-06-29,100,TSM,0-1
2020.0,summer,LCS,3,2020-06-29,IMT,C9,0-1
2020.0,summer,LCS,3,2020-06-29,GG,FLY,1-0
2020.0,summer,LCS,3,2020-06-29,DIG,EG,0-1
2020.0,summer,LCS,4,2020-07-04,100,GG,0-1
2020.0,summer,LCS,4,2020-07-04,CLG,C9,0-1
2020.0,summer,LCS,4,2020-07-05,GG,TSM,0-1
2020.0,summer,LCS,4,2020-07-05,100,DIG,1-0
2020.0,summer,LCS,4,2020-07-05,FLY,EG,1-0
2020.0,summer,LCS,4,2020-07-05,TL,IMT,1-0
2020.0,summer,LCS,4,2020-07-06,DIG,C9,0-1
2020.0,summer,LCS,4,2020-07-06,FLY,TL,0-1
2020.0,summer,LCS,4,2020-07-06,CLG,TSM,0-1
2020.0,summer,LCS,4,2020-07-06,IMT,EG,0-1
2020.0,summer,LCS,5,2020-07-11,DIG,IMT,1-0
2020.0,summer,LCS,5,2020-07-11,100,FLY,1-0
2020.0,summer,LCS,5,2020-07-12,GG,EG,1-0
2020.0,summer,LCS,5,2020-07-12,C9,TSM,1-0
2020.0,summer,LCS,5,2020-07-12,TL,CLG,1-0
2020.0,summer,LCS,5,2020-07-12,FLY,DIG,0-1
2020.0,summer,LCS,5,2020-07-13,IMT,TSM,1-0
2020.0,summer,LCS,5,2020-07-13,100,C9,1-0
2020.0,summer,LCS,5,2020-07-13,GG,TL,0-1
2020.0,summer,LCS,5,2020-07-13,CLG,EG,1-0
2020.0,summer,LCS,6,2020-07-18,100,TSM,0-1
2020.0,summer,LCS,6,2020-07-18,TL,EG,1-0
2020.0,summer,LCS,6,2020-07-19,CLG,DIG,0-1
2020.0,summer,LCS,6,2020-07-19,C9,EG,0-1
2020.0,summer,LCS,6,2020-07-19,FLY,TSM,1-0
2020.0,summer,LCS,6,2020-07-19,GG,IMT,1-0
2020.0,summer,LCS,6,2020-07-20,100,TL,0-1
2020.0,summer,LCS,6,2020-07-20,FLY,C9,0-1
2020.0,summer,LCS,6,2020-07-20,CLG,IMT,0-1
2020.0,summer,LCS,6,2020-07-20,GG,DIG,1-0
2020.0,summer,LCS,7,2020-07-25,IMT,EG,0-1
2020.0,summer,LCS,7,2020-07-25,FLY,TL,1-0
2020.0,summer,LCS,7,2020-07-26,100,CLG,1-0
2020.0,summer,LCS,7,2020-07-26,DIG,TSM,0-1
2020.0,summer,LCS,7,2020-07-26,GG,FLY,0-1
2020.0,summer,LCS,7,2020-07-26,IMT,C9,0-1
2020.0,summer,LCS,7,2020-07-27,DIG,EG,1-0
2020.0,summer,LCS,7,2020-07-27,TL,C9,1-0
2020.0,summer,LCS,7,2020-07-27,CLG,TSM,0-1
2020.0,summer,LCS,7,2020-07-27,100,GG,0-1
2020.0,summer,LCS,8,2020-08-01,TL,DIG,1-0
2020.0,summer,LCS,8,2020-08-01,TSM,EG,1-0
2020.0,summer,LCS,8,2020-08-02,100,FLY,0-1
2020.0,summer,LCS,8,2020-08-02,GG,C9,1-0
2020.0,summer,LCS,8,2020-08-02,TL,CLG,1-0
2020.0,summer,LCS,8,2020-08-02,DIG,IMT,0-1
2020.0,summer,LCS,8,2020-08-03,GG,CLG,1-0
2020.0,summer,LCS,8,2020-08-03,C9,TSM,0-1
2020.0,summer,LCS,8,2020-08-03,FLY,EG,1-0
2020.0,summer,LCS,8,2020-08-03,100,IMT,1-0
2020.0,summer,LCS,9,2020-08-08,DIG,C9,0-1
2020.0,summer,LCS,9,2020-08-08,GG,TSM,0-1
2020.0,summer,LCS,9,2020-08-09,100,DIG,0-1
2020.0,summer,LCS,9,2020-08-09,GG,EG,0-1
2020.0,summer,LCS,9,2020-08-09,TL,IMT,1-0
2020.0,summer,LCS,9,2020-08-09,FLY,CLG,1-0
2020.0,summer,LCS,9,2020-08-10,100,EG,1-0
2020.0,summer,LCS,9,2020-08-10,CLG,C9,0-1
2020.0,summer,LCS,9,2020-08-10,TL,TSM,1-0
2020.0,summer,LCS,9,2020-08-10,FLY,IMT,1-0
2020.0,summer,LCS,Tiebreakers,2020-08-10,CLG,DIG,0-1
