year,season,league_name,week,date,team_1,team_2,result
2017.0,summer,LCS_a,1,2017-06-08,GCU,TS,0-2
2017.0,summer,LCS_a,1,2017-06-08,BGJ,CLG.A,2-0
2017.0,summer,LCS_a,1,2017-06-08,EUN,DFX,2-0
2017.0,summer,LCS_a,1,2017-06-09,BGJ,TS,0-2
2017.0,summer,LCS_a,1,2017-06-09,DFX,CLG.A,0-2
2017.0,summer,LCS_a,1,2017-06-09,EUN,GCU,2-1
2017.0,summer,LCS_a,2,2017-06-15,GCU,BGJ,2-0
2017.0,summer,LCS_a,2,2017-06-15,TS,DFX,2-0
2017.0,summer,LCS_a,2,2017-06-15,CLG.A,EUN,0-2
2017.0,summer,LCS_a,2,2017-06-16,CLG.A,GCU,1-2
2017.0,summer,LCS_a,2,2017-06-16,EUN,TS,2-1
2017.0,summer,LCS_a,2,2017-06-16,DFX,BGJ,0-2
2017.0,summer,LCS_a,3,2017-06-22,BGJ,DFX,2-0
2017.0,summer,LCS_a,3,2017-06-22,TS,EUN,1-2
2017.0,summer,LCS_a,3,2017-06-22,GCU,CLG.A,2-0
2017.0,summer,LCS_a,3,2017-06-23,DFX,EUN,1-2
2017.0,summer,LCS_a,3,2017-06-23,BGJ,GCU,1-2
2017.0,summer,LCS_a,3,2017-06-23,CLG.A,TS,1-2
2017.0,summer,LCS_a,4,2017-06-29,GCU,DFX,2-0
2017.0,summer,LCS_a,4,2017-06-29,TS,BGJ,2-0
2017.0,summer,LCS_a,4,2017-06-29,EUN,CLG.A,2-0
2017.0,summer,LCS_a,4,2017-06-30,BGJ,EUN,0-2
2017.0,summer,LCS_a,4,2017-06-30,CLG.A,DFX,2-0
2017.0,summer,LCS_a,4,2017-06-30,TS,GCU,1-2
2017.0,summer,LCS_a,5,2017-07-13,GCU,EUN,2-0
2017.0,summer,LCS_a,5,2017-07-13,DFX,TS,1-2
2017.0,summer,LCS_a,5,2017-07-13,CLG.A,BGJ,0-2
2017.0,summer,LCS_a,5,2017-07-14,TS,CLG.A,2-0
2017.0,summer,LCS_a,5,2017-07-14,DFX,GCU,1-2
2017.0,summer,LCS_a,5,2017-07-14,EUN,BGJ,2-0
