year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LDL,1,2020-04-14,VTG,JDM,1-2
2020.0,spring,LDL,1,2020-04-14,RYL,RWS,2-0
2020.0,spring,LDL,1,2020-04-14,FPB,ESY,2-0
2020.0,spring,LDL,1,2020-04-14,YM,DMOY,1-2
2020.0,spring,LDL,1,2020-04-15,87,WZ,1-2
2020.0,spring,LDL,1,2020-04-15,TSG,IGY,0-2
2020.0,spring,LDL,1,2020-04-15,LGE,LEG,0-2
2020.0,spring,LDL,1,2020-04-15,SNS,AC,0-2
2020.0,spring,LDL,1,2020-04-16,WEA,SDX,2-1
2020.0,spring,LDL,1,2020-04-16,VGP,OMD,2-0
2020.0,spring,LDL,1,2020-04-16,LGDY,LNGA,2-1
2020.0,spring,LDL,1,2020-04-16,EDGY,BLGJ,2-0
2020.0,spring,LDL,2,2020-04-17,AC,RYL,2-1
2020.0,spring,LDL,2,2020-04-17,LEG,FPB,0-2
2020.0,spring,LDL,2,2020-04-17,DMOY,87,2-0
2020.0,spring,LDL,2,2020-04-17,RWS,ESY,2-0
2020.0,spring,LDL,2,2020-04-18,GD,EDGY,2-1
2020.0,spring,LDL,2,2020-04-18,WZ,LGDY,1-2
2020.0,spring,LDL,2,2020-04-18,IGY,VGP,2-0
2020.0,spring,LDL,2,2020-04-18,JDM,WEA,1-2
2020.0,spring,LDL,2,2020-04-19,LNGA,YM,1-2
2020.0,spring,LDL,2,2020-04-19,SDX,VTG,2-1
2020.0,spring,LDL,2,2020-04-19,OMD,TSG,2-0
2020.0,spring,LDL,2,2020-04-19,BLGJ,LGE,2-0
2020.0,spring,LDL,3,2020-04-21,ESY,VTG,1-2
2020.0,spring,LDL,3,2020-04-21,GD,DMOY,2-0
2020.0,spring,LDL,3,2020-04-21,RYL,VGP,0-2
2020.0,spring,LDL,3,2020-04-21,FPB,IGY,2-1
2020.0,spring,LDL,3,2020-04-22,BLGJ,LNGA,2-0
2020.0,spring,LDL,3,2020-04-22,WZ,LEG,2-0
2020.0,spring,LDL,3,2020-04-22,SNS,JDM,1-2
2020.0,spring,LDL,3,2020-04-22,TSG,87,0-2
2020.0,spring,LDL,3,2020-04-23,OMD,RWS,2-0
2020.0,spring,LDL,3,2020-04-23,WEA,AC,2-0
2020.0,spring,LDL,3,2020-04-23,YM,SDX,0-2
2020.0,spring,LDL,3,2020-04-23,EDGY,LGDY,0-2
2020.0,spring,LDL,4,2020-04-24,LEG,BLGJ,2-1
2020.0,spring,LDL,4,2020-04-24,87,VTG,2-0
2020.0,spring,LDL,4,2020-04-24,DMOY,IGY,2-1
2020.0,spring,LDL,4,2020-04-24,ESY,LNGA,2-1
2020.0,spring,LDL,4,2020-04-25,LGDY,FPB,2-1
2020.0,spring,LDL,4,2020-04-25,OMD,SDX,1-2
2020.0,spring,LDL,4,2020-04-25,EDGY,RYL,2-0
2020.0,spring,LDL,4,2020-04-25,RWS,LGE,2-0
2020.0,spring,LDL,4,2020-04-26,WEA,GD,2-1
2020.0,spring,LDL,4,2020-04-26,YM,SNS,1-2
2020.0,spring,LDL,4,2020-04-26,AC,WZ,0-2
2020.0,spring,LDL,4,2020-04-26,VGP,JDM,0-2
2020.0,spring,LDL,5,2020-04-28,LGE,YM,0-2
2020.0,spring,LDL,5,2020-04-28,AC,EDGY,1-2
2020.0,spring,LDL,5,2020-04-28,SNS,OMD,2-1
2020.0,spring,LDL,5,2020-04-28,VTG,RYL,0-2
2020.0,spring,LDL,5,2020-04-29,WZ,GD,2-0
2020.0,spring,LDL,5,2020-04-29,IGY,LEG,2-0
2020.0,spring,LDL,5,2020-04-29,JDM,FPB,2-0
2020.0,spring,LDL,5,2020-04-29,SDX,DMOY,1-2
2020.0,spring,LDL,5,2020-04-30,RWS,BLGJ,0-2
2020.0,spring,LDL,5,2020-04-30,ESY,TSG,2-0
2020.0,spring,LDL,5,2020-04-30,LGDY,WEA,0-2
2020.0,spring,LDL,5,2020-04-30,87,VGP,1-2
