year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,LDL,1,2020-06-10,TESC,OSE,2-0
2020.0,summer,LDL,1,2020-06-10,RYL,JNG,2-0
2020.0,summer,LDL,1,2020-06-10,SNS,LGE,2-0
2020.0,summer,LDL,1,2020-06-10,YM,LNGA,2-0
2020.0,summer,LDL,1,2020-06-10,LEG,AC,2-1
2020.0,summer,LDL,1,2020-06-11,LGDY,SDX,2-0
2020.0,summer,LDL,1,2020-06-11,BLGJ,RWS,0-2
2020.0,summer,LDL,1,2020-06-11,WEA,VGP,1-2
2020.0,summer,LDL,1,2020-06-11,EDGY,WZ,2-0
2020.0,summer,LDL,1,2020-06-11,VTG,JDM,0-2
2020.0,summer,LDL,1,2020-06-12,LEG,87,1-2
2020.0,summer,LDL,1,2020-06-12,DMOY,YM,2-0
2020.0,summer,LDL,1,2020-06-12,IGY,JNG,2-0
2020.0,summer,LDL,1,2020-06-12,TESC,LGE,2-1
2020.0,summer,LDL,1,2020-06-12,RYL,FPB,0-2
2020.0,summer,LDL,1,2020-06-13,OMD,VGP,1-2
2020.0,summer,LDL,1,2020-06-13,ESY,SDX,0-2
2020.0,summer,LDL,1,2020-06-13,OSE,EDGY,1-2
2020.0,summer,LDL,1,2020-06-13,WZ,AC,2-1
2020.0,summer,LDL,1,2020-06-13,LNGA,VTG,2-0
2020.0,summer,LDL,1,2020-06-14,FPB,SNS,2-0
2020.0,summer,LDL,1,2020-06-14,DMOY,LGDY,2-0
2020.0,summer,LDL,1,2020-06-14,IGY,WEA,2-0
2020.0,summer,LDL,1,2020-06-14,RWS,87,1-2
2020.0,summer,LDL,1,2020-06-14,BLGJ,JDM,0-2
2020.0,summer,LDL,2,2020-06-15,OSE,JNG,2-1
2020.0,summer,LDL,2,2020-06-15,VGP,LEG,1-2
2020.0,summer,LDL,2,2020-06-15,AC,LNGA,2-1
2020.0,summer,LDL,2,2020-06-15,OMD,VTG,2-0
2020.0,summer,LDL,2,2020-06-15,YM,RYL,2-0
2020.0,summer,LDL,2,2020-06-17,SNS,VTG,2-0
2020.0,summer,LDL,2,2020-06-17,WEA,LNGA,2-0
2020.0,summer,LDL,2,2020-06-17,DMOY,87,2-1
2020.0,summer,LDL,2,2020-06-17,ESY,LGE,2-1
2020.0,summer,LDL,2,2020-06-17,SDX,FPB,0-2
2020.0,summer,LDL,2,2020-06-18,VGP,JNG,2-0
2020.0,summer,LDL,2,2020-06-18,BLGJ,WZ,0-2
2020.0,summer,LDL,2,2020-06-18,JDM,OMD,2-1
2020.0,summer,LDL,2,2020-06-18,OSE,AC,1-2
2020.0,summer,LDL,2,2020-06-18,EDGY,RWS,2-1
2020.0,summer,LDL,2,2020-06-19,IGY,DMOY,2-0
2020.0,summer,LDL,2,2020-06-19,TESC,LNGA,2-0
2020.0,summer,LDL,2,2020-06-19,87,YM,0-2
2020.0,summer,LDL,2,2020-06-19,SNS,RYL,0-2
2020.0,summer,LDL,2,2020-06-19,WEA,LGDY,2-0
2020.0,summer,LDL,2,2020-06-20,OSE,WZ,1-2
2020.0,summer,LDL,2,2020-06-20,VTG,RWS,0-2
2020.0,summer,LDL,2,2020-06-20,LGE,JDM,0-2
2020.0,summer,LDL,2,2020-06-20,BLGJ,EDGY,2-0
2020.0,summer,LDL,2,2020-06-20,FPB,ESY,0-2
2020.0,summer,LDL,2,2020-06-21,LGDY,OMD,2-1
2020.0,summer,LDL,2,2020-06-21,SDX,LEG,0-2
2020.0,summer,LDL,2,2020-06-21,YM,SNS,0-2
2020.0,summer,LDL,2,2020-06-21,VGP,IGY,0-2
2020.0,summer,LDL,2,2020-06-21,TESC,RYL,2-0
2020.0,summer,LDL,3,2020-06-22,VTG,EDGY,1-2
2020.0,summer,LDL,3,2020-06-22,AC,WEA,2-0
2020.0,summer,LDL,3,2020-06-22,JNG,87,2-1
2020.0,summer,LDL,3,2020-06-22,WZ,ESY,0-2
2020.0,summer,LDL,3,2020-06-22,JDM,RWS,2-0
2020.0,summer,LDL,3,2020-06-24,IGY,RWS,2-0
2020.0,summer,LDL,3,2020-06-24,LGE,FPB,0-2
2020.0,summer,LDL,3,2020-06-24,LNGA,OSE,1-2
2020.0,summer,LDL,3,2020-06-24,EDGY,OMD,0-2
2020.0,summer,LDL,3,2020-06-24,JNG,TESC,0-2
2020.0,summer,LDL,3,2020-06-25,AC,SNS,1-2
2020.0,summer,LDL,3,2020-06-25,BLGJ,LEG,1-2
2020.0,summer,LDL,3,2020-06-25,SDX,87,2-1
2020.0,summer,LDL,3,2020-06-25,YM,WEA,0-2
2020.0,summer,LDL,3,2020-06-25,LGDY,VTG,2-1
2020.0,summer,LDL,3,2020-06-26,OMD,ESY,1-2
2020.0,summer,LDL,3,2020-06-26,RWS,TESC,2-1
