year,season,league_name,week,date,team_1,team_2,result
2017.0,summer,LEC,1,2017-06-02,H2K,SPY,2-0
2017.0,summer,LEC,1,2017-06-02,FNC,MSF,2-0
2017.0,summer,LEC,1,2017-06-03,ROC,G2,1-2
2017.0,summer,LEC,1,2017-06-03,VIT,UOL,0-2
2017.0,summer,LEC,1,2017-06-04,H2K,MM,2-0
2017.0,summer,LEC,1,2017-06-04,FNC,NiP,2-0
2017.0,summer,LEC,2,2017-06-09,MSF,NiP,2-0
2017.0,summer,LEC,2,2017-06-09,G2,FNC,1-2
2017.0,summer,LEC,2,2017-06-10,SPY,VIT,2-0
2017.0,summer,LEC,2,2017-06-10,MM,UOL,0-2
2017.0,summer,LEC,2,2017-06-11,MSF,ROC,2-1
2017.0,summer,LEC,2,2017-06-11,NiP,G2,0-2
2017.0,summer,LEC,2,2017-06-12,SPY,MM,2-0
2017.0,summer,LEC,2,2017-06-12,UOL,H2K,2-1
2017.0,summer,LEC,3,2017-06-16,VIT,MM,2-0
2017.0,summer,LEC,3,2017-06-16,ROC,FNC,2-1
2017.0,summer,LEC,3,2017-06-17,MSF,G2,2-1
2017.0,summer,LEC,3,2017-06-17,SPY,UOL,2-1
2017.0,summer,LEC,3,2017-06-18,ROC,NiP,2-0
2017.0,summer,LEC,3,2017-06-18,VIT,H2K,0-2
2017.0,summer,LEC,4,2017-06-23,MSF,VIT,2-1
2017.0,summer,LEC,4,2017-06-23,FNC,H2K,2-0
2017.0,summer,LEC,4,2017-06-24,ROC,SPY,1-2
2017.0,summer,LEC,4,2017-06-24,UOL,G2,2-1
2017.0,summer,LEC,4,2017-06-25,FNC,MM,2-0
2017.0,summer,LEC,4,2017-06-25,H2K,NiP,2-0
2017.0,summer,LEC,5,2017-06-30,NiP,MM,0-2
2017.0,summer,LEC,5,2017-06-30,FNC,SPY,2-0
2017.0,summer,LEC,5,2017-07-01,ROC,VIT,0-2
2017.0,summer,LEC,5,2017-07-01,MSF,H2K,0-2
2017.0,summer,LEC,5,2017-07-02,MM,G2,0-2
2017.0,summer,LEC,5,2017-07-02,NiP,UOL,1-2
2017.0,summer,LEC,6,2017-07-14,NiP,VIT,1-2
2017.0,summer,LEC,6,2017-07-14,ROC,H2K,0-2
2017.0,summer,LEC,6,2017-07-15,SPY,G2,0-2
2017.0,summer,LEC,6,2017-07-15,MSF,UOL,1-2
2017.0,summer,LEC,6,2017-07-16,ROC,MM,1-2
2017.0,summer,LEC,6,2017-07-16,FNC,VIT,2-0
2017.0,summer,LEC,7,2017-07-21,ROC,UOL,2-1
2017.0,summer,LEC,7,2017-07-21,H2K,G2,1-2
2017.0,summer,LEC,7,2017-07-22,MSF,MM,2-0
2017.0,summer,LEC,7,2017-07-22,NiP,SPY,0-2
2017.0,summer,LEC,7,2017-07-23,G2,VIT,2-1
2017.0,summer,LEC,7,2017-07-23,FNC,UOL,2-1
2017.0,summer,LEC,7,2017-07-24,MSF,SPY,1-2
2017.0,summer,LEC,8,2017-07-28,MM,VIT,0-2
2017.0,summer,LEC,8,2017-07-28,G2,NiP,2-0
2017.0,summer,LEC,8,2017-07-29,SPY,H2K,0-2
2017.0,summer,LEC,8,2017-07-29,MSF,FNC,0-2
2017.0,summer,LEC,8,2017-07-30,NiP,ROC,2-0
2017.0,summer,LEC,8,2017-07-30,UOL,MM,2-1
2017.0,summer,LEC,9,2017-08-04,MM,SPY,0-2
2017.0,summer,LEC,9,2017-08-04,G2,MSF,2-0
2017.0,summer,LEC,9,2017-08-05,H2K,VIT,2-0
2017.0,summer,LEC,9,2017-08-05,FNC,ROC,2-0
2017.0,summer,LEC,9,2017-08-06,NiP,MSF,1-2
2017.0,summer,LEC,9,2017-08-06,UOL,SPY,2-0
2017.0,summer,LEC,10,2017-08-11,G2,ROC,1-2
2017.0,summer,LEC,10,2017-08-11,NiP,FNC,2-0
2017.0,summer,LEC,10,2017-08-12,MM,H2K,0-2
2017.0,summer,LEC,10,2017-08-12,UOL,VIT,0-2
2017.0,summer,LEC,10,2017-08-13,ROC,MSF,2-0
2017.0,summer,LEC,10,2017-08-13,FNC,G2,2-0
2017.0,summer,LEC,10,2017-08-14,VIT,SPY,0-2
2017.0,summer,LEC,10,2017-08-14,H2K,UOL,1-2
