year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LEC,1,2020-01-25,G2,MAD,1-0
2020.0,spring,LEC,1,2020-01-25,VIT,SK,0-1
2020.0,spring,LEC,1,2020-01-25,MSF,RGE,0-1
2020.0,spring,LEC,1,2020-01-25,S04,XL,0-1
2020.0,spring,LEC,1,2020-01-25,FNC,OG,0-1
2020.0,spring,LEC,1,2020-01-26,VIT,MAD,0-1
2020.0,spring,LEC,1,2020-01-26,RGE,XL,1-0
2020.0,spring,LEC,1,2020-01-26,S04,OG,0-1
2020.0,spring,LEC,1,2020-01-26,MSF,FNC,0-1
2020.0,spring,LEC,1,2020-01-26,G2,SK,1-0
2020.0,spring,LEC,2,2020-02-01,RGE,OG,0-1
2020.0,spring,LEC,2,2020-02-01,MSF,SK,1-0
2020.0,spring,LEC,2,2020-02-01,VIT,G2,0-1
2020.0,spring,LEC,2,2020-02-01,MAD,XL,0-1
2020.0,spring,LEC,2,2020-02-01,S04,FNC,0-1
2020.0,spring,LEC,2,2020-02-02,MSF,XL,1-0
2020.0,spring,LEC,2,2020-02-02,S04,MAD,0-1
2020.0,spring,LEC,2,2020-02-02,VIT,RGE,0-1
2020.0,spring,LEC,2,2020-02-02,FNC,SK,1-0
2020.0,spring,LEC,2,2020-02-02,G2,OG,1-0
2020.0,spring,LEC,3,2020-02-08,MAD,SK,1-0
2020.0,spring,LEC,3,2020-02-08,S04,MSF,0-1
2020.0,spring,LEC,3,2020-02-08,FNC,XL,1-0
2020.0,spring,LEC,3,2020-02-08,VIT,OG,0-1
2020.0,spring,LEC,3,2020-02-08,G2,RGE,1-0
2020.0,spring,LEC,3,2020-02-09,S04,SK,0-1
2020.0,spring,LEC,3,2020-02-09,VIT,XL,0-1
2020.0,spring,LEC,3,2020-02-09,MAD,RGE,1-0
2020.0,spring,LEC,3,2020-02-09,MSF,OG,1-0
2020.0,spring,LEC,3,2020-02-09,G2,FNC,1-0
2020.0,spring,LEC,4,2020-02-15,MAD,OG,0-1
2020.0,spring,LEC,4,2020-02-15,XL,SK,1-0
2020.0,spring,LEC,4,2020-02-15,VIT,FNC,0-1
2020.0,spring,LEC,4,2020-02-15,S04,RGE,0-1
2020.0,spring,LEC,4,2020-02-15,MSF,G2,1-0
2020.0,spring,LEC,4,2020-02-16,VIT,MSF,0-1
2020.0,spring,LEC,4,2020-02-16,RGE,SK,1-0
2020.0,spring,LEC,4,2020-02-16,S04,G2,1-0
2020.0,spring,LEC,4,2020-02-16,XL,OG,0-1
