year,season,league_name,week,date,team_1,team_2,result
2019.0,summer,LJL,1,2019-06-15,AXZ,SG,0-1
2019.0,summer,LJL,1,2019-06-15,AXZ,RJ,0-1
2019.0,summer,LJL,1,2019-06-15,V3,RJ,1-0
2019.0,summer,LJL,1,2019-06-15,V3,SG,1-0
2019.0,summer,LJL,1,2019-06-15,DFM,BC,1-0
2019.0,summer,LJL,1,2019-06-15,USG,BC,0-1
2019.0,summer,LJL,1,2019-06-15,USG,CGA,0-1
2019.0,summer,LJL,1,2019-06-15,DFM,CGA,0-1
2019.0,summer,LJL,2,2019-06-23,USG,AXZ,0-1
2019.0,summer,LJL,2,2019-06-23,V3,AXZ,1-0
2019.0,summer,LJL,2,2019-06-23,V3,DFM,1-0
2019.0,summer,LJL,2,2019-06-23,USG,DFM,0-1
2019.0,summer,LJL,2,2019-06-23,CGA,BC,1-0
2019.0,summer,LJL,2,2019-06-23,CGA,SG,1-0
2019.0,summer,LJL,2,2019-06-23,RJ,SG,0-1
2019.0,summer,LJL,2,2019-06-23,RJ,BC,0-1
2019.0,summer,LJL,3,2019-06-30,RJ,DFM,0-1
2019.0,summer,LJL,3,2019-06-30,AXZ,DFM,0-1
2019.0,summer,LJL,3,2019-06-30,AXZ,CGA,0-1
2019.0,summer,LJL,3,2019-06-30,RJ,CGA,0-1
2019.0,summer,LJL,3,2019-06-30,V3,USG,1-0
2019.0,summer,LJL,3,2019-06-30,SG,USG,0-1
2019.0,summer,LJL,3,2019-06-30,SG,BC,0-1
2019.0,summer,LJL,4,2019-07-06,CGA,V3,1-0
2019.0,summer,LJL,4,2019-07-06,BC,V3,0-1
2019.0,summer,LJL,4,2019-07-06,BC,AXZ,1-0
2019.0,summer,LJL,4,2019-07-06,CGA,AXZ,1-0
2019.0,summer,LJL,4,2019-07-06,RJ,USG,0-1
2019.0,summer,LJL,4,2019-07-06,SG,RJ,0-1
2019.0,summer,LJL,4,2019-07-06,DFM,SG,1-0
2019.0,summer,LJL,4,2019-07-06,DFM,USG,1-0
2019.0,summer,LJL,5,2019-07-13,BC,USG,1-0
2019.0,summer,LJL,5,2019-07-13,CGA,USG,1-0
2019.0,summer,LJL,5,2019-07-13,CGA,DFM,0-1
2019.0,summer,LJL,5,2019-07-13,BC,DFM,0-1
2019.0,summer,LJL,5,2019-07-13,SG,V3,0-1
2019.0,summer,LJL,5,2019-07-13,SG,AXZ,1-0
2019.0,summer,LJL,5,2019-07-13,RJ,AXZ,0-1
2019.0,summer,LJL,5,2019-07-13,RJ,V3,0-1
2019.0,summer,LJL,6,2019-07-14,USG,SG,1-0
2019.0,summer,LJL,6,2019-07-14,USG,RJ,1-0
2019.0,summer,LJL,6,2019-07-14,DFM,RJ,1-0
2019.0,summer,LJL,6,2019-07-14,DFM,AXZ,1-0
2019.0,summer,LJL,6,2019-07-14,BC,CGA,0-1
2019.0,summer,LJL,6,2019-07-14,V3,BC,1-0
2019.0,summer,LJL,6,2019-07-14,V3,CGA,0-1
2019.0,summer,LJL,7,2019-07-19,BC,RJ,0-1
2019.0,summer,LJL,7,2019-07-19,CGA,RJ,1-0
2019.0,summer,LJL,7,2019-07-19,AXZ,BC,0-1
2019.0,summer,LJL,7,2019-07-19,AXZ,USG,0-1
2019.0,summer,LJL,7,2019-07-19,USG,V3,0-1
2019.0,summer,LJL,7,2019-07-20,SG,CGA,0-1
2019.0,summer,LJL,7,2019-07-20,SG,DFM,0-1
2019.0,summer,LJL,7,2019-07-20,DFM,V3,1-0
2019.0,summer,LJL,8,2019-07-27,AXZ,V3,1-0
2019.0,summer,LJL,8,2019-07-27,V3,SG,0-1
2019.0,summer,LJL,8,2019-07-27,BC,SG,1-0
2019.0,summer,LJL,8,2019-07-27,BC,AXZ,1-0
2019.0,summer,LJL,8,2019-07-27,USG,DFM,1-0
2019.0,summer,LJL,8,2019-07-27,RJ,DFM,0-1
2019.0,summer,LJL,8,2019-07-27,RJ,CGA,0-1
2019.0,summer,LJL,9,2019-07-28,RJ,SG,0-1
2019.0,summer,LJL,9,2019-07-28,RJ,AXZ,1-0
2019.0,summer,LJL,9,2019-07-28,DFM,AXZ,1-0
2019.0,summer,LJL,9,2019-07-28,DFM,SG,1-0
2019.0,summer,LJL,9,2019-07-28,CGA,V3,0-1
2019.0,summer,LJL,9,2019-07-28,CGA,BC,1-0
2019.0,summer,LJL,9,2019-07-28,USG,BC,1-0
2019.0,summer,LJL,9,2019-07-28,USG,V3,0-1
2019.0,summer,LJL,10,2019-08-03,RJ,BC,0-1
2019.0,summer,LJL,10,2019-08-03,V3,BC,0-1
2019.0,summer,LJL,10,2019-08-03,V3,DFM,0-1
2019.0,summer,LJL,10,2019-08-03,SG,CGA,0-1
2019.0,summer,LJL,10,2019-08-03,USG,CGA,1-0
2019.0,summer,LJL,10,2019-08-03,USG,AXZ,1-0
2019.0,summer,LJL,10,2019-08-03,SG,AXZ,1-0
2019.0,summer,LJL,11,2019-08-18,AXZ,V3,0-1
2019.0,summer,LJL,11,2019-08-18,RJ,V3,0-1
2019.0,summer,LJL,11,2019-08-18,RJ,USG,0-1
2019.0,summer,LJL,11,2019-08-18,AXZ,CGA,0-1
2019.0,summer,LJL,11,2019-08-18,DFM,CGA,1-0
2019.0,summer,LJL,11,2019-08-18,SG,USG,0-1
2019.0,summer,LJL,11,2019-08-18,SG,BC,1-0
2019.0,summer,LJL,11,2019-08-18,DFM,BC,0-1
