year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LJL,1,2020-02-08,DFM,V3,1-0
2020.0,spring,LJL,1,2020-02-08,V3,AXZ,1-0
2020.0,spring,LJL,1,2020-02-08,AXZ,BC,0-1
2020.0,spring,LJL,1,2020-02-08,BC,DFM,0-1
2020.0,spring,LJL,1,2020-02-08,CGA,SHG,1-0
2020.0,spring,LJL,1,2020-02-08,SHG,SG,1-0
2020.0,spring,LJL,1,2020-02-08,SG,RJ,1-0
2020.0,spring,LJL,1,2020-02-08,RJ,CGA,1-0
2020.0,spring,LJL,2,2020-02-11,V3,SG,0-1
2020.0,spring,LJL,2,2020-02-11,BC,V3,0-1
2020.0,spring,LJL,2,2020-02-11,CGA,BC,1-0
2020.0,spring,LJL,2,2020-02-11,SG,CGA,0-1
2020.0,spring,LJL,2,2020-02-11,DFM,AXZ,1-0
2020.0,spring,LJL,2,2020-02-11,RJ,DFM,0-1
2020.0,spring,LJL,2,2020-02-11,SHG,RJ,1-0
2020.0,spring,LJL,2,2020-02-11,AXZ,SHG,0-1
2020.0,spring,LJL,3,2020-02-15,RJ,AXZ,0-1
2020.0,spring,LJL,3,2020-02-15,AXZ,CGA,0-1
2020.0,spring,LJL,3,2020-02-15,CGA,V3,0-1
2020.0,spring,LJL,3,2020-02-15,V3,RJ,0-1
2020.0,spring,LJL,3,2020-02-15,SHG,DFM,0-1
2020.0,spring,LJL,3,2020-02-15,BC,SHG,1-0
2020.0,spring,LJL,3,2020-02-15,BC,SG,1-0
2020.0,spring,LJL,3,2020-02-15,DFM,SG,1-0
2020.0,spring,LJL,4,2020-02-23,SHG,AXZ,0-1
2020.0,spring,LJL,4,2020-02-23,SG,AXZ,1-0
2020.0,spring,LJL,4,2020-02-23,SG,V3,1-0
2020.0,spring,LJL,4,2020-02-23,V3,SHG,0-1
2020.0,spring,LJL,4,2020-02-23,BC,CGA,1-0
2020.0,spring,LJL,4,2020-02-23,CGA,DFM,0-1
2020.0,spring,LJL,4,2020-02-23,DFM,RJ,1-0
2020.0,spring,LJL,4,2020-02-23,RJ,BC,1-0
2020.0,spring,LJL,5,2020-03-01,AXZ,RJ,1-0
2020.0,spring,LJL,5,2020-03-01,BC,RJ,0-1
2020.0,spring,LJL,5,2020-03-01,DFM,BC,1-0
2020.0,spring,LJL,5,2020-03-01,AXZ,V3,1-0
2020.0,spring,LJL,5,2020-03-01,SG,DFM,1-0
2020.0,spring,LJL,5,2020-03-01,SHG,V3,0-1
2020.0,spring,LJL,5,2020-03-01,CGA,SG,0-1
2020.0,spring,LJL,5,2020-03-01,SHG,CGA,0-1
2020.0,spring,LJL,6,2020-03-07,DFM,CGA,1-0
2020.0,spring,LJL,6,2020-03-07,DFM,SHG,1-0
2020.0,spring,LJL,6,2020-03-07,SG,SHG,1-0
2020.0,spring,LJL,6,2020-03-07,CGA,RJ,0-1
2020.0,spring,LJL,6,2020-03-07,AXZ,SG,0-1
2020.0,spring,LJL,6,2020-03-07,BC,AXZ,0-1
2020.0,spring,LJL,6,2020-03-07,RJ,V3,0-1
2020.0,spring,LJL,6,2020-03-07,V3,BC,1-0
2020.0,spring,LJL,7,2020-03-08,RJ,SG,1-0
2020.0,spring,LJL,7,2020-03-08,SG,BC,1-0
2020.0,spring,LJL,7,2020-03-08,SHG,BC,0-1
2020.0,spring,LJL,7,2020-03-08,RJ,SHG,1-0
2020.0,spring,LJL,7,2020-03-08,V3,DFM,1-0
2020.0,spring,LJL,7,2020-03-08,AXZ,DFM,0-1
2020.0,spring,LJL,7,2020-03-08,CGA,AXZ,0-1
2020.0,spring,LJL,7,2020-03-08,V3,CGA,1-0
2020.0,spring,LJL,Tiebreakers,2020-03-12,BC,CGA,0-1
