year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LLA,1,2020-02-16,ISG,INF,1-0
2020.0,spring,LLA,1,2020-02-16,FG,AK,0-1
2020.0,spring,LLA,1,2020-02-16,UCH,PIX,0-1
2020.0,spring,LLA,1,2020-02-16,XTN,R7,0-1
2020.0,spring,LLA,1,2020-02-17,INF,R7,1-0
2020.0,spring,LLA,1,2020-02-17,XTN,AK,0-1
2020.0,spring,LLA,1,2020-02-17,FG,PIX,0-1
2020.0,spring,LLA,1,2020-02-17,ISG,UCH,1-0
2020.0,spring,LLA,2,2020-02-23,AK,INF,0-1
2020.0,spring,LLA,2,2020-02-23,PIX,XTN,0-1
2020.0,spring,LLA,2,2020-02-23,UCH,FG,1-0
2020.0,spring,LLA,2,2020-02-23,R7,ISG,1-0
2020.0,spring,LLA,2,2020-02-24,AK,ISG,1-0
2020.0,spring,LLA,2,2020-02-24,R7,UCH,1-0
2020.0,spring,LLA,2,2020-02-24,XTN,FG,0-1
2020.0,spring,LLA,2,2020-02-24,INF,PIX,1-0
2020.0,spring,LLA,3,2020-03-01,R7,AK,0-1
2020.0,spring,LLA,3,2020-03-01,FG,INF,0-1
2020.0,spring,LLA,3,2020-03-01,UCH,XTN,0-1
2020.0,spring,LLA,3,2020-03-01,ISG,PIX,1-0
2020.0,spring,LLA,3,2020-03-02,INF,XTN,1-0
2020.0,spring,LLA,3,2020-03-02,ISG,FG,1-0
2020.0,spring,LLA,3,2020-03-02,AK,UCH,1-0
2020.0,spring,LLA,3,2020-03-02,PIX,R7,0-1
2020.0,spring,LLA,4,2020-03-08,R7,FG,1-0
2020.0,spring,LLA,4,2020-03-08,XTN,ISG,0-1
2020.0,spring,LLA,4,2020-03-08,PIX,AK,0-1
2020.0,spring,LLA,4,2020-03-08,UCH,INF,0-1
2020.0,spring,LLA,4,2020-03-09,INF,ISG,1-0
2020.0,spring,LLA,4,2020-03-09,R7,XTN,1-0
2020.0,spring,LLA,4,2020-03-09,PIX,UCH,1-0
2020.0,spring,LLA,4,2020-03-09,AK,FG,1-0
2020.0,spring,LLA,5,2020-03-29,R7,INF,1-0
2020.0,spring,LLA,5,2020-03-29,PIX,FG,1-0
2020.0,spring,LLA,5,2020-03-29,UCH,ISG,0-1
2020.0,spring,LLA,5,2020-03-29,AK,XTN,1-0
2020.0,spring,LLA,5,2020-03-30,ISG,R7,0-1
2020.0,spring,LLA,5,2020-03-30,XTN,PIX,1-0
2020.0,spring,LLA,5,2020-03-30,FG,UCH,0-1
2020.0,spring,LLA,5,2020-03-30,INF,AK,1-0
2020.0,spring,LLA,6,2020-04-05,ISG,AK,1-0
2020.0,spring,LLA,6,2020-04-05,FG,XTN,0-1
2020.0,spring,LLA,6,2020-04-05,UCH,R7,0-1
2020.0,spring,LLA,6,2020-04-05,PIX,INF,0-1
2020.0,spring,LLA,6,2020-04-06,PIX,ISG,0-1
2020.0,spring,LLA,6,2020-04-06,INF,FG,1-0
2020.0,spring,LLA,6,2020-04-06,XTN,UCH,1-0
2020.0,spring,LLA,6,2020-04-06,AK,R7,1-0
2020.0,spring,LLA,7,2020-04-12,R7,PIX,1-0
2020.0,spring,LLA,7,2020-04-12,XTN,INF,1-0
2020.0,spring,LLA,7,2020-04-12,UCH,AK,0-1
2020.0,spring,LLA,7,2020-04-12,FG,ISG,0-1
2020.0,spring,LLA,7,2020-04-13,AK,PIX,1-0
2020.0,spring,LLA,7,2020-04-13,ISG,XTN,1-0
2020.0,spring,LLA,7,2020-04-13,FG,R7,1-0
2020.0,spring,LLA,7,2020-04-13,INF,UCH,1-0
2020.0,spring,LLA,8,2020-04-19,INF,ISG,0-1
2020.0,spring,LLA,8,2020-04-19,AK,R7,1-0
2020.0,spring,LLA,8,2020-04-19,ISG,XTN,1-0
2020.0,spring,LLA,8,2020-04-19,R7,INF,1-0
2020.0,spring,LLA,8,2020-04-19,AK,XTN,1-0
2020.0,spring,LLA,8,2020-04-20,R7,ISG,1-0
2020.0,spring,LLA,8,2020-04-20,XTN,INF,0-1
2020.0,spring,LLA,8,2020-04-20,ISG,AK,0-1
2020.0,spring,LLA,8,2020-04-20,XTN,R7,0-1
2020.0,spring,LLA,8,2020-04-20,INF,AK,1-0
