year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,LLA,1,2020-06-21,ISG,AK,0-1
2020.0,summer,LLA,1,2020-06-21,XTN,FG,1-0
2020.0,summer,LLA,1,2020-06-21,PIX,INF,0-1
2020.0,summer,LLA,1,2020-06-21,R7,UCH,0-1
2020.0,summer,LLA,1,2020-06-22,PIX,ISG,0-1
2020.0,summer,LLA,1,2020-06-22,XTN,UCH,0-1
2020.0,summer,LLA,1,2020-06-22,INF,FG,1-0
2020.0,summer,LLA,1,2020-06-22,R7,AK,0-1
2020.0,summer,LLA,2,2020-06-28,INF,UCH,0-1
2020.0,summer,LLA,2,2020-06-28,ISG,FG,0-1
2020.0,summer,LLA,2,2020-06-28,XTN,R7,0-1
2020.0,summer,LLA,2,2020-06-28,PIX,AK,0-1
2020.0,summer,LLA,2,2020-06-29,FG,AK,1-0
2020.0,summer,LLA,2,2020-06-29,R7,PIX,1-0
2020.0,summer,LLA,2,2020-06-29,XTN,INF,0-1
2020.0,summer,LLA,2,2020-06-29,ISG,UCH,1-0
2020.0,summer,LLA,3,2020-07-05,UCH,AK,0-1
2020.0,summer,LLA,3,2020-07-05,XTN,ISG,0-1
2020.0,summer,LLA,3,2020-07-05,PIX,FG,0-1
2020.0,summer,LLA,3,2020-07-05,R7,INF,1-0
2020.0,summer,LLA,3,2020-07-06,R7,FG,0-1
2020.0,summer,LLA,3,2020-07-06,XTN,AK,0-1
2020.0,summer,LLA,3,2020-07-06,PIX,UCH,1-0
2020.0,summer,LLA,3,2020-07-06,ISG,INF,0-1
2020.0,summer,LLA,4,2020-07-12,R7,ISG,1-0
2020.0,summer,LLA,4,2020-07-12,XTN,PIX,1-0
2020.0,summer,LLA,4,2020-07-12,FG,UCH,0-1
2020.0,summer,LLA,4,2020-07-12,INF,AK,0-1
2020.0,summer,LLA,4,2020-07-13,R7,UCH,1-0
2020.0,summer,LLA,4,2020-07-13,PIX,INF,1-0
2020.0,summer,LLA,4,2020-07-13,XTN,FG,0-1
2020.0,summer,LLA,4,2020-07-13,ISG,AK,1-0
2020.0,summer,LLA,5,2020-07-19,R7,AK,0-1
2020.0,summer,LLA,5,2020-07-19,XTN,UCH,0-1
2020.0,summer,LLA,5,2020-07-19,PIX,ISG,0-1
2020.0,summer,LLA,5,2020-07-19,INF,FG,0-1
2020.0,summer,LLA,5,2020-07-20,INF,UCH,1-0
2020.0,summer,LLA,5,2020-07-20,PIX,AK,0-1
2020.0,summer,LLA,5,2020-07-20,XTN,R7,0-1
2020.0,summer,LLA,5,2020-07-20,ISG,FG,1-0
2020.0,summer,LLA,6,2020-07-26,R7,PIX,1-0
2020.0,summer,LLA,6,2020-07-26,XTN,INF,0-1
2020.0,summer,LLA,6,2020-07-26,ISG,UCH,1-0
2020.0,summer,LLA,6,2020-07-26,FG,AK,0-1
2020.0,summer,LLA,6,2020-07-27,XTN,ISG,1-0
2020.0,summer,LLA,6,2020-07-27,PIX,FG,1-0
2020.0,summer,LLA,6,2020-07-27,UCH,AK,0-1
2020.0,summer,LLA,6,2020-07-29,R7,INF,0-1
2020.0,summer,LLA,7,2020-08-02,PIX,UCH,1-0
2020.0,summer,LLA,7,2020-08-02,XTN,AK,0-1
2020.0,summer,LLA,7,2020-08-02,R7,FG,1-0
2020.0,summer,LLA,7,2020-08-02,ISG,INF,0-1
2020.0,summer,LLA,7,2020-08-03,XTN,PIX,1-0
2020.0,summer,LLA,7,2020-08-03,INF,AK,0-1
2020.0,summer,LLA,7,2020-08-03,R7,ISG,0-1
2020.0,summer,LLA,7,2020-08-03,FG,UCH,0-1
2020.0,summer,LLA,8,2020-08-09,AK,UCH,1-0
2020.0,summer,LLA,8,2020-08-09,R7,ISG,0-1
2020.0,summer,LLA,8,2020-08-09,AK,INF,0-1
2020.0,summer,LLA,8,2020-08-09,ISG,UCH,0-1
2020.0,summer,LLA,8,2020-08-09,INF,R7,0-1
2020.0,summer,LLA,8,2020-08-10,UCH,R7,0-1
2020.0,summer,LLA,8,2020-08-10,ISG,AK,1-0
2020.0,summer,LLA,8,2020-08-10,UCH,INF,1-0
2020.0,summer,LLA,8,2020-08-10,R7,AK,0-1
2020.0,summer,LLA,8,2020-08-10,INF,ISG,0-1
