year,season,league_name,week,date,team_1,team_2,result
2017.0,spring,LMS,1,2017-01-21,ahq,FW,1-2
2017.0,spring,LMS,1,2017-01-21,HKES,FBL,2-1
2017.0,spring,LMS,1,2017-01-22,JT,MCX,2-1
2017.0,spring,LMS,1,2017-01-22,XG,WS,2-1
2017.0,spring,LMS,2,2017-02-03,FW,JT,2-0
2017.0,spring,LMS,2,2017-02-03,WS,HKES,0-2
2017.0,spring,LMS,2,2017-02-04,FW,MCX,2-0
2017.0,spring,LMS,2,2017-02-04,JT,XG,2-0
2017.0,spring,LMS,2,2017-02-05,FBL,XG,2-0
2017.0,spring,LMS,2,2017-02-05,ahq,MCX,2-0
2017.0,spring,LMS,3,2017-02-10,HKES,JT,0-2
2017.0,spring,LMS,3,2017-02-10,FBL,MCX,1-2
2017.0,spring,LMS,3,2017-02-11,FBL,WS,2-0
2017.0,spring,LMS,3,2017-02-11,ahq,HKES,2-0
2017.0,spring,LMS,3,2017-02-12,ahq,XG,2-0
2017.0,spring,LMS,3,2017-02-12,WS,FW,0-2
2017.0,spring,LMS,4,2017-02-17,WS,ahq,0-2
2017.0,spring,LMS,4,2017-02-17,FBL,JT,1-2
2017.0,spring,LMS,4,2017-02-18,WS,MCX,0-2
2017.0,spring,LMS,4,2017-02-18,FW,HKES,2-0
2017.0,spring,LMS,5,2017-03-03,HKES,XG,2-1
2017.0,spring,LMS,5,2017-03-03,JT,WS,2-0
2017.0,spring,LMS,5,2017-03-04,FBL,FW,0-2
2017.0,spring,LMS,5,2017-03-04,JT,ahq,0-2
2017.0,spring,LMS,5,2017-03-05,FBL,ahq,0-2
2017.0,spring,LMS,5,2017-03-05,MCX,XG,2-0
2017.0,spring,LMS,6,2017-03-10,MCX,HKES,2-1
2017.0,spring,LMS,6,2017-03-10,FW,XG,2-0
2017.0,spring,LMS,6,2017-03-11,FBL,HKES,0-2
2017.0,spring,LMS,6,2017-03-11,FW,ahq,2-0
2017.0,spring,LMS,6,2017-03-12,WS,XG,0-2
2017.0,spring,LMS,6,2017-03-12,MCX,JT,2-1
2017.0,spring,LMS,7,2017-03-17,XG,FBL,1-2
2017.0,spring,LMS,7,2017-03-17,HKES,WS,2-0
2017.0,spring,LMS,7,2017-03-18,MCX,FW,0-2
2017.0,spring,LMS,7,2017-03-18,XG,JT,0-2
2017.0,spring,LMS,7,2017-03-19,MCX,ahq,0-2
2017.0,spring,LMS,7,2017-03-19,JT,FW,0-2
2017.0,spring,LMS,8,2017-03-24,JT,HKES,2-0
2017.0,spring,LMS,8,2017-03-24,MCX,FBL,2-1
2017.0,spring,LMS,8,2017-03-25,HKES,ahq,0-2
2017.0,spring,LMS,8,2017-03-25,WS,FBL,0-2
2017.0,spring,LMS,8,2017-03-26,XG,ahq,0-2
2017.0,spring,LMS,8,2017-03-26,FW,WS,2-0
2017.0,spring,LMS,9,2017-03-31,JT,FBL,2-0
2017.0,spring,LMS,9,2017-03-31,ahq,WS,2-0
2017.0,spring,LMS,9,2017-04-01,MCX,WS,2-1
2017.0,spring,LMS,9,2017-04-01,XG,HKES,0-2
2017.0,spring,LMS,9,2017-04-02,XG,FW,0-2
2017.0,spring,LMS,9,2017-04-02,HKES,MCX,0-2
2017.0,spring,LMS,10,2017-04-07,WS,JT,0-2
2017.0,spring,LMS,10,2017-04-07,XG,MCX,0-2
2017.0,spring,LMS,10,2017-04-08,FW,FBL,2-0
2017.0,spring,LMS,10,2017-04-08,ahq,JT,1-2
2017.0,spring,LMS,10,2017-04-09,ahq,FBL,2-0
2017.0,spring,LMS,10,2017-04-09,HKES,FW,0-2
