year,season,league_name,week,date,team_1,team_2,result
2019.0,summer,LMS,1,2019-06-13,HKA,MAD,1-2
2019.0,summer,LMS,1,2019-06-13,FW,ahq,0-2
2019.0,summer,LMS,1,2019-06-14,ALF,JT,0-2
2019.0,summer,LMS,1,2019-06-14,GRX,FW,2-1
2019.0,summer,LMS,1,2019-06-15,MAD,JT,1-2
2019.0,summer,LMS,1,2019-06-15,GRX,HKA,0-2
2019.0,summer,LMS,2,2019-06-21,ahq,GRX,2-1
2019.0,summer,LMS,2,2019-06-21,ALF,MAD,2-0
2019.0,summer,LMS,2,2019-06-22,JT,FW,2-1
2019.0,summer,LMS,2,2019-06-22,HKA,ALF,2-1
2019.0,summer,LMS,2,2019-06-23,FW,MAD,0-2
2019.0,summer,LMS,2,2019-06-23,JT,ahq,2-1
2019.0,summer,LMS,3,2019-06-28,FW,HKA,0-2
2019.0,summer,LMS,3,2019-06-28,MAD,ahq,1-2
2019.0,summer,LMS,3,2019-06-29,ALF,FW,0-2
2019.0,summer,LMS,3,2019-06-29,JT,GRX,2-1
2019.0,summer,LMS,3,2019-06-30,GRX,ALF,2-0
2019.0,summer,LMS,3,2019-06-30,ahq,HKA,2-0
2019.0,summer,LMS,4,2019-07-12,MAD,GRX,2-1
2019.0,summer,LMS,4,2019-07-12,HKA,JT,1-2
2019.0,summer,LMS,4,2019-07-13,ahq,ALF,2-0
2019.0,summer,LMS,4,2019-07-13,HKA,GRX,2-0
2019.0,summer,LMS,4,2019-07-14,FW,JT,1-2
2019.0,summer,LMS,4,2019-07-14,ALF,ahq,0-2
2019.0,summer,LMS,5,2019-07-19,ahq,JT,0-2
2019.0,summer,LMS,5,2019-07-19,MAD,ALF,0-2
2019.0,summer,LMS,5,2019-07-20,ahq,MAD,1-2
2019.0,summer,LMS,5,2019-07-20,FW,GRX,0-2
2019.0,summer,LMS,5,2019-07-21,GRX,JT,0-2
2019.0,summer,LMS,5,2019-07-21,HKA,FW,1-2
2019.0,summer,LMS,6,2019-07-26,ALF,HKA,0-2
2019.0,summer,LMS,6,2019-07-26,GRX,ahq,2-1
2019.0,summer,LMS,6,2019-07-27,HKA,ahq,0-2
2019.0,summer,LMS,6,2019-07-27,MAD,FW,2-0
2019.0,summer,LMS,6,2019-07-28,ALF,GRX,0-2
2019.0,summer,LMS,6,2019-07-28,JT,MAD,2-0
2019.0,summer,LMS,7,2019-08-02,MAD,HKA,0-2
2019.0,summer,LMS,7,2019-08-02,JT,ALF,2-0
2019.0,summer,LMS,7,2019-08-03,JT,HKA,2-1
2019.0,summer,LMS,7,2019-08-03,FW,ALF,2-0
2019.0,summer,LMS,7,2019-08-04,ahq,FW,1-2
2019.0,summer,LMS,7,2019-08-04,GRX,MAD,1-2
