year,season,league_name,week,date,team_1,team_2,result
2017.0,summer,LPL,1,2017-06-08,RNG,OMG,0-2
2017.0,summer,LPL,1,2017-06-08,LGD,JDG,2-0
2017.0,summer,LPL,1,2017-06-09,EDG,DAN,0-2
2017.0,summer,LPL,1,2017-06-09,WE,iG,2-1
2017.0,summer,LPL,1,2017-06-10,SN,NB,1-2
2017.0,summer,LPL,1,2017-06-10,OMG,JDG,2-1
2017.0,summer,LPL,1,2017-06-10,RNG,LGD,2-1
2017.0,summer,LPL,1,2017-06-11,EDG,SS,2-0
2017.0,summer,LPL,1,2017-06-11,WE,DAN,2-0
2017.0,summer,LPL,1,2017-06-11,IM,iG,1-2
2017.0,summer,LPL,2,2017-06-15,SS,DAN,0-2
2017.0,summer,LPL,2,2017-06-15,EDG,IM,2-0
2017.0,summer,LPL,2,2017-06-16,OMG,SN,2-1
2017.0,summer,LPL,2,2017-06-16,NB,JDG,2-1
2017.0,summer,LPL,2,2017-06-17,IM,DAN,0-2
2017.0,summer,LPL,2,2017-06-17,EDG,iG,2-0
2017.0,summer,LPL,2,2017-06-17,WE,SS,1-2
2017.0,summer,LPL,2,2017-06-18,OMG,LGD,2-0
2017.0,summer,LPL,2,2017-06-18,RNG,NB,2-1
2017.0,summer,LPL,2,2017-06-18,SN,JDG,2-1
2017.0,summer,LPL,3,2017-06-22,WE,IM,2-0
2017.0,summer,LPL,3,2017-06-22,iG,SS,2-0
2017.0,summer,LPL,3,2017-06-23,LGD,NB,2-1
2017.0,summer,LPL,3,2017-06-23,RNG,SN,1-2
2017.0,summer,LPL,3,2017-06-24,iG,DAN,0-2
2017.0,summer,LPL,3,2017-06-24,IM,SS,2-1
2017.0,summer,LPL,3,2017-06-24,WE,EDG,2-1
2017.0,summer,LPL,3,2017-06-25,OMG,NB,2-0
2017.0,summer,LPL,3,2017-06-25,LGD,SN,2-1
2017.0,summer,LPL,3,2017-06-25,RNG,JDG,2-0
2017.0,summer,LPL,4,2017-06-29,DAN,RNG,0-2
2017.0,summer,LPL,4,2017-06-29,iG,JDG,2-1
2017.0,summer,LPL,4,2017-06-30,NB,IM,2-0
2017.0,summer,LPL,4,2017-06-30,WE,LGD,2-1
2017.0,summer,LPL,4,2017-07-01,JDG,SS,2-0
2017.0,summer,LPL,4,2017-07-01,SN,iG,1-2
2017.0,summer,LPL,4,2017-07-01,OMG,DAN,2-1
2017.0,summer,LPL,4,2017-07-02,NB,WE,2-1
2017.0,summer,LPL,4,2017-07-02,RNG,EDG,0-2
2017.0,summer,LPL,5,2017-07-13,JDG,IM,2-1
2017.0,summer,LPL,5,2017-07-13,LGD,DAN,2-1
2017.0,summer,LPL,5,2017-07-14,EDG,NB,2-0
2017.0,summer,LPL,5,2017-07-14,RNG,iG,2-1
2017.0,summer,LPL,5,2017-07-15,IM,LGD,0-2
2017.0,summer,LPL,5,2017-07-15,DAN,SN,1-2
2017.0,summer,LPL,5,2017-07-15,WE,JDG,2-0
2017.0,summer,LPL,5,2017-07-16,SS,NB,1-2
2017.0,summer,LPL,5,2017-07-16,EDG,OMG,2-0
2017.0,summer,LPL,6,2017-07-20,EDG,JDG,2-0
2017.0,summer,LPL,6,2017-07-20,OMG,SS,2-0
2017.0,summer,LPL,6,2017-07-21,IM,SN,2-0
2017.0,summer,LPL,6,2017-07-21,NB,iG,2-0
2017.0,summer,LPL,6,2017-07-22,SS,LGD,2-1
2017.0,summer,LPL,6,2017-07-22,DAN,JDG,0-2
2017.0,summer,LPL,6,2017-07-22,OMG,WE,0-2
2017.0,summer,LPL,6,2017-07-23,EDG,SN,0-2
2017.0,summer,LPL,6,2017-07-23,RNG,IM,1-2
2017.0,summer,LPL,7,2017-07-27,iG,LGD,2-0
2017.0,summer,LPL,7,2017-07-27,IM,OMG,0-2
2017.0,summer,LPL,7,2017-07-28,WE,SN,2-0
2017.0,summer,LPL,7,2017-07-28,RNG,SS,2-0
2017.0,summer,LPL,7,2017-07-29,OMG,iG,1-2
2017.0,summer,LPL,7,2017-07-29,NB,DAN,2-1
2017.0,summer,LPL,7,2017-07-29,LGD,EDG,0-2
2017.0,summer,LPL,7,2017-07-30,SN,SS,2-1
2017.0,summer,LPL,7,2017-07-30,WE,RNG,0-2
2017.0,summer,LPL,8,2017-08-03,DAN,IM,0-2
2017.0,summer,LPL,8,2017-08-03,SS,iG,2-0
2017.0,summer,LPL,8,2017-08-04,JDG,NB,2-1
2017.0,summer,LPL,8,2017-08-04,SN,RNG,0-2
2017.0,summer,LPL,8,2017-08-05,IM,EDG,0-2
2017.0,summer,LPL,8,2017-08-05,DAN,SS,1-2
2017.0,summer,LPL,8,2017-08-05,iG,WE,2-0
2017.0,summer,LPL,8,2017-08-06,JDG,RNG,0-2
2017.0,summer,LPL,8,2017-08-06,SN,LGD,0-2
2017.0,summer,LPL,8,2017-08-06,NB,OMG,0-2
2017.0,summer,LPL,9,2017-08-10,SN,OMG,2-1
2017.0,summer,LPL,9,2017-08-10,NB,LGD,2-0
2017.0,summer,LPL,9,2017-08-11,IM,WE,1-2
2017.0,summer,LPL,9,2017-08-11,DAN,EDG,0-2
2017.0,summer,LPL,9,2017-08-12,NB,SN,2-0
2017.0,summer,LPL,9,2017-08-12,JDG,LGD,2-0
2017.0,summer,LPL,9,2017-08-12,OMG,RNG,1-2
2017.0,summer,LPL,9,2017-08-13,DAN,WE,0-2
2017.0,summer,LPL,9,2017-08-13,iG,IM,2-0
2017.0,summer,LPL,9,2017-08-13,SS,EDG,1-2
2017.0,summer,LPL,10,2017-08-17,SS,WE,2-1
2017.0,summer,LPL,10,2017-08-17,iG,EDG,2-0
2017.0,summer,LPL,10,2017-08-18,LGD,RNG,0-2
2017.0,summer,LPL,10,2017-08-18,JDG,OMG,2-0
2017.0,summer,LPL,10,2017-08-19,SS,IM,1-2
2017.0,summer,LPL,10,2017-08-19,EDG,WE,1-2
2017.0,summer,LPL,10,2017-08-19,DAN,iG,1-2
2017.0,summer,LPL,10,2017-08-20,JDG,SN,0-2
2017.0,summer,LPL,10,2017-08-20,LGD,OMG,1-2
2017.0,summer,LPL,10,2017-08-20,NB,RNG,0-2
