year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LPL,1,2020-01-13,iG,FPX,2-1
2020.0,spring,LPL,1,2020-01-13,LGD,LNG,1-2
2020.0,spring,LPL,1,2020-01-14,ES,RW,2-0
2020.0,spring,LPL,1,2020-01-14,OMG,JDG,0-2
2020.0,spring,LPL,1,2020-01-15,VG,BLG,1-2
2020.0,spring,LPL,1,2020-01-15,iG,DMO,2-0
2020.0,spring,LPL,1,2020-01-16,V5,EDG,0-2
2020.0,spring,LPL,1,2020-01-16,RW,SN,2-0
2020.0,spring,LPL,1,2020-01-17,FPX,ES,1-2
2020.0,spring,LPL,1,2020-01-17,LNG,TES,0-2
2020.0,spring,LPL,1,2020-01-18,JDG,WE,2-0
2020.0,spring,LPL,1,2020-01-18,BLG,RNG,2-1
2020.0,spring,LPL,1,2020-01-19,VG,DMO,2-1
2020.0,spring,LPL,1,2020-01-19,EDG,TES,1-2
2020.0,spring,LPL,2,2020-03-09,LNG,OMG,1-2
2020.0,spring,LPL,2,2020-03-09,FPX,JDG,2-1
2020.0,spring,LPL,2,2020-03-09,RNG,TES,2-0
2020.0,spring,LPL,2,2020-03-10,DMO,LGD,2-0
2020.0,spring,LPL,2,2020-03-10,ES,SN,2-1
2020.0,spring,LPL,2,2020-03-11,RNG,OMG,2-1
2020.0,spring,LPL,2,2020-03-11,V5,WE,0-2
2020.0,spring,LPL,2,2020-03-11,VG,iG,0-2
2020.0,spring,LPL,2,2020-03-12,ES,LGD,2-0
2020.0,spring,LPL,2,2020-03-12,BLG,LNG,1-2
2020.0,spring,LPL,2,2020-03-12,SN,EDG,2-0
2020.0,spring,LPL,2,2020-03-13,OMG,RW,2-0
2020.0,spring,LPL,2,2020-03-13,WE,VG,2-0
2020.0,spring,LPL,2,2020-03-13,DMO,FPX,0-2
2020.0,spring,LPL,2,2020-03-14,JDG,V5,2-0
2020.0,spring,LPL,2,2020-03-14,EDG,ES,2-0
2020.0,spring,LPL,2,2020-03-14,BLG,SN,0-2
2020.0,spring,LPL,2,2020-03-15,RW,iG,1-2
2020.0,spring,LPL,2,2020-03-15,WE,RNG,0-2
2020.0,spring,LPL,2,2020-03-15,TES,LGD,0-2
2020.0,spring,LPL,3,2020-03-16,V5,ES,0-2
2020.0,spring,LPL,3,2020-03-16,BLG,OMG,1-2
2020.0,spring,LPL,3,2020-03-16,VG,JDG,1-2
2020.0,spring,LPL,3,2020-03-17,EDG,RW,1-2
2020.0,spring,LPL,3,2020-03-17,WE,FPX,0-2
2020.0,spring,LPL,3,2020-03-18,V5,LNG,1-2
2020.0,spring,LPL,3,2020-03-18,TES,VG,2-1
2020.0,spring,LPL,3,2020-03-18,JDG,BLG,2-0
2020.0,spring,LPL,3,2020-03-19,DMO,WE,0-2
2020.0,spring,LPL,3,2020-03-19,iG,LGD,2-1
2020.0,spring,LPL,3,2020-03-19,SN,FPX,0-2
2020.0,spring,LPL,3,2020-03-20,LNG,RW,2-0
2020.0,spring,LPL,3,2020-03-20,EDG,JDG,2-1
2020.0,spring,LPL,3,2020-03-20,RNG,VG,0-2
2020.0,spring,LPL,3,2020-03-21,OMG,DMO,2-0
2020.0,spring,LPL,3,2020-03-21,ES,BLG,2-1
2020.0,spring,LPL,3,2020-03-21,TES,iG,0-2
2020.0,spring,LPL,3,2020-03-22,RW,V5,2-0
2020.0,spring,LPL,3,2020-03-22,LGD,SN,1-2
2020.0,spring,LPL,3,2020-03-22,FPX,RNG,2-0
2020.0,spring,LPL,4,2020-03-23,TES,DMO,2-0
2020.0,spring,LPL,4,2020-03-23,EDG,VG,2-1
2020.0,spring,LPL,4,2020-03-23,ES,iG,2-0
2020.0,spring,LPL,4,2020-03-24,WE,RW,2-1
2020.0,spring,LPL,4,2020-03-24,SN,LNG,2-1
2020.0,spring,LPL,4,2020-03-25,V5,OMG,0-2
2020.0,spring,LPL,4,2020-03-25,TES,JDG,2-0
2020.0,spring,LPL,4,2020-03-25,BLG,FPX,1-2
2020.0,spring,LPL,4,2020-03-26,RW,DMO,0-2
2020.0,spring,LPL,4,2020-03-26,SN,WE,1-2
2020.0,spring,LPL,4,2020-03-26,VG,LGD,2-0
2020.0,spring,LPL,4,2020-03-27,FPX,OMG,2-1
2020.0,spring,LPL,4,2020-03-27,LNG,ES,1-2
2020.0,spring,LPL,4,2020-03-27,RNG,JDG,2-0
2020.0,spring,LPL,4,2020-03-28,LGD,V5,2-0
2020.0,spring,LPL,4,2020-03-28,BLG,WE,2-1
2020.0,spring,LPL,4,2020-03-28,iG,SN,2-0
2020.0,spring,LPL,4,2020-03-29,ES,DMO,2-0
2020.0,spring,LPL,4,2020-03-29,OMG,TES,0-2
2020.0,spring,LPL,4,2020-03-29,RNG,EDG,2-1
2020.0,spring,LPL,5,2020-03-30,VG,LNG,2-1
2020.0,spring,LPL,5,2020-03-30,V5,FPX,0-2
2020.0,spring,LPL,5,2020-03-30,JDG,SN,2-1
2020.0,spring,LPL,5,2020-03-31,LGD,EDG,1-2
2020.0,spring,LPL,5,2020-03-31,OMG,iG,0-2
2020.0,spring,LPL,5,2020-04-01,DMO,LNG,2-0
2020.0,spring,LPL,5,2020-04-01,ES,VG,1-2
2020.0,spring,LPL,5,2020-04-01,V5,RNG,0-2
2020.0,spring,LPL,5,2020-04-02,LGD,WE,2-1
2020.0,spring,LPL,5,2020-04-02,RW,BLG,2-0
2020.0,spring,LPL,5,2020-04-02,SN,TES,1-2
2020.0,spring,LPL,5,2020-04-03,EDG,DMO,2-0
2020.0,spring,LPL,5,2020-04-03,iG,V5,2-0
2020.0,spring,LPL,5,2020-04-03,RNG,ES,2-0
2020.0,spring,LPL,5,2020-04-05,JDG,LNG,2-0
2020.0,spring,LPL,5,2020-04-05,BLG,EDG,1-2
2020.0,spring,LPL,5,2020-04-05,RNG,iG,1-2
2020.0,spring,LPL,6,2020-04-06,SN,V5,2-0
2020.0,spring,LPL,6,2020-04-06,OMG,VG,2-1
2020.0,spring,LPL,6,2020-04-06,TES,RW,2-1
2020.0,spring,LPL,6,2020-04-07,DMO,BLG,1-2
2020.0,spring,LPL,6,2020-04-07,ES,JDG,0-2
2020.0,spring,LPL,6,2020-04-07,LNG,FPX,0-2
2020.0,spring,LPL,6,2020-04-08,RW,VG,2-1
2020.0,spring,LPL,6,2020-04-08,SN,OMG,0-2
2020.0,spring,LPL,6,2020-04-08,WE,TES,2-1
2020.0,spring,LPL,6,2020-04-09,LGD,RNG,2-0
2020.0,spring,LPL,6,2020-04-09,LNG,EDG,0-2
2020.0,spring,LPL,6,2020-04-09,JDG,iG,2-0
2020.0,spring,LPL,6,2020-04-10,DMO,V5,2-0
2020.0,spring,LPL,6,2020-04-10,FPX,VG,1-2
2020.0,spring,LPL,6,2020-04-10,TES,BLG,0-2
2020.0,spring,LPL,6,2020-04-11,OMG,LGD,0-2
2020.0,spring,LPL,6,2020-04-11,WE,ES,0-2
2020.0,spring,LPL,6,2020-04-11,RNG,RW,1-2
2020.0,spring,LPL,6,2020-04-12,DMO,SN,2-1
2020.0,spring,LPL,6,2020-04-12,FPX,EDG,2-1
2020.0,spring,LPL,6,2020-04-12,iG,BLG,2-1
2020.0,spring,LPL,7,2020-04-13,OMG,ES,0-2
2020.0,spring,LPL,7,2020-04-13,LNG,RNG,0-2
2020.0,spring,LPL,7,2020-04-13,V5,TES,0-2
2020.0,spring,LPL,7,2020-04-14,RW,JDG,0-2
2020.0,spring,LPL,7,2020-04-14,VG,SN,1-2
2020.0,spring,LPL,7,2020-04-14,LGD,BLG,0-2
2020.0,spring,LPL,7,2020-04-15,EDG,OMG,2-0
2020.0,spring,LPL,7,2020-04-15,DMO,RNG,2-0
2020.0,spring,LPL,7,2020-04-15,iG,WE,2-1
2020.0,spring,LPL,7,2020-04-16,BLG,V5,2-0
2020.0,spring,LPL,7,2020-04-16,LGD,FPX,0-2
2020.0,spring,LPL,7,2020-04-16,TES,ES,2-0
2020.0,spring,LPL,7,2020-04-17,LNG,WE,2-1
2020.0,spring,LPL,7,2020-04-17,JDG,DMO,2-0
2020.0,spring,LPL,7,2020-04-17,EDG,iG,0-2
2020.0,spring,LPL,7,2020-04-18,VG,V5,2-0
2020.0,spring,LPL,7,2020-04-18,FPX,RW,2-1
2020.0,spring,LPL,7,2020-04-18,SN,RNG,2-1
2020.0,spring,LPL,7,2020-04-19,JDG,LGD,2-0
2020.0,spring,LPL,7,2020-04-19,WE,EDG,2-1
2020.0,spring,LPL,7,2020-04-19,iG,LNG,2-1
2020.0,spring,LPL,7,2020-04-20,RW,LGD,2-1
2020.0,spring,LPL,7,2020-04-20,WE,OMG,2-1
2020.0,spring,LPL,7,2020-04-20,FPX,TES,0-2
