year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,LPLOL,1,2020-01-19,BFC,EPE,1-0
2020.0,spring,LPLOL,1,2020-01-19,FTW,EGN,1-0
2020.0,spring,LPLOL,1,2020-01-19,CC,SAM,1-0
2020.0,spring,LPLOL,1,2020-01-19,GC,GTZ,0-1
2020.0,spring,LPLOL,1,2020-01-19,SAM,GC,1-0
2020.0,spring,LPLOL,1,2020-01-19,GTZ,BFC,0-1
2020.0,spring,LPLOL,1,2020-01-19,EGN,CC,1-0
2020.0,spring,LPLOL,1,2020-01-20,EPE,FTW,0-1
2020.0,spring,LPLOL,2,2020-01-28,GC,EGN,0-1
2020.0,spring,LPLOL,2,2020-01-28,CC,EPE,0-1
2020.0,spring,LPLOL,2,2020-01-28,BFC,FTW,0-1
2020.0,spring,LPLOL,2,2020-01-28,GTZ,SAM,0-1
2020.0,spring,LPLOL,2,2020-01-29,FTW,CC,1-0
2020.0,spring,LPLOL,2,2020-01-29,EGN,GTZ,1-0
2020.0,spring,LPLOL,2,2020-01-29,EPE,GC,1-0
2020.0,spring,LPLOL,2,2020-01-29,SAM,BFC,1-0
2020.0,spring,LPLOL,3,2020-02-04,SAM,EGN,0-1
2020.0,spring,LPLOL,3,2020-02-04,GC,FTW,0-1
2020.0,spring,LPLOL,3,2020-02-04,GTZ,EPE,1-0
2020.0,spring,LPLOL,3,2020-02-04,BFC,CC,1-0
2020.0,spring,LPLOL,3,2020-02-05,FTW,GTZ,1-0
2020.0,spring,LPLOL,3,2020-02-05,EPE,SAM,0-1
2020.0,spring,LPLOL,3,2020-02-05,EGN,BFC,1-0
2020.0,spring,LPLOL,3,2020-02-05,CC,GC,0-1
2020.0,spring,LPLOL,4,2020-02-11,GTZ,CC,1-0
2020.0,spring,LPLOL,4,2020-02-11,BFC,GC,1-0
2020.0,spring,LPLOL,4,2020-02-11,SAM,FTW,0-1
2020.0,spring,LPLOL,4,2020-02-11,EGN,EPE,1-0
2020.0,spring,LPLOL,4,2020-02-12,EPE,BFC,1-0
2020.0,spring,LPLOL,4,2020-02-12,EGN,FTW,0-1
2020.0,spring,LPLOL,4,2020-02-12,SAM,CC,0-1
2020.0,spring,LPLOL,4,2020-02-12,GTZ,GC,0-1
2020.0,spring,LPLOL,5,2020-02-18,GC,SAM,0-1
2020.0,spring,LPLOL,5,2020-02-18,BFC,GTZ,0-1
2020.0,spring,LPLOL,5,2020-02-18,CC,EGN,0-1
2020.0,spring,LPLOL,5,2020-02-18,FTW,EPE,1-0
2020.0,spring,LPLOL,5,2020-02-19,EGN,GC,0-1
2020.0,spring,LPLOL,5,2020-02-19,EPE,CC,0-1
2020.0,spring,LPLOL,5,2020-02-19,FTW,BFC,1-0
2020.0,spring,LPLOL,5,2020-02-19,SAM,GTZ,1-0
2020.0,spring,LPLOL,6,2020-02-25,CC,FTW,0-1
2020.0,spring,LPLOL,6,2020-02-25,GTZ,EGN,0-1
2020.0,spring,LPLOL,6,2020-02-25,GC,EPE,1-0
2020.0,spring,LPLOL,6,2020-02-25,BFC,SAM,0-1
2020.0,spring,LPLOL,6,2020-02-26,EGN,SAM,0-1
2020.0,spring,LPLOL,6,2020-02-26,CC,BFC,0-1
2020.0,spring,LPLOL,6,2020-02-26,EPE,GTZ,1-0
2020.0,spring,LPLOL,6,2020-03-04,FTW,GC,1-0
2020.0,spring,LPLOL,7,2020-03-03,GTZ,FTW,0-1
2020.0,spring,LPLOL,7,2020-03-03,SAM,EPE,1-0
2020.0,spring,LPLOL,7,2020-03-03,BFC,EGN,0-1
2020.0,spring,LPLOL,7,2020-03-03,GC,CC,0-1
2020.0,spring,LPLOL,7,2020-03-04,CC,GTZ,0-1
2020.0,spring,LPLOL,7,2020-03-04,GC,BFC,1-0
2020.0,spring,LPLOL,7,2020-03-04,FTW,SAM,1-0
2020.0,spring,LPLOL,7,2020-03-04,EPE,EGN,0-1
2020.0,spring,LPLOL,Tiebreakers,2020-03-05,GC,GTZ,1-0
2020.0,spring,LPLOL,Tiebreakers,2020-03-05,BFC,GC,0-1
2020.0,spring,LPLOL,Tiebreakers,2020-03-05,BFC,GTZ,0-1
