year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,LPLOL,1,2020-06-09,SAM,KRM,1-0
2020.0,summer,LPLOL,1,2020-06-09,GC,GTZ,0-1
2020.0,summer,LPLOL,1,2020-06-09,EGN,OFF7,1-0
2020.0,summer,LPLOL,1,2020-06-09,FTW,BFC,0-1
2020.0,summer,LPLOL,1,2020-06-10,OFF7,FTW,0-1
2020.0,summer,LPLOL,1,2020-06-10,BFC,SAM,1-0
2020.0,summer,LPLOL,1,2020-06-10,GTZ,EGN,0-1
2020.0,summer,LPLOL,1,2020-06-10,KRM,GC,0-1
2020.0,summer,LPLOL,2,2020-06-16,FTW,GTZ,1-0
2020.0,summer,LPLOL,2,2020-06-16,EGN,KRM,1-0
2020.0,summer,LPLOL,2,2020-06-16,SAM,GC,0-1
2020.0,summer,LPLOL,2,2020-06-16,BFC,OFF7,0-1
2020.0,summer,LPLOL,2,2020-06-17,GC,EGN,0-1
2020.0,summer,LPLOL,2,2020-06-17,GTZ,BFC,1-0
2020.0,summer,LPLOL,2,2020-06-17,KRM,FTW,0-1
2020.0,summer,LPLOL,2,2020-06-17,OFF7,SAM,1-0
2020.0,summer,LPLOL,2,2020-06-18,OFF7,GTZ,1-0
2020.0,summer,LPLOL,2,2020-06-18,FTW,GC,1-0
2020.0,summer,LPLOL,2,2020-06-18,BFC,KRM,1-0
2020.0,summer,LPLOL,2,2020-06-18,SAM,EGN,1-0
2020.0,summer,LPLOL,3,2020-06-23,GC,BFC,0-1
2020.0,summer,LPLOL,3,2020-06-23,KRM,OFF7,0-1
2020.0,summer,LPLOL,3,2020-06-23,GTZ,SAM,0-1
2020.0,summer,LPLOL,3,2020-06-23,EGN,FTW,1-0
2020.0,summer,LPLOL,3,2020-06-24,BFC,EGN,0-1
2020.0,summer,LPLOL,3,2020-06-24,SAM,FTW,1-0
2020.0,summer,LPLOL,3,2020-06-24,OFF7,GC,1-0
2020.0,summer,LPLOL,3,2020-06-24,GTZ,KRM,1-0
2020.0,summer,LPLOL,4,2020-06-30,KRM,SAM,0-1
2020.0,summer,LPLOL,4,2020-06-30,GTZ,GC,0-1
2020.0,summer,LPLOL,4,2020-06-30,OFF7,EGN,0-1
2020.0,summer,LPLOL,4,2020-06-30,BFC,FTW,1-0
2020.0,summer,LPLOL,4,2020-07-01,FTW,OFF7,1-0
2020.0,summer,LPLOL,4,2020-07-01,SAM,BFC,1-0
2020.0,summer,LPLOL,4,2020-07-01,EGN,GTZ,1-0
2020.0,summer,LPLOL,4,2020-07-01,GC,KRM,1-0
2020.0,summer,LPLOL,4,2020-07-02,GTZ,FTW,0-1
2020.0,summer,LPLOL,4,2020-07-02,KRM,EGN,0-1
2020.0,summer,LPLOL,4,2020-07-02,GC,SAM,0-1
2020.0,summer,LPLOL,4,2020-07-02,OFF7,BFC,1-0
2020.0,summer,LPLOL,5,2020-07-07,EGN,GC,1-0
2020.0,summer,LPLOL,5,2020-07-07,BFC,GTZ,1-0
2020.0,summer,LPLOL,5,2020-07-07,FTW,KRM,1-0
2020.0,summer,LPLOL,5,2020-07-07,SAM,OFF7,1-0
2020.0,summer,LPLOL,5,2020-07-08,GTZ,OFF7,0-1
2020.0,summer,LPLOL,5,2020-07-08,GC,FTW,0-1
2020.0,summer,LPLOL,5,2020-07-08,KRM,BFC,0-1
2020.0,summer,LPLOL,5,2020-07-08,EGN,SAM,1-0
2020.0,summer,LPLOL,6,2020-07-14,BFC,GC,1-0
2020.0,summer,LPLOL,6,2020-07-14,OFF7,KRM,1-0
2020.0,summer,LPLOL,6,2020-07-14,SAM,GTZ,1-0
2020.0,summer,LPLOL,6,2020-07-14,FTW,EGN,0-1
2020.0,summer,LPLOL,6,2020-07-15,EGN,BFC,1-0
2020.0,summer,LPLOL,6,2020-07-15,FTW,SAM,0-1
2020.0,summer,LPLOL,6,2020-07-15,GC,OFF7,0-1
2020.0,summer,LPLOL,6,2020-07-15,KRM,GTZ,0-1
2020.0,summer,LPLOL,Tiebreakers,2020-07-16,GC,GTZ,0-1
