year,season,league_name,week,date,team_1,team_2,result
2018.0,summer,OPL,1,2018-06-08,MMM,BMR,2-0
2018.0,summer,OPL,1,2018-06-08,CHF,LGC,2-0
2018.0,summer,OPL,1,2018-06-09,TTC,AV,1-2
2018.0,summer,OPL,1,2018-06-09,DW,ORD,2-1
2018.0,summer,OPL,2,2018-06-15,CHF,MMM,2-0
2018.0,summer,OPL,2,2018-06-15,LGC,BMR,2-1
2018.0,summer,OPL,2,2018-06-16,ORD,TTC,0-2
2018.0,summer,OPL,2,2018-06-16,AV,DW,1-2
2018.0,summer,OPL,3,2018-06-22,DW,TTC,2-0
2018.0,summer,OPL,3,2018-06-22,AV,ORD,0-2
2018.0,summer,OPL,3,2018-06-23,CHF,BMR,2-1
2018.0,summer,OPL,3,2018-06-23,LGC,MMM,2-1
2018.0,summer,OPL,4,2018-06-29,TTC,CHF,2-0
2018.0,summer,OPL,4,2018-06-29,DW,LGC,2-0
2018.0,summer,OPL,4,2018-06-30,MMM,ORD,1-2
2018.0,summer,OPL,4,2018-06-30,AV,BMR,0-2
2018.0,summer,OPL,5,2018-07-13,ORD,BMR,2-0
2018.0,summer,OPL,5,2018-07-13,CHF,DW,0-2
2018.0,summer,OPL,5,2018-07-14,MMM,TTC,2-0
2018.0,summer,OPL,5,2018-07-14,LGC,AV,0-2
2018.0,summer,OPL,6,2018-07-20,TTC,LGC,0-2
2018.0,summer,OPL,6,2018-07-20,AV,MMM,1-2
2018.0,summer,OPL,6,2018-07-21,BMR,DW,1-2
2018.0,summer,OPL,6,2018-07-21,ORD,CHF,0-2
2018.0,summer,OPL,7,2018-07-27,DW,MMM,2-0
2018.0,summer,OPL,7,2018-07-27,LGC,ORD,0-2
2018.0,summer,OPL,7,2018-07-28,BMR,TTC,2-0
2018.0,summer,OPL,7,2018-07-28,CHF,AV,2-0
2018.0,summer,OPL,8,2018-08-03,TTC,DW,0-2
2018.0,summer,OPL,8,2018-08-03,BMR,LGC,1-2
2018.0,summer,OPL,8,2018-08-04,MMM,CHF,0-2
2018.0,summer,OPL,8,2018-08-04,ORD,AV,2-1
2018.0,summer,OPL,9,2018-08-10,DW,AV,2-0
2018.0,summer,OPL,9,2018-08-10,LGC,CHF,0-2
2018.0,summer,OPL,9,2018-08-11,TTC,ORD,0-2
2018.0,summer,OPL,9,2018-08-11,BMR,MMM,2-1
2018.0,summer,OPL,10,2018-08-17,AV,TTC,2-1
2018.0,summer,OPL,10,2018-08-17,MMM,LGC,0-2
2018.0,summer,OPL,10,2018-08-18,BMR,CHF,0-2
2018.0,summer,OPL,10,2018-08-18,ORD,DW,1-2
