year,season,league_name,week,date,team_1,team_2,result
2019.0,spring,OPL,1,2019-01-18,LGC,GRV,0-1
2019.0,spring,OPL,1,2019-01-18,MMM,BMR,0-1
2019.0,spring,OPL,1,2019-01-18,AV,ORD,1-0
2019.0,spring,OPL,1,2019-01-18,DW,CHF,0-1
2019.0,spring,OPL,1,2019-01-19,ORD,BMR,0-1
2019.0,spring,OPL,1,2019-01-19,LGC,DW,1-0
2019.0,spring,OPL,1,2019-01-19,MMM,GRV,1-0
2019.0,spring,OPL,1,2019-01-19,AV,CHF,0-1
2019.0,spring,OPL,2,2019-01-25,GRV,DW,1-0
2019.0,spring,OPL,2,2019-01-25,BMR,LGC,1-0
2019.0,spring,OPL,2,2019-01-25,MMM,AV,0-1
2019.0,spring,OPL,2,2019-01-25,CHF,ORD,0-1
2019.0,spring,OPL,2,2019-01-26,ORD,GRV,1-0
2019.0,spring,OPL,2,2019-01-26,BMR,CHF,0-1
2019.0,spring,OPL,2,2019-01-26,MMM,LGC,1-0
2019.0,spring,OPL,2,2019-01-26,AV,DW,1-0
2019.0,spring,OPL,3,2019-02-01,MMM,DW,0-1
2019.0,spring,OPL,3,2019-02-01,GRV,CHF,0-1
2019.0,spring,OPL,3,2019-02-01,BMR,AV,1-0
2019.0,spring,OPL,3,2019-02-01,ORD,LGC,1-0
2019.0,spring,OPL,3,2019-02-02,CHF,MMM,1-0
2019.0,spring,OPL,3,2019-02-02,BMR,GRV,1-0
2019.0,spring,OPL,3,2019-02-02,DW,ORD,0-1
2019.0,spring,OPL,3,2019-02-02,LGC,AV,0-1
2019.0,spring,OPL,4,2019-02-08,CHF,LGC,1-0
2019.0,spring,OPL,4,2019-02-08,DW,BMR,0-1
2019.0,spring,OPL,4,2019-02-08,ORD,MMM,1-0
2019.0,spring,OPL,4,2019-02-08,GRV,AV,0-1
2019.0,spring,OPL,4,2019-02-09,GRV,ORD,1-0
2019.0,spring,OPL,4,2019-02-09,AV,BMR,0-1
2019.0,spring,OPL,4,2019-02-09,LGC,MMM,0-1
2019.0,spring,OPL,4,2019-02-09,CHF,DW,1-0
2019.0,spring,OPL,5,2019-02-15,DW,GRV,0-1
2019.0,spring,OPL,5,2019-02-15,AV,ORD,1-0
2019.0,spring,OPL,5,2019-02-15,LGC,BMR,0-1
2019.0,spring,OPL,5,2019-02-15,MMM,CHF,1-0
2019.0,spring,OPL,5,2019-02-16,DW,MMM,0-1
2019.0,spring,OPL,5,2019-02-16,CHF,BMR,0-1
2019.0,spring,OPL,5,2019-02-16,LGC,ORD,1-0
2019.0,spring,OPL,5,2019-02-16,AV,GRV,0-1
2019.0,spring,OPL,6,2019-02-22,BMR,DW,1-0
2019.0,spring,OPL,6,2019-02-22,ORD,MMM,0-1
2019.0,spring,OPL,6,2019-02-22,CHF,GRV,1-0
2019.0,spring,OPL,6,2019-02-22,AV,LGC,1-0
2019.0,spring,OPL,6,2019-02-23,BMR,ORD,1-0
2019.0,spring,OPL,6,2019-02-23,GRV,MMM,0-1
2019.0,spring,OPL,6,2019-02-23,CHF,AV,1-0
2019.0,spring,OPL,6,2019-02-23,DW,LGC,0-1
2019.0,spring,OPL,7,2019-03-01,BMR,MMM,1-0
2019.0,spring,OPL,7,2019-03-01,ORD,CHF,0-1
2019.0,spring,OPL,7,2019-03-01,GRV,LGC,1-0
2019.0,spring,OPL,7,2019-03-01,DW,AV,0-1
2019.0,spring,OPL,7,2019-03-02,GRV,BMR,0-1
2019.0,spring,OPL,7,2019-03-02,ORD,DW,1-0
2019.0,spring,OPL,7,2019-03-02,AV,MMM,1-0
2019.0,spring,OPL,7,2019-03-02,LGC,CHF,0-1
2019.0,spring,OPL,8,2019-03-08,GRV,AV,1-0
2019.0,spring,OPL,8,2019-03-08,BMR,LGC,1-0
2019.0,spring,OPL,8,2019-03-08,MMM,DW,1-0
2019.0,spring,OPL,8,2019-03-08,CHF,ORD,1-0
2019.0,spring,OPL,8,2019-03-09,MMM,AV,1-0
2019.0,spring,OPL,8,2019-03-09,ORD,LGC,1-0
2019.0,spring,OPL,8,2019-03-09,BMR,CHF,0-1
2019.0,spring,OPL,8,2019-03-09,GRV,DW,1-0
2019.0,spring,OPL,9,2019-03-15,ORD,BMR,0-1
2019.0,spring,OPL,9,2019-03-15,MMM,GRV,0-1
2019.0,spring,OPL,9,2019-03-15,AV,DW,1-0
2019.0,spring,OPL,9,2019-03-15,CHF,LGC,1-0
2019.0,spring,OPL,9,2019-03-16,DW,BMR,0-1
2019.0,spring,OPL,9,2019-03-16,CHF,MMM,1-0
2019.0,spring,OPL,9,2019-03-16,AV,ORD,1-0
2019.0,spring,OPL,9,2019-03-16,LGC,GRV,1-0
2019.0,spring,OPL,10,2019-03-22,AV,CHF,0-1
2019.0,spring,OPL,10,2019-03-22,MMM,LGC,1-0
2019.0,spring,OPL,10,2019-03-22,BMR,AV,1-0
2019.0,spring,OPL,10,2019-03-22,ORD,MMM,0-1
2019.0,spring,OPL,10,2019-03-22,BMR,GRV,1-0
2019.0,spring,OPL,10,2019-03-22,DW,ORD,0-1
2019.0,spring,OPL,10,2019-03-23,MMM,BMR,0-1
2019.0,spring,OPL,10,2019-03-23,ORD,GRV,1-0
2019.0,spring,OPL,10,2019-03-23,LGC,DW,1-0
2019.0,spring,OPL,10,2019-03-23,GRV,CHF,0-1
2019.0,spring,OPL,10,2019-03-23,LGC,AV,0-1
2019.0,spring,OPL,10,2019-03-23,DW,CHF,0-1
