year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,PGN,1,2020-05-28,CGG,YDN,1-0
2020.0,summer,PGN,1,2020-05-28,OP,MKS,0-1
2020.0,summer,PGN,1,2020-05-28,RCN,SPK,1-0
2020.0,summer,PGN,1,2020-05-28,DD,SMS,0-1
2020.0,summer,PGN,1,2020-05-29,YDN,SPK,0-1
2020.0,summer,PGN,1,2020-05-29,MKS,CGG,1-0
2020.0,summer,PGN,1,2020-05-29,SMS,OP,1-0
2020.0,summer,PGN,1,2020-05-29,DD,RCN,0-1
2020.0,summer,PGN,2,2020-06-04,MKS,SMS,1-0
2020.0,summer,PGN,2,2020-06-04,YDN,DD,0-1
2020.0,summer,PGN,2,2020-06-04,CGG,SPK,0-1
2020.0,summer,PGN,2,2020-06-04,OP,RCN,1-0
2020.0,summer,PGN,2,2020-06-05,SPK,DD,1-0
2020.0,summer,PGN,2,2020-06-05,RCN,MKS,1-0
2020.0,summer,PGN,2,2020-06-05,YDN,OP,0-1
2020.0,summer,PGN,2,2020-06-05,SMS,CGG,1-0
2020.0,summer,PGN,3,2020-06-11,RCN,SMS,0-1
2020.0,summer,PGN,3,2020-06-11,CGG,DD,1-0
2020.0,summer,PGN,3,2020-06-11,OP,SPK,1-0
2020.0,summer,PGN,3,2020-06-11,MKS,YDN,1-0
2020.0,summer,PGN,3,2020-06-12,DD,OP,1-0
2020.0,summer,PGN,3,2020-06-12,SMS,YDN,1-0
2020.0,summer,PGN,3,2020-06-12,RCN,CGG,1-0
2020.0,summer,PGN,3,2020-06-12,SPK,MKS,0-1
2020.0,summer,PGN,4,2020-06-18,YDN,RCN,0-1
2020.0,summer,PGN,4,2020-06-18,DD,MKS,0-1
2020.0,summer,PGN,4,2020-06-18,SMS,SPK,1-0
2020.0,summer,PGN,4,2020-06-18,CGG,OP,0-1
2020.0,summer,PGN,4,2020-06-19,MKS,OP,1-0
2020.0,summer,PGN,4,2020-06-19,YDN,CGG,1-0
2020.0,summer,PGN,4,2020-06-19,SPK,RCN,1-0
2020.0,summer,PGN,4,2020-06-19,SMS,DD,1-0
2020.0,summer,PGN,5,2020-06-25,SPK,YDN,1-0
2020.0,summer,PGN,5,2020-06-25,OP,SMS,1-0
2020.0,summer,PGN,5,2020-06-25,CGG,MKS,0-1
2020.0,summer,PGN,5,2020-06-25,RCN,DD,1-0
2020.0,summer,PGN,5,2020-06-26,SMS,MKS,1-0
2020.0,summer,PGN,5,2020-06-26,DD,YDN,0-1
2020.0,summer,PGN,5,2020-06-26,RCN,OP,0-1
2020.0,summer,PGN,5,2020-06-26,SPK,CGG,1-0
2020.0,summer,PGN,6,2020-07-02,DD,SPK,0-1
2020.0,summer,PGN,6,2020-07-02,CGG,SMS,1-0
2020.0,summer,PGN,6,2020-07-02,MKS,RCN,1-0
2020.0,summer,PGN,6,2020-07-02,OP,YDN,1-0
2020.0,summer,PGN,6,2020-07-03,SMS,RCN,0-1
2020.0,summer,PGN,6,2020-07-03,SPK,OP,0-1
2020.0,summer,PGN,6,2020-07-03,DD,CGG,0-1
2020.0,summer,PGN,6,2020-07-03,YDN,MKS,0-1
2020.0,summer,PGN,7,2020-07-09,OP,DD,1-0
2020.0,summer,PGN,7,2020-07-09,YDN,SMS,0-1
2020.0,summer,PGN,7,2020-07-09,MKS,SPK,1-0
2020.0,summer,PGN,7,2020-07-09,CGG,RCN,0-1
2020.0,summer,PGN,7,2020-07-10,OP,CGG,0-1
2020.0,summer,PGN,7,2020-07-10,RCN,YDN,1-0
2020.0,summer,PGN,7,2020-07-10,MKS,DD,1-0
2020.0,summer,PGN,7,2020-07-10,SPK,SMS,0-1
2020.0,summer,PGN,Tiebreakers,2020-07-10,YDN,DD,1-0
