year,season,league_name,week,date,team_1,team_2,result
2019.0,summer,TCL,1,2019-06-08,FB,SUP,0-1
2019.0,summer,TCL,1,2019-06-08,BJK,BUR,1-0
2019.0,summer,TCL,1,2019-06-08,DP,GAL,1-0
2019.0,summer,TCL,1,2019-06-08,GS,IW,0-1
2019.0,summer,TCL,1,2019-06-09,AUR,RYL,0-1
2019.0,summer,TCL,1,2019-06-09,GAL,BJK,1-0
2019.0,summer,TCL,1,2019-06-09,BUR,FB,0-1
2019.0,summer,TCL,1,2019-06-09,RYL,SUP,1-0
2019.0,summer,TCL,1,2019-06-09,IW,AUR,0-1
2019.0,summer,TCL,1,2019-06-10,GS,DP,1-0
2019.0,summer,TCL,2,2019-06-15,FB,RYL,1-0
2019.0,summer,TCL,2,2019-06-15,SUP,IW,1-0
2019.0,summer,TCL,2,2019-06-15,BJK,GS,0-1
2019.0,summer,TCL,2,2019-06-15,AUR,DP,1-0
2019.0,summer,TCL,2,2019-06-16,BUR,GAL,1-0
2019.0,summer,TCL,2,2019-06-16,AUR,BJK,0-1
2019.0,summer,TCL,2,2019-06-16,DP,SUP,1-0
2019.0,summer,TCL,2,2019-06-16,GS,BUR,1-0
2019.0,summer,TCL,2,2019-06-16,IW,RYL,0-1
2019.0,summer,TCL,2,2019-06-17,GAL,FB,0-1
2019.0,summer,TCL,3,2019-06-21,RYL,DP,1-0
2019.0,summer,TCL,3,2019-06-22,GAL,GS,0-1
2019.0,summer,TCL,3,2019-06-22,SUP,BJK,0-1
2019.0,summer,TCL,3,2019-06-22,FB,IW,0-1
2019.0,summer,TCL,3,2019-06-22,BUR,AUR,0-1
2019.0,summer,TCL,3,2019-06-22,DP,IW,0-1
2019.0,summer,TCL,3,2019-06-22,AUR,GAL,1-0
2019.0,summer,TCL,3,2019-06-22,GS,FB,0-1
2019.0,summer,TCL,3,2019-06-22,BJK,RYL,0-1
2019.0,summer,TCL,3,2019-06-23,SUP,BUR,0-1
2019.0,summer,TCL,4,2019-06-29,RYL,BUR,1-0
2019.0,summer,TCL,4,2019-06-29,GS,AUR,1-0
2019.0,summer,TCL,4,2019-06-29,FB,DP,1-0
2019.0,summer,TCL,4,2019-06-29,GAL,SUP,1-0
2019.0,summer,TCL,4,2019-06-30,IW,BJK,0-1
2019.0,summer,TCL,4,2019-06-30,SUP,GS,1-0
2019.0,summer,TCL,4,2019-06-30,RYL,GAL,1-0
2019.0,summer,TCL,4,2019-06-30,BUR,IW,1-0
2019.0,summer,TCL,4,2019-06-30,AUR,FB,0-1
2019.0,summer,TCL,4,2019-07-01,BJK,DP,1-0
2019.0,summer,TCL,5,2019-07-06,GS,RYL,0-1
2019.0,summer,TCL,5,2019-07-06,IW,GAL,0-1
2019.0,summer,TCL,5,2019-07-06,FB,BJK,1-0
2019.0,summer,TCL,5,2019-07-06,DP,BUR,1-0
2019.0,summer,TCL,5,2019-07-07,AUR,SUP,1-0
2019.0,summer,TCL,5,2019-07-07,BUR,BJK,0-1
2019.0,summer,TCL,5,2019-07-07,IW,GS,0-1
2019.0,summer,TCL,5,2019-07-07,RYL,AUR,1-0
2019.0,summer,TCL,5,2019-07-07,GAL,DP,1-0
2019.0,summer,TCL,5,2019-07-08,SUP,FB,1-0
2019.0,summer,TCL,6,2019-07-13,AUR,IW,1-0
2019.0,summer,TCL,6,2019-07-13,SUP,RYL,0-1
