year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,TCL,1,2020-02-01,RYL,SUP,0-1
2020.0,spring,TCL,1,2020-02-01,DP,IW,1-0
2020.0,spring,TCL,1,2020-02-01,FB,5R,1-0
2020.0,spring,TCL,1,2020-02-01,GAL,BJK,1-0
2020.0,spring,TCL,1,2020-02-02,5R,DP,0-1
2020.0,spring,TCL,1,2020-02-02,IW,RYL,0-1
2020.0,spring,TCL,1,2020-02-02,GAL,FB,0-1
2020.0,spring,TCL,1,2020-02-02,AUR,SUP,1-0
2020.0,spring,TCL,2,2020-02-08,RYL,AUR,0-1
2020.0,spring,TCL,2,2020-02-08,SUP,BJK,0-1
2020.0,spring,TCL,2,2020-02-08,DP,GAL,1-0
2020.0,spring,TCL,2,2020-02-08,IW,5R,0-1
2020.0,spring,TCL,2,2020-02-09,5R,RYL,0-1
2020.0,spring,TCL,2,2020-02-09,FB,SUP,1-0
2020.0,spring,TCL,2,2020-02-09,BJK,AUR,1-0
2020.0,spring,TCL,2,2020-02-09,GAL,IW,0-1
2020.0,spring,TCL,3,2020-02-15,AUR,FB,0-1
2020.0,spring,TCL,3,2020-02-15,5R,GAL,0-1
2020.0,spring,TCL,3,2020-02-15,RYL,BJK,1-0
2020.0,spring,TCL,3,2020-02-15,SUP,DP,1-0
2020.0,spring,TCL,3,2020-02-16,FB,BJK,0-1
2020.0,spring,TCL,3,2020-02-16,GAL,RYL,0-1
2020.0,spring,TCL,3,2020-02-16,DP,AUR,1-0
2020.0,spring,TCL,3,2020-02-16,SUP,IW,1-0
2020.0,spring,TCL,4,2020-02-22,BJK,DP,0-1
2020.0,spring,TCL,4,2020-02-22,RYL,FB,0-1
2020.0,spring,TCL,4,2020-02-22,5R,SUP,0-1
2020.0,spring,TCL,4,2020-02-22,AUR,IW,0-1
2020.0,spring,TCL,4,2020-02-23,SUP,GAL,1-0
2020.0,spring,TCL,4,2020-02-23,AUR,5R,1-0
2020.0,spring,TCL,4,2020-02-23,IW,BJK,0-1
2020.0,spring,TCL,4,2020-02-23,DP,FB,1-0
2020.0,spring,TCL,5,2020-02-29,GAL,AUR,1-0
2020.0,spring,TCL,5,2020-02-29,BJK,5R,0-1
2020.0,spring,TCL,5,2020-02-29,RYL,DP,0-1
2020.0,spring,TCL,5,2020-02-29,FB,IW,1-0
2020.0,spring,TCL,5,2020-03-01,BJK,GAL,0-1
2020.0,spring,TCL,5,2020-03-01,IW,DP,1-0
2020.0,spring,TCL,5,2020-03-01,5R,FB,0-1
2020.0,spring,TCL,5,2020-03-01,SUP,RYL,1-0
2020.0,spring,TCL,6,2020-03-07,GAL,DP,0-1
2020.0,spring,TCL,6,2020-03-07,5R,IW,0-1
2020.0,spring,TCL,6,2020-03-07,BJK,SUP,0-1
2020.0,spring,TCL,6,2020-03-07,AUR,RYL,1-0
2020.0,spring,TCL,6,2020-03-08,FB,AUR,1-0
2020.0,spring,TCL,6,2020-03-08,DP,SUP,0-1
2020.0,spring,TCL,6,2020-03-08,GAL,5R,1-0
2020.0,spring,TCL,6,2020-03-08,BJK,RYL,1-0
2020.0,spring,TCL,7,2020-03-14,RYL,IW,0-1
2020.0,spring,TCL,7,2020-03-14,DP,5R,1-0
2020.0,spring,TCL,7,2020-03-14,SUP,AUR,1-0
2020.0,spring,TCL,7,2020-03-14,FB,GAL,1-0
2020.0,spring,TCL,7,2020-03-15,SUP,5R,1-0
2020.0,spring,TCL,7,2020-03-15,FB,RYL,1-0
2020.0,spring,TCL,7,2020-03-15,IW,AUR,0-1
2020.0,spring,TCL,7,2020-03-15,DP,BJK,0-1
2020.0,spring,TCL,8,2020-04-04,AUR,DP,0-1
2020.0,spring,TCL,8,2020-04-04,IW,SUP,1-0
2020.0,spring,TCL,8,2020-04-04,RYL,GAL,0-1
2020.0,spring,TCL,8,2020-04-04,BJK,FB,0-1
2020.0,spring,TCL,8,2020-04-05,IW,GAL,1-0
2020.0,spring,TCL,8,2020-04-05,AUR,BJK,1-0
2020.0,spring,TCL,8,2020-04-05,SUP,FB,0-1
2020.0,spring,TCL,8,2020-04-05,RYL,5R,0-1
2020.0,spring,TCL,9,2020-04-13,BJK,IW,0-1
2020.0,spring,TCL,9,2020-04-13,FB,DP,1-0
2020.0,spring,TCL,9,2020-04-13,5R,AUR,0-1
2020.0,spring,TCL,9,2020-04-13,GAL,SUP,1-0
2020.0,spring,TCL,9,2020-04-14,DP,RYL,1-0
2020.0,spring,TCL,9,2020-04-14,AUR,GAL,0-1
2020.0,spring,TCL,9,2020-04-14,IW,FB,1-0
2020.0,spring,TCL,9,2020-04-14,5R,BJK,0-1
2020.0,spring,TCL,Tiebreakers,2020-04-15,BJK,AUR,0-1
