year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,TPL_a,1,2020-02-03,RY.A,SUP.A,F-F
2020.0,spring,TPL_a,1,2020-02-04,DP.A,IWC.A,0-1
2020.0,spring,TPL_a,1,2020-02-04,FB.A,5R.A,1-0
2020.0,spring,TPL_a,1,2020-02-04,GAL.A,BJK.A,0-1
2020.0,spring,TPL_a,1,2020-02-04,5R.A,DP.A,1-0
2020.0,spring,TPL_a,1,2020-02-05,IWC.A,RY.A,1-0
2020.0,spring,TPL_a,1,2020-02-05,GAL.A,FB.A,0-1
2020.0,spring,TPL_a,1,2020-02-05,AUR.A,SUP.A,0-1
2020.0,spring,TPL_a,1,2020-02-06,RY.A,AUR.A,1-0
2020.0,spring,TPL_a,1,2020-02-07,SUP.A,BJK.A,0-1
2020.0,spring,TPL_a,1,2020-02-07,DP.A,GAL.A,1-0
2020.0,spring,TPL_a,1,2020-02-07,IWC.A,5R.A,1-0
2020.0,spring,TPL_a,1,2020-02-07,5R.A,RY.A,1-0
2020.0,spring,TPL_a,1,2020-02-08,FB.A,SUP.A,1-0
2020.0,spring,TPL_a,1,2020-02-08,BJK.A,AUR.A,0-1
2020.0,spring,TPL_a,1,2020-02-08,GAL.A,IWC.A,0-1
2020.0,spring,TPL_a,2,2020-02-13,AUR.A,FB.A,1-0
2020.0,spring,TPL_a,2,2020-02-14,5R.A,GAL.A,0-1
2020.0,spring,TPL_a,2,2020-02-14,RY.A,BJK.A,0-1
2020.0,spring,TPL_a,2,2020-02-14,SUP.A,DP.A,1-0
2020.0,spring,TPL_a,2,2020-02-14,FB.A,BJK.A,0-1
2020.0,spring,TPL_a,2,2020-02-15,GAL.A,RY.A,1-0
2020.0,spring,TPL_a,2,2020-02-15,DP.A,AUR.A,1-0
2020.0,spring,TPL_a,2,2020-02-15,SUP.A,IWC.A,0-1
2020.0,spring,TPL_a,3,2020-02-20,BJK.A,DP.A,1-0
2020.0,spring,TPL_a,3,2020-02-21,RY.A,FB.A,0-1
2020.0,spring,TPL_a,3,2020-02-21,5R.A,SUP.A,1-0
2020.0,spring,TPL_a,3,2020-02-21,AUR.A,IWC.A,0-1
2020.0,spring,TPL_a,3,2020-02-21,SUP.A,GAL.A,1-0
2020.0,spring,TPL_a,3,2020-02-22,AUR.A,5R.A,1-0
2020.0,spring,TPL_a,3,2020-02-22,IWC.A,BJK.A,1-0
2020.0,spring,TPL_a,3,2020-02-22,DP.A,FB.A,0-1
2020.0,spring,TPL_a,4,2020-02-27,GAL.A,AUR.A,1-0
2020.0,spring,TPL_a,4,2020-02-28,BJK.A,5R.A,0-1
2020.0,spring,TPL_a,4,2020-02-28,RY.A,DP.A,0-1
2020.0,spring,TPL_a,4,2020-02-28,FB.A,IWC.A,0-1
2020.0,spring,TPL_a,4,2020-02-28,BJK.A,GAL.A,1-0
2020.0,spring,TPL_a,4,2020-02-29,IWC.A,DP.A,1-0
2020.0,spring,TPL_a,4,2020-02-29,5R.A,FB.A,1-0
2020.0,spring,TPL_a,4,2020-02-29,SUP.A,RY.A,1-0
2020.0,spring,TPL_a,5,2020-03-05,GAL.A,DP.A,0-1
2020.0,spring,TPL_a,5,2020-03-06,5R.A,IWC.A,0-1
2020.0,spring,TPL_a,5,2020-03-06,BJK.A,SUP.A,1-0
2020.0,spring,TPL_a,5,2020-03-06,AUR.A,RY.A,1-0
2020.0,spring,TPL_a,5,2020-03-06,FB.A,AUR.A,0-1
2020.0,spring,TPL_a,5,2020-03-07,DP.A,SUP.A,0-1
2020.0,spring,TPL_a,5,2020-03-07,GAL.A,5R.A,0-1
2020.0,spring,TPL_a,5,2020-03-07,BJK.A,RY.A,1-0
2020.0,spring,TPL_a,6,2020-03-12,RY.A,IWC.A,0-1
2020.0,spring,TPL_a,6,2020-03-13,DP.A,5R.A,0-1
2020.0,spring,TPL_a,6,2020-03-13,SUP.A,AUR.A,0-1
2020.0,spring,TPL_a,6,2020-03-13,FB.A,GAL.A,1-0
2020.0,spring,TPL_a,6,2020-03-13,SUP.A,5R.A,1-0
2020.0,spring,TPL_a,6,2020-03-14,FB.A,RY.A,1-0
2020.0,spring,TPL_a,6,2020-03-14,IWC.A,AUR.A,1-0
2020.0,spring,TPL_a,6,2020-03-14,DP.A,BJK.A,1-0
2020.0,spring,TPL_a,7,2020-04-02,AUR.A,DP.A,1-0
2020.0,spring,TPL_a,7,2020-04-03,IWC.A,SUP.A,1-0
2020.0,spring,TPL_a,7,2020-04-03,RY.A,GAL.A,0-1
2020.0,spring,TPL_a,7,2020-04-03,BJK.A,FB.A,1-0
2020.0,spring,TPL_a,7,2020-04-03,IWC.A,GAL.A,1-0
2020.0,spring,TPL_a,7,2020-04-04,AUR.A,BJK.A,1-0
2020.0,spring,TPL_a,7,2020-04-04,SUP.A,FB.A,1-0
2020.0,spring,TPL_a,7,2020-04-04,RY.A,5R.A,0-1
2020.0,spring,TPL_a,8,2020-04-09,BJK.A,IWC.A,1-0
2020.0,spring,TPL_a,8,2020-04-10,FB.A,DP.A,0-1
2020.0,spring,TPL_a,8,2020-04-10,5R.A,AUR.A,0-1
2020.0,spring,TPL_a,8,2020-04-10,GAL.A,SUP.A,0-1
2020.0,spring,TPL_a,8,2020-04-10,DP.A,RY.A,1-0
2020.0,spring,TPL_a,8,2020-04-11,AUR.A,GAL.A,1-0
2020.0,spring,TPL_a,8,2020-04-11,IWC.A,FB.A,1-0
2020.0,spring,TPL_a,8,2020-04-11,5R.A,BJK.A,0-1
