year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,TPL_a,1,2020-06-08,FB.A,IWC.A,1-0
2020.0,summer,TPL_a,1,2020-06-09,DP.A,AUR.A,0-1
2020.0,summer,TPL_a,1,2020-06-09,GAL.A,BJK.A,1-0
2020.0,summer,TPL_a,1,2020-06-09,GS.A,5R.A,0-1
2020.0,summer,TPL_a,1,2020-06-09,RY.A,SUP.A,1-0
2020.0,summer,TPL_a,1,2020-06-09,BJK.A,DP.A,0-1
2020.0,summer,TPL_a,1,2020-06-10,AUR.A,FB.A,0-1
2020.0,summer,TPL_a,1,2020-06-10,SUP.A,IWC.A,0-1
2020.0,summer,TPL_a,1,2020-06-10,5R.A,RY.A,1-0
2020.0,summer,TPL_a,1,2020-06-10,GS.A,GAL.A,0-1
2020.0,summer,TPL_a,1,2020-06-11,FB.A,SUP.A,1-0
2020.0,summer,TPL_a,1,2020-06-12,IWC.A,5R.A,1-0
2020.0,summer,TPL_a,1,2020-06-12,DP.A,GS.A,1-0
2020.0,summer,TPL_a,1,2020-06-12,RY.A,GAL.A,1-0
2020.0,summer,TPL_a,1,2020-06-12,AUR.A,BJK.A,1-0
2020.0,summer,TPL_a,1,2020-06-12,RY.A,DP.A,W-F
2020.0,summer,TPL_a,1,2020-06-13,GAL.A,IWC.A,1-0
2020.0,summer,TPL_a,1,2020-06-13,GS.A,AUR.A,0-1
2020.0,summer,TPL_a,1,2020-06-13,5R.A,SUP.A,0-1
2020.0,summer,TPL_a,1,2020-06-13,BJK.A,FB.A,0-1
2020.0,summer,TPL_a,2,2020-06-18,SUP.A,GAL.A,1-0
2020.0,summer,TPL_a,2,2020-06-19,BJK.A,GS.A,0-1
2020.0,summer,TPL_a,2,2020-06-19,IWC.A,DP.A,1-0
2020.0,summer,TPL_a,2,2020-06-19,FB.A,5R.A,1-0
2020.0,summer,TPL_a,2,2020-06-19,AUR.A,RY.A,1-0
2020.0,summer,TPL_a,2,2020-06-19,GAL.A,5R.A,1-0
2020.0,summer,TPL_a,2,2020-06-20,RY.A,BJK.A,1-0
