year,season,league_name,week,date,team_1,team_2,result
2020.0,spring,VCS,1,2020-01-31,FL,EVS,1-2
2020.0,spring,VCS,1,2020-01-31,GAM,CES,2-0
2020.0,spring,VCS,1,2020-02-01,VGA,DBL,2-1
2020.0,spring,VCS,1,2020-02-01,LK,FTV,2-0
2020.0,spring,VCS,1,2020-02-02,DBL,LK,2-0
2020.0,spring,VCS,1,2020-02-02,FTV,FL,0-2
2020.0,spring,VCS,2,2020-02-07,CES,VGA,2-1
2020.0,spring,VCS,2,2020-02-07,EVS,GAM,0-2
2020.0,spring,VCS,2,2020-02-08,LK,CES,2-1
2020.0,spring,VCS,2,2020-02-08,VGA,EVS,0-2
2020.0,spring,VCS,2,2020-02-09,FL,GAM,2-1
2020.0,spring,VCS,2,2020-02-09,FTV,DBL,0-2
2020.0,spring,VCS,3,2020-02-14,CES,FTV,2-0
2020.0,spring,VCS,3,2020-02-14,GAM,VGA,2-0
2020.0,spring,VCS,3,2020-02-15,EVS,TS,1-2
2020.0,spring,VCS,3,2020-02-15,DBL,FL,1-2
2020.0,spring,VCS,3,2020-02-16,DBL,CES,0-2
2020.0,spring,VCS,3,2020-02-16,TS,GAM,0-2
2020.0,spring,VCS,4,2020-02-21,FTV,EVS,1-2
2020.0,spring,VCS,4,2020-02-21,FL,VGA,2-0
2020.0,spring,VCS,4,2020-02-22,EVS,DBL,2-1
2020.0,spring,VCS,4,2020-02-22,GAM,FTV,2-1
2020.0,spring,VCS,4,2020-02-23,CES,FL,1-2
2020.0,spring,VCS,4,2020-02-23,VGA,TS,0-2
2020.0,spring,VCS,5,2020-02-28,FTV,VGA,2-1
2020.0,spring,VCS,5,2020-02-28,FL,TS,0-2
2020.0,spring,VCS,5,2020-02-29,CES,EVS,2-0
2020.0,spring,VCS,5,2020-02-29,DBL,GAM,0-2
2020.0,spring,VCS,5,2020-03-01,EVS,FL,1-2
2020.0,spring,VCS,5,2020-03-01,CES,GAM,0-2
2020.0,spring,VCS,6,2020-03-06,DBL,VGA,2-1
2020.0,spring,VCS,6,2020-03-06,FTV,TS,0-2
2020.0,spring,VCS,6,2020-03-07,TS,DBL,1-2
2020.0,spring,VCS,6,2020-03-07,FL,FTV,2-1
2020.0,spring,VCS,6,2020-03-08,VGA,CES,2-0
2020.0,spring,VCS,6,2020-03-08,GAM,EVS,2-0
2020.0,spring,VCS,7,2020-03-13,CES,TS,2-1
2020.0,spring,VCS,7,2020-03-13,EVS,VGA,2-1
2020.0,spring,VCS,7,2020-03-14,GAM,FL,2-1
2020.0,spring,VCS,7,2020-03-14,DBL,FTV,2-0
2020.0,spring,VCS,7,2020-03-15,FTV,CES,2-1
2020.0,spring,VCS,7,2020-03-15,VGA,GAM,0-2
2020.0,spring,VCS,8,2020-03-27,TS,EVS,1-2
2020.0,spring,VCS,8,2020-03-27,FL,DBL,2-1
2020.0,spring,VCS,8,2020-03-28,CES,DBL,2-0
2020.0,spring,VCS,8,2020-03-28,GAM,TS,2-1
2020.0,spring,VCS,8,2020-03-29,EVS,FTV,2-0
2020.0,spring,VCS,8,2020-03-29,VGA,FL,0-2
2020.0,spring,VCS,9,2020-04-02,DBL,EVS,0-2
2020.0,spring,VCS,9,2020-04-02,FTV,GAM,0-2
2020.0,spring,VCS,9,2020-04-03,FL,CES,2-0
2020.0,spring,VCS,9,2020-04-03,TS,VGA,2-0
2020.0,spring,VCS,9,2020-04-04,VGA,FTV,1-2
2020.0,spring,VCS,9,2020-04-04,TS,FL,2-0
2020.0,spring,VCS,9,2020-04-05,EVS,CES,1-2
2020.0,spring,VCS,9,2020-04-05,GAM,DBL,2-0
