year,season,league_name,week,date,team_1,team_2,result
2020.0,summer,VCS,1,2020-06-19,SGB,OPG,1-2
2020.0,summer,VCS,1,2020-06-19,FL,PER,0-2
2020.0,summer,VCS,1,2020-06-20,TS,CES,0-2
2020.0,summer,VCS,1,2020-06-20,GAM,EVS,2-1
2020.0,summer,VCS,1,2020-06-21,CES,FL,2-0
2020.0,summer,VCS,1,2020-06-21,EVS,TS,0-2
2020.0,summer,VCS,2,2020-06-26,OPG,GAM,1-2
2020.0,summer,VCS,2,2020-06-26,PER,SGB,0-2
2020.0,summer,VCS,2,2020-06-27,GAM,PER,0-2
2020.0,summer,VCS,2,2020-06-27,TS,OPG,2-0
2020.0,summer,VCS,2,2020-06-28,FL,SGB,2-0
2020.0,summer,VCS,2,2020-06-28,CES,EVS,2-0
2020.0,summer,VCS,3,2020-07-03,OPG,CES,0-2
2020.0,summer,VCS,3,2020-07-03,SGB,GAM,1-2
2020.0,summer,VCS,3,2020-07-04,PER,TS,1-2
2020.0,summer,VCS,3,2020-07-04,EVS,FL,1-2
2020.0,summer,VCS,3,2020-07-05,EVS,OPG,2-0
2020.0,summer,VCS,3,2020-07-05,TS,SGB,2-0
2020.0,summer,VCS,4,2020-07-10,CES,PER,2-0
2020.0,summer,VCS,4,2020-07-10,FL,GAM,2-1
2020.0,summer,VCS,4,2020-07-11,PER,EVS,0-2
2020.0,summer,VCS,4,2020-07-11,SGB,CES,1-2
2020.0,summer,VCS,4,2020-07-12,OPG,FL,0-2
2020.0,summer,VCS,4,2020-07-12,GAM,TS,2-1
2020.0,summer,VCS,5,2020-07-17,CES,GAM,1-2
2020.0,summer,VCS,5,2020-07-17,FL,TS,2-1
2020.0,summer,VCS,5,2020-07-18,OPG,PER,1-2
2020.0,summer,VCS,5,2020-07-18,EVS,SGB,2-0
2020.0,summer,VCS,5,2020-07-19,OPG,SGB,0-2
2020.0,summer,VCS,5,2020-07-19,PER,FL,1-2
2020.0,summer,VCS,6,2020-07-24,CES,TS,0-2
2020.0,summer,VCS,6,2020-07-24,EVS,GAM,0-2
2020.0,summer,VCS,6,2020-07-25,FL,CES,2-0
2020.0,summer,VCS,6,2020-07-25,TS,EVS,2-1
2020.0,summer,VCS,6,2020-07-26,GAM,OPG,2-1
2020.0,summer,VCS,6,2020-07-26,SGB,PER,2-0
2020.0,summer,VCS,7,2020-07-31,PER,GAM,0-2
2020.0,summer,VCS,7,2020-07-31,OPG,TS,1-2
2020.0,summer,VCS,7,2020-08-01,SGB,FL,0-2
2020.0,summer,VCS,7,2020-08-01,EVS,CES,2-1
2020.0,summer,VCS,7,2020-08-02,CES,OPG,2-0
2020.0,summer,VCS,7,2020-08-02,GAM,SGB,2-0
2020.0,summer,VCS,8,2020-08-07,TS,PER,1-2
2020.0,summer,VCS,8,2020-08-07,FL,EVS,2-0
2020.0,summer,VCS,8,2020-08-08,OPG,EVS,0-2
2020.0,summer,VCS,8,2020-08-08,SGB,TS,1-2
2020.0,summer,VCS,8,2020-08-09,PER,CES,0-2
2020.0,summer,VCS,8,2020-08-09,GAM,FL,2-1
2020.0,summer,VCS,9,2020-08-13,EVS,PER,2-0
2020.0,summer,VCS,9,2020-08-13,CES,SGB,2-1
2020.0,summer,VCS,9,2020-08-14,FL,OPG,2-0
2020.0,summer,VCS,9,2020-08-14,TS,GAM,0-2
2020.0,summer,VCS,9,2020-08-15,GAM,CES,2-1
2020.0,summer,VCS,9,2020-08-15,TS,FL,1-2
2020.0,summer,VCS,9,2020-08-16,PER,OPG,0-2
2020.0,summer,VCS,9,2020-08-16,SGB,EVS,0-2
